jordtype,komm,nedbarea,nmin,aar_mod,forfrugt,potnmin,jordn,pesticid,exptgens,mod_nmin,ngodnt,nopt,ngodnn,ngodn,nprot,saatid,rokap,dgv1059,sort,srtprot,nplac,dg25,ngtilg,ntilg,saamng,tkvs,saakern,partigerm,frspdag,jordinf,markgrm,antplnt,sorttkv,aks_m2,keraks,dgv5980,aks_vgt,srtsize,ksort,protein,udb,spndx,tkv,slt22,s2225,s2528,bgbyg
5,4,1,3,7,4,3,5,1,5,3,4,2,5,4,4,3,6,5,28,4,1,1,10,10,4,4,4,1,1,9,2,3,3,6,6,3,9,4,4,8,9,2,1,2,1,1,4
8,5,1,4,8,2,7,9,1,6,3,7,4,6,6,7,2,7,1,19,3,1,1,6,7,2,5,2,1,4,9,2,1,5,8,2,1,9,5,1,8,9,2,2,1,4,1,3
8,1,2,3,3,3,6,9,1,4,4,4,1,6,4,7,3,1,2,13,5,1,1,6,7,1,7,1,6,4,2,2,1,5,5,6,6,2,3,3,8,3,3,3,4,1,2,1
5,3,2,4,1,1,1,6,1,4,6,3,1,10,3,4,3,3,4,39,2,1,3,2,5,4,5,3,4,2,7,4,2,6,1,4,2,7,5,5,1,1,4,4,3,1,1,1
7,2,1,4,11,2,7,9,1,5,2,7,3,3,10,8,5,7,1,33,3,2,6,1,7,6,4,5,1,4,9,2,3,5,2,5,5,7,4,3,8,2,4,4,4,4,1,1
7,1,1,3,7,5,8,9,1,4,3,5,1,7,5,7,2,7,6,14,5,1,6,2,8,4,2,4,6,8,7,6,4,4,5,6,3,7,6,3,3,6,4,3,3,3,3,5
9,1,1,4,1,5,8,9,1,3,6,1,4,6,1,6,1,7,5,60,2,2,4,8,8,7,2,7,5,4,9,6,6,5,6,4,2,9,4,3,6,9,1,5,1,3,1,4
8,2,3,3,11,4,3,4,1,3,1,5,6,1,2,3,3,7,4,29,6,3,2,3,2,5,5,4,3,8,6,3,3,6,3,3,1,3,4,4,8,2,4,2,4,1,3,5
2,4,3,2,11,1,1,1,1,4,1,8,1,5,5,1,4,4,2,51,4,2,5,10,9,3,5,2,7,1,8,7,2,6,2,7,1,8,2,5,3,3,4,6,4,4,6,2
5,1,1,4,7,4,3,6,1,4,4,3,2,5,3,4,5,1,6,66,4,1,4,2,5,7,8,5,8,8,8,8,5,7,4,5,5,6,4,3,3,3,4,4,4,3,4,3
