Row,Obs_500,Obs_1500,Obs_5000,Obs_15000
Add_edge_CB,0.2,0,0.1,0.1
Remove_edge_CB,0.2,0.1,0,0
Reverse_edge_CB,1.4,0.8,0,0
Add_edge_S&S,0,0,0,0
Remove_edge_S&S,0.2,0,0,0
Reverse_edge_S&S,0,0,0,0
Add_edge_MMHC,2.4,1.5,1.1,1
Remove_edge_MMHC,2.7,2,2,2
Reverse_edge_MMHC,3.4,2.6,2,2
Add_edge_K2_bef,0.7,0.2,0,0
Remove_edge_K2_bef,1.5,0.2,0,0
Reverse_edge_K2_bef,2.4,2.6,2.2,2.3
Add_edge_K2_aft,0.7,0.2,0,0
Remove_edge_K2_aft,1.5,0.2,0,0
Reverse_edge_K2_aft,1.6,1.3,0,0
Add_edge_PC,1.7,1,0.4,0.3
Remove_edge_PC,2.4,1,0,0.1
Reverse_edge_PC,3.5,1.9,0.2,0.1
