Step,Acc_MMHC,Acc_K2,Acc_PC,PC_Tests
1,0.497,0.8244,0.825,9090
2,0.526,0.8158,0.811,0
3,0.497,0.813,0.689,0
4,0.509,0.8162,0.676,0
5,0.482,0.7955,0.664,0
6,0.493,0.8246,0.716,0
7,0.506,0.8182,0.71,0
8,0.509,0.8245,0.736,0
9,0.493,0.8031,0.709,0
10,0.474,0.8025,0.687,0
11,0.484,0.7976,0.669,0
12,0.506,0.7875,0.672,0
13,0.882,0.8015,0.658,0
14,0.87,0.7864,0.671,0
15,0.897,0.8068,0.646,0
16,0.867,0.7957,0.668,0
17,0.888,0.8053,0.652,0
18,0.879,0.8106,0.656,0
19,0.884,0.8092,0.657,0
20,0.889,0.8111,0.664,0
21,0.883,0.8188,0.661,0
22,0.888,0.8043,0.633,0
23,0.859,0.7902,0.681,0
24,0.892,0.8141,0.685,0
25,0.856,0.7871,0.691,0
26,0.889,0.8014,0.652,0
27,0.875,0.8188,0.658,0
28,0.887,0.8156,0.658,0
29,0.88,0.8015,0.628,0
30,0.888,0.7978,0.639,0
