Step,TP,FP,FN,TN,Precision,Recall,F1,RunTime,Tests
1,253.2,246.8,249.4,250.6,0.2532,0.5,0.336153647,3.29105348,19.725
2,257,243,247,253,0.257,0.5,0.33945302,0,0
3,253.9,246.1,244.9,255.1,0.2539,0.5,0.336737627,0,0
4,251.6,248.4,251.3,248.7,0.2516,0.5,0.334727732,0,0
5,249.2,250.8,248.2,251.8,0.2492,0.5,0.332565345,0,0
6,251.9,248.1,254.2,245.8,0.2519,0.5,0.334994365,0,0
7,255.8,244.2,251.2,248.8,0.2558,0.5,0.338338523,0,0
8,353.8,346.2,151.1,148.9,0.3538,0.7,0.470025838,0,0
9,351.1,346.9,150,152,0.405446188,0.699455239,0.499431908,0,0
10,401.5,398.5,102.8,97.2,0.4015,0.8,0.534594933,0,0
11,164.6,426.6,109.4,299.4,0.278416779,0.6,0.380343526,0,0
12,234.5,3.4,16,746.1,0.986255296,0.935962688,0.959424699,0,0
13,239.2,0,1.6,759.2,1,0.993208235,0.996586446,0,0
14,234.5,0,1.6,763.9,1,0.993327925,0.996645336,0,0
15,219.7,0,0.8,779.5,1,0.996413539,0.998200688,0,0
16,212.7,0,0.5,786.8,1,0.997632049,0.998812088,0,0
17,220.1,0,0.7,779.2,1,0.996818967,0.998401815,0,0
18,190.3,12.4,16.4,780.9,0.941171681,0.920453521,0.92941251,0,0
19,165.4,37.6,37.6,759.4,0.814909667,0.815430626,0.81494202,0,0
20,153.6,29.4,32.4,784.6,0.839375588,0.823219191,0.830798221,0,0
21,184.7,7.5,4.2,803.6,0.961598689,0.977063335,0.968978856,0,0
22,178,0,0.9,821.1,1,0.994863349,0.997405509,0,0
23,169.9,0,56.7,773.4,1,0.810380782,0.875922184,0,0
24,159,0,43.9,797.1,1,0.849199541,0.899686508,0,0
25,170.4,0,99.2,730.4,1,0.664423802,0.77955297,0,0
26,202.5,25.4,26.6,745.5,0.912246629,0.91015759,0.888063146,0,0
27,237.5,0,44.8,717.7,1,0.844919236,0.898266431,0,0
28,243,0,27.9,729.1,1,0.903521743,0.936964658,0,0
29,266.2,0,0.5,733.3,1,0.998135259,0.999064481,0,0
30,268.6,0,0.7,730.7,1,0.997487836,0.998738007,0,0
