Step,Accuracies,RunTime,Tests
1,0.939166667,287.1100379,374.952381
2,0.950833333,0,0
3,0.939666667,0,0
4,0.940166667,0,0
5,0.941333333,0,0
6,0.9155,0,0
7,0.910666667,0,0
8,0.910166667,0,0
9,0.914333333,0,0
10,0.9015,0,0
11,0.917333333,0,0
12,0.915833333,0,0
13,0.940166667,0,0
14,0.9345,0,0
15,0.920333333,0,0
16,0.6385,0,0
17,0.394333333,0,0
18,0.385833333,0,0
19,0.596166667,0,0
20,0.8545,0,0
21,0.918,0,0
22,0.898,0,0
23,0.896666667,0,0
24,0.934,0,0
25,0.898833333,0,0
26,0.911166667,0,0
27,0.912166667,0,0
28,0.914666667,0,0
29,0.907666667,0,0
30,0.886,0,0
