Step,Acc_MMHC,Acc_K2,Acc_PC,PC_Tests,,,,,,,
1,0.9398,0.921633333,0.949466667,8561.9,,,,,,,
2,0.941466667,0.922066667,0.9501,0,,,,,,,
3,0.938833333,0.9181,0.944,0,,,,,,,
4,0.936866667,0.917033333,0.944533333,0,,,,,,,
5,0.936933333,0.918833333,0.9424,0,,,,,,,
6,0.936566667,0.920733333,0.943,0,,,,,,,
7,0.940466667,0.919366667,0.943466667,0,,,,,,,
8,0.934133333,0.922266667,0.945233333,0,,,,,,,
9,0.935466667,0.923166667,0.943733333,0,,,,,,,
10,0.9398,0.9226,0.945366667,0,,,,,,,
11,0.610166667,0.605166667,0.612066667,0,,,,,,,
12,0.6627,0.597366667,0.549066667,0,,,,,,,
13,0.903533333,0.864366667,0.9272,0,,,,,,,
14,0.915166667,0.888033333,0.938533333,0,,,,,,,
15,0.9121,0.8782,0.943566667,0,,,,,,,
16,0.904966667,0.882433333,0.940566667,0,,,,,,,
17,0.909333333,0.887466667,0.941633333,0,,,,,,,
18,0.9096,0.885666667,0.942933333,0,,,,,,,
19,0.911166667,0.885933333,0.939533333,0,,,,,,,
20,0.912066667,0.8876,0.941733333,0,,,,,,,
