,Unique ID,Month,Day,Hour_Interval,Born in New York State,Car-free commute (% of commuters),Disabled population,FHAVA-backed home purchase loans (% of home purchase loans),Foreign-born population,Higher-cost home purchase loans (% of home purchase loans),Higher-cost refinance loans (% of refinance loans),"Home purchase loan rate (per 1,000 properties)",Home purchase loans in LMI tracts (% of home purchase loans),Home purchase loans to LMI borrowers (% of home purchase loans),Homeownership rate,Households with children under 18 years old,"Housing choice vouchers (% of occupied, privately owned rental units)",Housing units,Income diversity ratio,"Index of housing price appreciation, 5+ family building","Index of housing price appreciation, all property types","Index of housing price appreciation, condominium",Labor force participation rate,Mean travel time to work (minutes),Median household income (2018$),"Median household income, homeowners (2018$)","Median household income, renters (2018$)","Median rent, 2- and 3-bedrooms (2018$)","Median rent, all (2018$)","Median rent, asking","Median rent, recent movers (2018$)","Median rent, studios and 1-bedrooms (2018$)","Median sales price per unit, 1 family building (2018$)","Median sales price per unit, 2-4 family building (2018$)","Median sales price per unit, 5+ family building (2018$)","Median sales price per unit, condominium (2018$)",Moderately rent-burdened households,"Moderately rent-burdened households, low income","Moderately rent-burdened households, moderate income","Notices of foreclosure rate (per 1,000 1-4 family and condo properties)","Notices of foreclosure, all residential properties","Notices of foreclosure, initial, 1-4 family and condo properties","Notices of foreclosure, repeat, 1-4 family and condo properties",Percent Asian,Percent Hispanic,Percent black,Percent white,Population,Population aged 25+ without a high school diploma,Population aged 65+,"Population density (1,000 persons per square mile)",Poverty rate,"Poverty rate, population aged 65+","Poverty rate, population under 18 years old","Pre-foreclosure notice rate (per 1,000 1-4 family and condo properties)","Pre-foreclosure notices, 1-4 family and condo properties",Private eviction filings,Private eviction filings per 1000 private rental units,"Properties entering REO, 1-4 family",Public housing (% of rental units),Racial diversity index,"Refinance loan rate (per 1,000 properties)",Rental vacancy rate,Residential units within 12 mile of a subway station,Residential units within 14 mile of a park,"Sales volume, 1 family building","Sales volume, 2-4 family building","Sales volume, 5+ family building","Sales volume, all property types","Sales volume, condominium","Serious crime rate (per 1,000 residents)","Serious crime rate, property (per 1,000 residents)","Serious crime rate, violent (per 1,000 residents)","Serious housing code violations (per 1,000 privately owned rental units)",Severe crowding rate (% of renter households),Severely rent-burdened households,"Severely rent-burdened households, low income","Severely rent-burdened households, moderate income",Single-person households,"Students performing at grade level in English language arts, 4th grade","Students performing at grade level in math, 4th grade","Total housing code violations (per 1,000 privately owned rental units)",Unemployment rate,Units authorized by new residential building permits,Units issued new certificates of occupancy,Entries,Exits
Unique ID,1.0,0.001225239815693078,0.00012515974993523616,0.013051810699684181,-0.09355030053404759,-0.739269039895583,0.0014190979335981229,0.6972134892795389,0.5165140930727259,0.7273275131073115,0.4400246012396281,0.5874944543676855,0.6374750513868411,0.11212354691631166,0.5765401050123634,0.7526225292323843,-0.1219561588481625,-0.5773821687527757,-0.7035948930836117,-0.5828425755667653,-0.5764923892966228,-0.018781335090312545,0.21020596404056224,0.7309189641091113,-0.06878069873614713,-0.3853929846729994,-0.13114270198289743,0.32069508573116434,0.11176366131588522,-0.7120917603855972,-0.6234201076962602,-0.28488904763758144,-0.385150257822631,-0.3364002123110656,-0.6491034190665421,-0.6675448085669206,0.1440572738186289,0.43295008227822296,-0.6910509412662333,0.6955661530025509,0.7069311027321645,0.7201905400075208,0.724522892734123,0.16130837757377844,0.3314644865332888,-0.03046816777622276,-0.42293621958405436,-0.3145651085127665,0.1236381405668594,-0.5858333281259831,-0.793633953744844,-0.3691137620824794,-0.4039564017539719,-0.30711796260939017,0.750460548004192,0.7441640701829656,-0.3347784511958994,0.21677933574616914,0.6105221902045714,-0.4731518527446506,0.3803036118287085,0.5521571663385494,-0.5112095464525179,-0.5662037805024577,-0.7140928386644465,0.7146559004368982,0.699910793133415,-0.7240970610211889,0.07429278671147628,-0.4619603375130552,-0.3428487848827251,-0.542829927396325,-0.08745494334902404,-0.23368877541422642,0.24161794737773945,0.6994724116493249,0.5529913854498907,-0.5980751434483736,-0.7461733325771989,-0.3791483315538577,-0.40193158947657653,-0.2652471351204653,-0.17294059035774173,-0.5875990372451879,-0.7536434624203148,-0.2770323286699211,-0.3666927220961586
Month,0.001225239815693078,1.0,0.009409234993385696,0.00033709773695897064,-0.00064069829228807,-0.0010866543386915434,-0.0012465587031252883,0.0015313718259944004,0.0009471441440457571,0.0004311867520273292,0.0009935755259563059,0.0011018640455145153,0.0007089782854593414,-0.0013866510664025794,0.00038457598986116657,-0.00031908555557142116,8.576214334740644e-05,-0.0011475315633126513,-0.0003552479553316035,0.002283025115862107,-0.0008795260943414503,-0.00037568312747161635,-7.84440259973739e-05,0.0009480677914030485,-0.00048173359306191694,-0.0011175673440998895,-0.0004499668428249741,-0.000288715084291466,-0.00047212050533036623,-0.0006614722921630127,-0.00019008322285610585,-0.0004107041523730886,-0.0013994424998901847,-0.0015061984923500009,-0.000556646732440931,-0.0006375680059543388,0.0008110758707219668,0.0017423201987071867,-0.0007964692955448976,0.0010004998118406854,0.001388054742020893,0.0013875691026751051,0.0011101094787159683,0.0024578769019281124,-0.0006162209274069523,-0.0009108112067590196,-0.0005959323003361941,-0.0010288251246348197,0.00044098387071789215,-0.00034612536552150464,-0.00042475659257193443,-8.285293114135738e-05,0.00024760817384779853,-0.0001805047074487407,0.0007373739244866751,0.0010310085312894234,-0.001223063668626379,-0.00033789789286162647,0.0021845910967628083,-0.0005186822969073321,0.0024857306969423574,0.0020223228032988498,0.0005462937626195015,0.0011820887057442091,-0.001303947485156479,0.0013823366346105584,0.0010567991112636831,-0.0012717019693590638,-0.0003491528187986951,-0.0012066045539990563,-0.0016024696736904281,-0.0015831080399899787,-0.0012513721545072368,-0.0004893793263457438,-0.0018295904892179956,0.00015861278721411364,0.00041272242416194946,-0.001176928416548788,-0.0008720364931088811,0.00017458553745109583,0.0004913596815664206,-0.0007554787021644573,0.0007272089261632541,-0.0012683578120090669,-0.00032333743658386843,0.01546264125527539,0.012825724669045522
Day,0.00012515974993523616,0.009409234993385696,1.0,0.0004571013155405269,0.0005685989676484851,-0.00021045467455225837,0.00043185863007675864,0.000273745832930933,-0.0002081740630870567,-0.00012073776689514043,-0.00021435426519019228,-0.00018104115370619003,-0.00017853066090946232,3.791231114159243e-05,-0.00011128461708264411,-0.00011312313882260653,0.0005409764520464799,-0.0003476321571910055,1.1872212147873591e-05,0.00023606986395577126,0.00014299823500471038,0.00034144716406799534,-0.00044108788702692766,0.00010597148238063909,-0.00025707791809170187,-0.0002410566975931942,-0.0002960826004096738,-0.00045711313042199963,-0.0004137435262669438,-9.496397121237903e-05,-0.00019648925728656466,-0.00040209559954843075,-0.00020886914452482563,-0.0002301879066397012,-0.0003327569519703706,-0.00021654317794665806,2.4012571247483493e-05,0.00016250893507660492,-0.00021158079380638985,-7.20585686991431e-05,5.52519758881364e-05,0.00010721661973332042,1.0537753750688871e-05,6.653448629503481e-05,-8.716504117925014e-05,0.0005157120561195564,-0.0002223748471920369,-0.0005717154711769765,0.0002450914094971904,-0.00022801202113658804,-0.00014778150261586534,0.0003439015729859379,0.00038268943022895887,0.0003058658337628585,2.6329815583950884e-05,7.723113753378966e-05,0.00017203692270653976,0.0003777216097088808,0.00034904152887054384,0.0003590599633061997,0.000550660840781088,0.0001500960774490846,-1.7149864275145847e-05,0.00012616431136470125,-3.238332892098359e-05,0.00023625687396540754,-6.272842136692848e-05,-0.0002001781138981303,-0.00023031607180643758,-0.0002607229837655523,0.0001945674862084677,1.5817706681659813e-05,0.00030772898231748723,0.00044429673348108474,-0.000520296953198048,-0.00012116577329541003,-0.00032657781979093684,-9.206744276670358e-05,-1.845124083030018e-06,-0.00010935679854637514,-0.00011427009764007939,0.00037035668645699543,0.0006018575072005214,6.571493323804996e-05,1.6499136765950513e-05,-0.007871597368219107,-0.005590630405280287
Hour_Interval,0.013051810699684181,0.00033709773695897064,0.0004571013155405269,1.0,-0.02900184438665978,-0.007934376260645273,-0.01327580083227737,0.005555332992517901,0.028702571342768973,0.023426804930854632,0.02304532122590953,0.019869111850257325,0.02740369303393306,0.010674896271786178,0.010252001126648503,0.025380059559194635,-0.017254058471491102,-0.010625972287573962,-0.024384076317345807,-0.016013657490878772,-0.014719982000061553,-0.0032596144965642664,0.01722570192655114,0.019515660017295294,-0.004845496546913635,-0.012479564999069707,-0.004056478475475883,0.017230162507296237,0.006838913729263125,-0.02105096760574699,-0.016774713218551885,-0.002932381976212294,-0.013319523266294127,-0.01141022529761231,-0.011274359011384199,-0.0165521989909232,0.017935279287795362,0.017925812416264165,-0.0169379017693891,0.023738330784712075,0.016552165148561813,0.013993485308486127,0.018354221625969502,0.006925313164605457,0.022927312358334385,-0.017806168830371134,-0.014224941153167931,0.004249445286022923,0.0054875919064139005,-0.015356618959537917,-0.015553415551770365,-0.013511824005842029,-0.016272177163890695,-0.00965969884328733,0.021577586208360307,0.014770860501088192,-0.009799653902405739,0.00010887090734365291,0.0020040056177146335,-0.021429285068459362,-0.005529072589666061,0.0056281779625124775,-0.017669164931602883,-0.014653820001296045,-0.018466121479091917,0.007258265774070556,0.023000257120599187,-0.016212486373553082,-0.0030524782699332515,-0.013376895199466039,-0.013769774200016033,-0.01713775995909053,-0.0076313982970501095,-0.01650676951709765,0.029808781600193984,0.025328911429178563,0.023002390851929053,-0.020382114510639992,-0.018388953153145857,-0.017097734168009207,-0.016268698484588017,-0.014675044568341025,-0.019469501801659336,-0.022749128634327476,-0.02057359143276082,0.2080237093148309,0.35550743607176843
Born in New York State,-0.09355030053404759,-0.00064069829228807,0.0005685989676484851,-0.02900184438665978,1.0,0.16711967527940644,0.7608703951735281,-0.1445632687297251,-0.7656906305850415,-0.5538293651859462,-0.7684771552255569,-0.621453883968925,-0.6892811108953217,0.06341689789010635,-0.3223706310862654,-0.42843437312582994,0.7500718980479363,0.08738485321587439,0.44002796928422866,0.058456265295648235,0.47586879556114664,0.4410375019780333,-0.4914723726707202,-0.318903017824851,-0.007394893419393066,0.22106004765890735,-0.04440202322767912,-0.5580806072496266,-0.3432811601095143,0.34397240508198157,0.11582728838219115,-0.18399877721468785,0.31415001700372663,0.2915541489977835,-0.015275169249886459,0.18638114887147525,-0.3718451746392354,-0.3598859763889209,0.1957804493587539,-0.578899519074355,-0.44121158304757724,-0.3590711297444017,-0.4650194225924685,-0.5342032790584654,-0.2845353890554138,0.8275708498916868,0.14731548168313452,-0.3382191398414452,-0.03438883828371695,0.06210588793632287,0.1558142492955944,0.47684602926550473,0.4868053701306995,0.39309363729730784,-0.4367645378957928,-0.3584509045809466,0.5663700749111292,0.4208380332049276,-0.09721297552994115,0.6909287726237829,0.07291518905381171,-0.2753802354176952,0.2823922465903786,0.29681470258602244,0.4686084847132159,-0.17954714830829072,-0.5600409160185931,0.2913542644771146,-0.06768418312291917,0.21218325241019081,0.5393855465029642,0.41113581229911017,0.5287184037648442,0.7059424084934185,-0.6329985457610514,-0.5588043786248111,-0.6864239103687672,0.4545520281405861,0.4370923694352794,0.13213154052516554,0.07593655698640515,0.6792963037433498,0.7074137662729906,0.6497205832684674,0.32687544570297755,-0.11482787724514201,-0.06073257570176003
Car-free commute (% of commuters),-0.739269039895583,-0.0010866543386915434,-0.00021045467455225837,-0.007934376260645273,0.16711967527940644,1.0,0.27463328827225997,-0.9907367195999877,-0.5955358979554962,-0.8678843019215925,-0.6366497594929398,-0.831399886767066,-0.7423707083256701,0.20709026536627978,-0.8275053116470995,-0.7416251392892789,0.31658319652275835,0.6210888764253337,0.7122309137498404,0.434009514449528,0.8367622567330412,0.30528974242654194,-0.251693827513961,-0.7982803419141211,-0.04798020772285693,0.3972998114814236,0.03246802820743361,-0.45646177371008095,-0.2613920812562769,0.7409121712040505,0.536199693046268,0.17482862055734352,0.4528588867994031,0.4163676144658482,0.6206654632101862,0.6675551922654167,-0.023137129703566045,-0.4493422805793172,0.7037245070778799,-0.8419223449087296,-0.9468294182375079,-0.9693553828934408,-0.9390650138771384,-0.4971198833283241,-0.07533829979723922,0.24919318146601846,0.34086991947668377,0.2965445819210385,-0.0453317556921362,0.48127913317984505,0.8587046634247844,0.5654841418491976,0.5456800171115587,0.5151839459070234,-0.8593059551565174,-0.9766053957990909,0.6899585624817534,0.03770580424849546,-0.9340786218410977,0.6756688757102977,-0.6599659380054598,-0.897847761001987,0.46573106609180664,0.6340939201209458,0.9265108338195732,-0.9962297911124928,-0.8549220187058091,0.854329407198646,-0.25391300428787233,0.4798530575460474,0.5916816953141626,0.6835544728864378,0.3745922646705689,0.47426434005794865,-0.02445347377841809,-0.772536452047488,-0.7411140965831683,0.6853818970618012,0.9440976593997306,0.18079558882777175,0.18631201487315935,0.5490721149934937,0.29091969682089314,0.7671663745827553,0.8053043996810837,0.3517517117440758,0.413536705569595
Disabled population,0.0014190979335981229,-0.0012465587031252883,0.00043185863007675864,-0.01327580083227737,0.7608703951735281,0.27463328827225997,1.0,-0.2786389448557691,-0.3894766653128393,-0.3968831989613369,-0.5783821859308055,-0.6842930785570885,-0.4023411476156563,0.681007132704947,-0.6025543499410548,-0.1052620074358496,0.915249288784403,-0.2760431444650122,0.04308799267498693,-0.04990775560957948,0.6718101419556722,0.8865382517797297,-0.6143143650674467,-0.06289523640613033,-0.5158320005206318,-0.23869853250441017,-0.5289495083394286,-0.7625065753101965,-0.7326472024658789,-0.023910757682868364,-0.3585163188108127,-0.6459963180285136,-0.09889290791286581,-0.10106309419054071,-0.3889058438863103,-0.21676132678958612,0.23571004759117786,0.07853968223224939,-0.1707717054852035,-0.38059307270409853,-0.42148285029068044,-0.38431076233140943,-0.4147209437862741,-0.5581280590506783,0.3789361687709545,0.984921543029066,-0.3874663714199058,-0.6392267640133756,0.44513777071252003,-0.4064875375824444,-0.0008631280753940077,0.7588685268441009,0.6976956362741112,0.7463511889742953,-0.19424355676018554,-0.36875212451523565,0.8383215329441668,0.8562835471148866,-0.28340946112329707,0.7884125845762612,0.04658316462042534,-0.5415102050847908,-0.16721381241779745,0.16851117871265883,0.3961570937677517,-0.2926727863948108,-0.39285420529599946,0.061088077404129436,-0.5928571762329693,-0.23472284931874401,0.7550877066368054,0.3778739001173146,0.9147373487387691,0.9343369250631436,-0.09236923413535222,-0.2541475757567258,-0.7179336990328805,0.0770726133032156,0.38782342085125043,-0.48525520917079074,-0.5336282646964076,0.9319857385182587,0.838204383942214,0.41350169240791446,0.15907653540246658,0.08828569360669312,0.13815818544457428
FHAVA-backed home purchase loans (% of home purchase loans),0.6972134892795389,0.0015313718259944004,0.000273745832930933,0.005555332992517901,-0.1445632687297251,-0.9907367195999877,-0.2786389448557691,1.0,0.5763221063655333,0.8235276428979589,0.6230936022293418,0.8079557023177504,0.7092647605286259,-0.24252770390769218,0.7877915338092808,0.6769919314998094,-0.27099228614285237,-0.6383212132332764,-0.6764809386660507,-0.3177250285582854,-0.8089742261721714,-0.28866705405686816,0.20333116000099424,0.7815728146535355,0.016814036198182,-0.4219465228646152,-0.06085687663305888,0.3945396742187433,0.209919419109818,-0.7191116842310298,-0.515348777135774,-0.19726305936976946,-0.48276559438775507,-0.4538128422285515,-0.6154965183783979,-0.6565604675226289,0.04309353661527641,0.48017824396952147,-0.6941369864580414,0.8180721551163536,0.9389596605630823,0.963306305907393,0.9200682651658014,0.5580145925034553,0.036750620580998254,-0.23718796179967852,-0.34781781342849544,-0.342394561120484,0.07106890780535866,-0.46855798867041876,-0.8253090636817296,-0.5166608524238123,-0.48362888274737786,-0.47472999832700263,0.8314811694877212,0.9579315143977586,-0.6873846966625913,-0.0344754318940526,0.9704720954731332,-0.6327049914260294,0.7362941179258693,0.9202172445133868,-0.42373460544656366,-0.5593522138954611,-0.9148773524278315,0.9981662723155535,0.8323477578299855,-0.853459497916487,0.21852409846585527,-0.5022411146693032,-0.5946481515530674,-0.6854902158597019,-0.3777874206554907,-0.4408809385117326,-0.06764017027138122,0.7247754420925013,0.6928066325398105,-0.6861138110864522,-0.9166490676442273,-0.16321599622085992,-0.15902991440886755,-0.5254505213978319,-0.220512888449365,-0.7598839233650683,-0.7612555381122272,-0.3785595447375562,-0.41771214977819
Foreign-born population,0.5165140930727259,0.0009471441440457571,-0.0002081740630870567,0.028702571342768973,-0.7656906305850415,-0.5955358979554962,-0.3894766653128393,0.5763221063655333,1.0,0.8730637745633456,0.9002803262116164,0.7478866431928607,0.9712795518547349,0.2531077748856653,0.42144384797441903,0.832518177462564,-0.4173089305468544,-0.6894364120143326,-0.9003219706317122,-0.25764763288444686,-0.5768365960672993,-0.07733430891082066,0.26806431010005183,0.8045117061296767,-0.36051746906591026,-0.7019529200688622,-0.3698273475534436,0.3555981849835035,0.006732772835150106,-0.8595986241444084,-0.6969335827763675,-0.35975891370101815,-0.754778196674055,-0.7139956674004697,-0.6219833057156254,-0.7700922283743921,0.6574666189402203,0.7921823613786257,-0.7709050521678747,0.9181746147617073,0.7968907885036695,0.7373670124669504,0.816279156721125,0.6123845924202337,0.6286416924201971,-0.45202565629872005,-0.6667451505607853,-0.25878550454901433,0.41261191814708903,-0.6391283503264622,-0.670229612769054,-0.3351912767005439,-0.3668814136739765,-0.21867977743612985,0.8832533130574018,0.7409238370865748,-0.507812836871958,0.07214136875051591,0.5050467229498615,-0.6485736951938975,0.4069256821647028,0.5053609071502854,-0.7074354853177,-0.5565953590058798,-0.8329671949882501,0.605930997679006,0.8948690769982182,-0.8210005521685616,-0.22212432103392143,-0.7345353126342068,-0.4763641431433916,-0.6404347968053803,-0.22200784326602024,-0.45294358707564025,0.643949608444788,0.9218415860781758,0.7276199753430609,-0.9123543096624731,-0.7963846670303513,-0.5995642851078903,-0.55957601508234,-0.47570081191104824,-0.3811098514242758,-0.9540145834478211,-0.7244908137570947,-0.027943829048197595,-0.07445247818329817
Higher-cost home purchase loans (% of home purchase loans),0.7273275131073115,0.0004311867520273292,-0.00012073776689514043,0.023426804930854632,-0.5538293651859462,-0.8678843019215925,-0.3968831989613369,0.8235276428979589,0.8730637745633456,1.0,0.8355954230725857,0.9078187657121655,0.9631952329053202,0.021420721705358733,0.7648480235038195,0.9314628473710402,-0.5022147678117536,-0.6288651071692614,-0.8956489979289151,-0.560158280586385,-0.8337644497574329,-0.28048882326311864,0.41118369454328735,0.8737329901123201,-0.05568024788530506,-0.4971872604324428,-0.10632423142287382,0.5834149909108065,0.2842803481825357,-0.8651756596106539,-0.650900896350338,-0.18795395613930505,-0.5520112767165654,-0.497899202967193,-0.6316465094562251,-0.7481261312943027,0.28791065904261093,0.5891535874620376,-0.7736779814044374,0.9778108427441827,0.9496466363672397,0.9276994988222161,0.9723442489776878,0.49027062366256313,0.39668355095854835,-0.44246141256467425,-0.4750204115006179,-0.16776116697202184,0.1410418619509871,-0.5812917095882002,-0.8627555345112221,-0.6098442983595622,-0.6347609824495261,-0.5120029588196812,0.9629272611915423,0.9500679903691118,-0.6714623358754223,-0.03396994785760398,0.7186349925061002,-0.8138203327910568,0.4205345861653574,0.7410188851326255,-0.6423411266016282,-0.7295441481017206,-0.9620617141705512,0.8538234001073135,0.9738370150583172,-0.8773663913141143,0.131515106958313,-0.5664525835039821,-0.617280841056897,-0.7317160939061457,-0.3743829601872513,-0.595578671993478,0.48051046963615346,0.9645163834710258,0.8904364273305838,-0.8223213993560033,-0.9774573725889569,-0.3939548619177639,-0.3887186205291446,-0.628001124637715,-0.5114585197881729,-0.9196168625622964,-0.8919681685189016,-0.1757666128430225,-0.27577186690851413
