Neighborhood,Born in New York State,Car-free commute (% of commuters),Disabled population,FHAVA-backed home purchase loans (% of home purchase loans),Foreign-born population,Higher-cost home purchase loans (% of home purchase loans),Higher-cost refinance loans (% of refinance loans),"Home purchase loan rate (per 1,000 properties)",Home purchase loans in LMI tracts (% of home purchase loans),Home purchase loans to LMI borrowers (% of home purchase loans),Homeownership rate,Households with children under 18 years old,"Housing choice vouchers (% of occupied, privately owned rental units)",Housing units,Income diversity ratio,"Index of housing price appreciation, 1 family building","Index of housing price appreciation, 2-4 family building","Index of housing price appreciation, 5+ family building","Index of housing price appreciation, all property types","Index of housing price appreciation, condominium",Labor force participation rate,Mean travel time to work (minutes),Median household income (2018$),"Median household income, homeowners (2018$)","Median household income, renters (2018$)","Median rent, 2- and 3-bedrooms (2018$)","Median rent, all (2018$)","Median rent, asking","Median rent, recent movers (2018$)","Median rent, studios and 1-bedrooms (2018$)","Median sales price per unit, 1 family building (2018$)","Median sales price per unit, 2-4 family building (2018$)","Median sales price per unit, 5+ family building (2018$)","Median sales price per unit, condominium (2018$)",Moderately rent-burdened households,"Moderately rent-burdened households, low income","Moderately rent-burdened households, moderate income","Notices of foreclosure rate (per 1,000 1-4 family and condo properties)","Notices of foreclosure, all residential properties","Notices of foreclosure, initial, 1-4 family and condo properties","Notices of foreclosure, repeat, 1-4 family and condo properties",Percent Asian,Percent Hispanic,Percent black,Percent white,Population,Population aged 25+ without a high school diploma,Population aged 65+,"Population density (1,000 persons per square mile)",Poverty rate,"Poverty rate, population aged 65+","Poverty rate, population under 18 years old","Pre-foreclosure notice rate (per 1,000 1-4 family and condo properties)","Pre-foreclosure notices, 1-4 family and condo properties",Private eviction filings,Private eviction filings per 1000 private rental units,"Properties entering REO, 1-4 family",Public housing (% of rental units),Racial diversity index,"Refinance loan rate (per 1,000 properties)",Rental units affordable at  30% AMI (% of recently available units),Rental units affordable at  80% AMI (% of recently available units),Rental units affordable at 120% AMI (% of recently available units),Rental vacancy rate,Residential units within 12 mile of a subway station,Residential units within 14 mile of a park,"Sales volume, 1 family building","Sales volume, 2-4 family building","Sales volume, 5+ family building","Sales volume, all property types","Sales volume, condominium","Serious crime rate (per 1,000 residents)","Serious crime rate, property (per 1,000 residents)","Serious crime rate, violent (per 1,000 residents)","Serious housing code violations (per 1,000 privately owned rental units)",Severe crowding rate (% of renter households),Severely rent-burdened households,"Severely rent-burdened households, low income","Severely rent-burdened households, moderate income",Single-person households,"Students performing at grade level in English language arts, 4th grade","Students performing at grade level in math, 4th grade","Total housing code violations (per 1,000 privately owned rental units)",Unemployment rate,Units authorized by new residential building permits,Units issued new certificates of occupancy
Greenpoint/Williamsburg,46.7,84.4,6.8,0.0,24.9,0.0,1.7000000000000002,27.7,1.0,15.7,15.8,19.5,8.2,69834,7.7,583.0,648.8,718.5,455.4,NaN,71.4,34.6,78070,83030,77200,1540,2000,2980,2300,1700,2420290,734840,383850,947740,26.7,26.6,35.6,5.6,109,45,47,7.0,21.6,3.6,64.5,152002,15.0,11.5,36.8,23.3,28.7,40.1,20.1,328,1265,22.0,0,11.1,0.53,6.2,3.5,25.8,51.7,2.3,92.2,89.0,16,104,70,981,791,13.3,9.7,3.6,24.4,3.7,26.7,47.3,7.4,29.9,42.6,41.1,150.3,5.49,534,2311
Fort Greene/Brooklyn Heights,48.9,90.9,8.7,0.0,18.8,0.2,0.30000000000000004,37.1,2.0,12.1,33.0,21.4,2.2,64915,6.1,425.5,520.2,626.5,454.9,252.9,71.4,35.1,94330,138110,78780,1580,1920,3000,2440,1810,3821520,922260,578320,1401220,21.7,24.3,33.6,4.5,59,21,30,9.0,14.9,25.8,47.2,135444,10.3,10.7,43.5,14.9,12.9,17.8,26.5,300,1143,29.9,1,11.1,0.68,12.9,3.8,18.6,44.9,2.5,94.4,97.4,31,74,32,931,794,19.5,14.0,5.6,17.2,3.7,18.2,43.4,9.3,39.5,53.1,45.1,84.6,5.55,1364,2665
Bedford Stuyvesant,57.8,78.2,8.8,2.3,18.4,0.30000000000000004,0.4,22.2,0.7000000000000001,59.1,23.8,29.2,8.7,58014,6.8,406.7,430.6,581.8,409.6,451.3,64.0,42.0,52900,111590,38420,1220,1240,2400,1700,1090,917160,547750,270050,789780,25.5,28.4,30.9,20.5,339,134,162,2.7,19.4,48.8,26.6,142027,16.3,10.3,61.8,24.4,17.4,36.0,79.1,1145,3965,87.4,2,18.8,0.65,17.3,8.3,47.8,89.6,5.4,87.7,94.2,35,334,48,654,237,17.5,10.2,7.3,70.9,3.6,30.2,42.1,1.2,29.7,31.3,23.1,340.4,4.73,597,807
Bushwick,44.7,82.2,7.0,5.2,30.3,0.9,2.6,15.2,1.7000000000000002,97.4,12.9,30.3,4.5,51437,7.0,453.6,372.1,581.2,409.2,351.5,68.1,41.3,51620,87850,49380,1390,1460,2530,1780,1130,881500,423760,233540,662740,26.4,26.7,26.4,20.8,167,58,86,5.6,53.9,17.0,21.5,140474,24.8,7.4,55.4,27.1,39.7,39.7,91.2,631,1500,44.7,5,4.5,0.63,15.0,7.1,45.5,83.1,3.7,97.9,76.5,12,162,54,284,56,13.8,8.4,5.5,92.7,4.3,31.2,46.0,3.7,26.0,28.0,27.8,421.3,5.23,561,427
East New York/Starrett City,58.4,76.6,7.3,47.9,31.5,12.1,1.9,22.0,14.6,58.5,21.9,37.3,12.8,65828,5.7,286.3,268.6,352.5,273.5,194.4,58.1,42.6,37490,68350,31270,1260,1250,2000,1310,980,427840,276420,154610,308780,26.2,30.9,10.0,32.5,590,240,320,3.8,38.2,52.8,3.9,176471,15.6,11.1,29.1,24.7,21.3,31.7,110.3,1900,6796,171.0,20,16.7,0.5700000000000001,18.0,15.0,81.0,98.6,5.1,71.2,85.4,100,385,32,550,33,17.1,9.0,8.1,111.3,4.8,32.2,41.3,0.0,32.0,29.9,24.5,525.9,8.98,672,564
Park Slope/Carroll Gardens,49.2,86.3,6.1,0.1,16.8,0.1,0.4,34.2,0.30000000000000004,2.3,42.8,32.2,1.4,50322,4.9,415.4,501.8,660.6,480.2,293.3,76.4,39.2,137370,177290,111460,2210,2280,2800,2430,1970,2679780,1053040,414000,1306450,16.4,27.0,47.5,1.8,24,15,9,7.2,17.2,6.1,63.9,116209,6.3,9.9,29.0,7.8,10.6,5.0,18.5,247,424,13.7,0,12.3,0.55,12.2,2.0,9.0,42.5,2.3,91.0,85.5,40,177,27,624,380,10.6,8.1,2.5,18.2,2.7,16.8,46.5,7.7,26.6,69.8,63.3,89.7,4.2,156,904
Sunset Park,41.7,79.8,6.2,0.0,44.5,3.7,3.3,20.2,4.5,39.5,29.9,40.9,2.9,46064,6.3,524.4,454.5,405.9,441.1,456.3,64.2,42.8,57870,98330,49210,1470,1470,2380,1490,1190,1331930,585970,225890,818310,24.3,31.7,18.7,4.8,56,24,29,32.7,39.9,2.4,22.7,144332,37.5,10.7,36.0,22.1,29.1,27.4,27.6,307,713,26.1,0,0.0,0.68,10.4,6.1,62.3,92.6,2.4,94.4,77.5,27,189,39,385,130,8.5,5.3,3.2,41.1,9.1,32.9,50.4,0.30000000000000004,19.6,44.1,47.0,201.5,6.69,255,96
Crown Heights/Prospect Heights,49.2,84.9,9.5,3.2,28.5,1.3,0.5,30.6,1.6,37.1,19.8,24.8,5.4,60247,6.8,582.4,440.2,492.3,445.9,367.3,69.8,42.0,61250,127500,48140,1330,1270,2500,1800,1160,978310,484060,264550,914650,23.6,30.4,19.6,19.2,144,52,77,5.6,11.7,55.7,24.1,141725,18.6,10.8,63.8,20.0,23.6,29.3,53.9,362,2943,87.7,7,10.3,0.61,15.3,4.9,39.9,81.3,4.5,98.2,76.7,17,125,38,540,360,12.1,6.6,5.5,75.0,2.7,28.6,45.2,1.3,34.5,39.5,29.8,368.5,6.75,236,723
South Crown Heights/Lefferts Gardens,41.5,82.6,5.6,4.6,41.1,2.0,2.3,18.5,4.0,63.6,17.3,26.4,3.5,48000,5.3,473.5,386.1,685.5,378.5,541.4,64.9,45.3,52050,79140,46360,1370,1300,2180,1550,1190,1268740,502740,288740,602480,25.8,31.6,13.2,18.6,114,47,62,1.8,9.8,60.2,25.5,113212,11.4,15.3,66.3,19.1,17.2,27.5,78.7,461,3741,118.7,0,0.9,0.56,16.1,6.3,50.9,91.5,3.6,90.5,70.5,44,76,17,175,38,12.4,7.0,5.4,84.7,4.3,32.6,47.8,0.0,34.7,36.8,25.1,439.3,7.8,193,448
Bay Ridge/Dyker Heights,50.8,68.1,6.6,0.2,38.8,2.8,1.1,19.8,7.2,11.3,42.0,28.4,1.1,52652,5.1,321.6,347.3,449.1,326.1,143.9,63.8,45.5,69990,98890,57470,1560,1480,1900,1520,1320,993590,587660,241380,636920,22.5,28.5,15.2,3.3,55,25,24,28.2,15.8,3.1,50.9,123488,18.6,17.1,32.1,15.2,18.5,15.7,23.0,340,956,33.6,3,0.0,0.64,8.6,3.8,57.5,97.5,5.4,74.4,59.8,155,163,23,378,37,6.8,5.2,1.6,23.1,6.1,30.2,55.4,0.1,31.0,60.8,62.6,133.7,4.73,1,27
