Algorithm_Name,W_Precision,W_Recall,W_F1,W_AUC,Kappa,Matthews,Train_Run_Time,Prediction_Run_Time,Total_Run_Time
CDDRL-Tabu10+Params,0.99,0.98,0.98,1,0.98,0.98,6.266599,576.943906,583.210505
CDDRL-Ensemble_Methods,0.98,0.98,0.98,0.99,0.96,0.96,68.796026,6285.053239,6353.849265
CDDRL-Ensemble_BNs,0.99,0.99,0.99,1,0.98,0.98,14.968269,5534.482462,5549.450731
KNN-ADWIN,0.74,0.74,0.73,0.87,0.61,0.62,,,
AWE,0.47,0.62,0.51,0.5,0.42,0.5,,,
DWM,0.47,0.6,0.5,0.5,0.39,0.47,,,
LNSE,0.98,0.98,0.98,1,0.97,0.97,,,
SRP,0.93,0.92,0.92,0.97,0.89,0.89,,,
SAM-KNN,0.7,0.7,0.68,0.5,0.54,0.55,373.1463807,76.99762702,450.1440077
VFDR,0.66,0.55,0.49,0.71,0.32,0.37,27.96464562,57.18447471,85.14912033
RSLVQ,0.53,0.54,0.52,0.5,0.3,0.31,298.5952926,7.121295691,305.7165883
OBC,0.79,0.79,0.79,0.9,0.68,0.69,5861.02527,4323.791464,10184.81673
ARF,0.96,0.95,0.95,0.99,0.93,0.93,6357.976722,203.2670054,6561.243727
NN-UN,0.88,0.85,0.84,0.95,0.78,0.79,,,
