C_nodes_1,C_nodes_2,C_nodes_3,C_nodes_4,C_nodes_5,C_nodes_6
,,,,,
,,,,,
,,,,,
2,3,7,,,
2,3,4,7,,
2,3,4,5,6,7
2,3,4,5,6,
2,3,4,5,,
2,3,4,5,7,
2,4,5,,,
2,3,4,5,7,
2,3,4,5,7,
2,3,4,5,,
2,3,4,5,,
2,3,4,5,,
2,3,4,5,,
2,3,4,5,,
2,3,4,5,7,
2,3,4,5,6,
1,3,4,5,6,
1,3,4,5,6,
1,2,3,4,6,
1,2,3,4,5,6
1,2,3,4,5,
1,2,4,5,,
1,2,3,4,5,
1,2,3,4,5,
1,2,3,4,5,
1,3,4,5,,
1,2,3,4,5,
1,2,3,4,5,
1,2,3,4,5,
1,2,3,4,5,
1,2,3,4,5,
1,2,3,4,5,
1,2,3,4,5,
1,2,3,4,5,
1,3,4,5,,
1,2,3,4,5,
1,2,3,4,5,7
1,2,3,4,5,
1,2,3,4,5,
1,2,3,4,5,
1,2,3,4,5,
1,2,3,4,5,
1,2,3,4,5,
1,2,3,4,5,
1,3,4,5,,
1,2,3,4,5,
1,2,4,5,,
1,2,3,4,5,
1,3,4,5,,
1,2,3,4,5,
