Time_Step,W_Precision,W_Recall,W_F1,W_AUC,Kappa,Matthews
1.0,0.23,0.48,0.31,0.5,0.0,0.0
2.0,0.22,0.47,0.3,0.5,0.0,0.0
3.0,0.87,0.87,0.87,0.97,0.8,0.8
4.0,0.9,0.9,0.9,0.97,0.85,0.85
5.0,0.9,0.89,0.89,0.97,0.83,0.84
6.0,0.95,0.95,0.95,0.99,0.92,0.92
7.0,0.92,0.91,0.91,0.98,0.86,0.87
8.0,0.93,0.92,0.92,0.99,0.88,0.88
9.0,0.94,0.94,0.94,0.99,0.91,0.91
10.0,0.96,0.96,0.96,1.0,0.94,0.94
11.0,0.97,0.97,0.97,1.0,0.95,0.95
12.0,0.9,0.89,0.89,0.97,0.84,0.84
13.0,0.9,0.9,0.9,0.96,0.85,0.85
14.0,0.9,0.9,0.9,0.98,0.85,0.85
15.0,0.91,0.91,0.91,0.98,0.86,0.86
16.0,0.9,0.9,0.9,0.98,0.85,0.85
17.0,0.9,0.9,0.9,0.98,0.84,0.85
18.0,0.91,0.91,0.91,0.99,0.86,0.86
19.0,0.98,0.98,0.98,1.0,0.97,0.97
20.0,0.99,0.99,0.99,1.0,0.99,0.99
21.0,0.98,0.98,0.98,1.0,0.96,0.96
22.0,0.98,0.98,0.98,1.0,0.97,0.97
23.0,0.99,0.99,0.99,1.0,0.99,0.99
24.0,0.99,0.99,0.99,1.0,0.98,0.98
25.0,0.98,0.98,0.98,1.0,0.97,0.97
26.0,0.99,0.99,0.99,1.0,0.99,0.99
27.0,0.93,0.93,0.93,0.98,0.9,0.9
28.0,0.91,0.9,0.9,0.98,0.85,0.86
29.0,0.96,0.96,0.96,0.99,0.94,0.94
30.0,0.96,0.96,0.96,0.99,0.94,0.95
31.0,0.96,0.96,0.96,0.99,0.94,0.94
32.0,0.92,0.91,0.91,0.99,0.86,0.87
33.0,0.97,0.97,0.97,1.0,0.95,0.95
34.0,0.96,0.96,0.96,1.0,0.94,0.94
35.0,0.95,0.95,0.95,1.0,0.92,0.92
36.0,0.93,0.93,0.93,0.99,0.9,0.9
37.0,0.97,0.97,0.97,1.0,0.95,0.95
38.0,0.96,0.96,0.96,1.0,0.94,0.94
39.0,0.97,0.97,0.97,1.0,0.96,0.96
40.0,0.99,0.99,0.99,1.0,0.98,0.98
41.0,1.0,1.0,1.0,1.0,0.99,0.99
42.0,0.99,0.99,0.99,1.0,0.99,0.99
43.0,0.99,0.99,0.99,1.0,0.98,0.98
44.0,0.99,0.99,0.99,1.0,0.99,0.99
45.0,0.99,0.99,0.99,1.0,0.99,0.99
46.0,1.0,1.0,1.0,1.0,0.99,0.99
47.0,0.99,0.99,0.99,1.0,0.99,0.99
48.0,0.99,0.99,0.99,1.0,0.99,0.99
49.0,0.99,0.99,0.99,1.0,0.99,0.99
50.0,0.99,0.99,0.99,1.0,0.99,0.99
51.0,0.98,0.98,0.98,0.99,0.97,0.97
52.0,0.97,0.97,0.97,0.99,0.95,0.95
53.0,0.97,0.97,0.97,0.99,0.95,0.95
54.0,0.97,0.97,0.97,1.0,0.95,0.95
