Time_Step,W_Precision,W_Recall,W_F1,W_AUC,Kappa,Matthews
1.0,0.23,0.48,0.31,0.5,0.0,0.0
2.0,0.22,0.47,0.3,0.5,0.0,0.0
3.0,0.56,0.68,0.59,0.5,0.48,0.52
4.0,0.65,0.62,0.62,0.5,0.43,0.44
5.0,0.79,0.72,0.61,0.5,0.54,0.6
6.0,0.51,0.7,0.59,0.5,0.51,0.58
7.0,0.44,0.65,0.53,0.5,0.45,0.54
8.0,0.53,0.72,0.61,0.5,0.54,0.6
9.0,0.8,0.73,0.63,0.5,0.55,0.61
10.0,0.56,0.73,0.63,0.5,0.55,0.61
11.0,0.54,0.72,0.62,0.5,0.54,0.6
12.0,0.44,0.62,0.51,0.5,0.43,0.51
13.0,0.47,0.64,0.53,0.5,0.45,0.52
14.0,0.48,0.64,0.54,0.5,0.45,0.52
15.0,0.46,0.62,0.51,0.5,0.42,0.5
16.0,0.48,0.64,0.54,0.5,0.45,0.52
17.0,0.63,0.62,0.59,0.5,0.43,0.46
18.0,0.39,0.59,0.46,0.5,0.39,0.48
19.0,0.47,0.66,0.54,0.5,0.48,0.55
20.0,0.44,0.64,0.52,0.5,0.46,0.55
21.0,0.49,0.46,0.4,0.5,0.16,0.21
22.0,0.47,0.66,0.54,0.5,0.48,0.56
23.0,0.48,0.67,0.55,0.5,0.49,0.57
24.0,0.44,0.6,0.49,0.5,0.4,0.49
25.0,0.43,0.63,0.51,0.5,0.45,0.54
26.0,0.47,0.66,0.54,0.5,0.48,0.56
27.0,0.78,0.65,0.55,0.5,0.47,0.54
28.0,0.76,0.48,0.39,0.5,0.25,0.36
29.0,0.45,0.63,0.52,0.5,0.44,0.52
30.0,0.47,0.65,0.54,0.5,0.46,0.54
31.0,0.5,0.67,0.56,0.5,0.48,0.55
32.0,0.4,0.44,0.35,0.5,0.19,0.3
33.0,0.45,0.65,0.53,0.5,0.47,0.55
34.0,0.47,0.66,0.54,0.5,0.47,0.54
35.0,0.49,0.67,0.56,0.5,0.47,0.54
36.0,0.42,0.59,0.48,0.5,0.4,0.48
37.0,0.43,0.59,0.48,0.5,0.38,0.48
38.0,0.43,0.57,0.47,0.5,0.37,0.47
39.0,0.4,0.57,0.45,0.5,0.36,0.47
40.0,0.37,0.58,0.44,0.5,0.38,0.49
41.0,0.37,0.59,0.45,0.5,0.39,0.49
42.0,0.36,0.59,0.45,0.5,0.39,0.49
43.0,0.39,0.6,0.47,0.5,0.4,0.5
44.0,0.37,0.59,0.45,0.5,0.39,0.49
45.0,0.38,0.58,0.45,0.5,0.38,0.48
46.0,0.39,0.6,0.47,0.5,0.4,0.49
47.0,0.38,0.51,0.4,0.5,0.26,0.36
48.0,0.38,0.59,0.46,0.5,0.4,0.5
49.0,0.35,0.56,0.42,0.5,0.36,0.47
50.0,0.37,0.56,0.44,0.5,0.36,0.46
51.0,0.42,0.61,0.49,0.5,0.42,0.51
52.0,0.44,0.63,0.51,0.5,0.44,0.52
53.0,0.4,0.59,0.47,0.5,0.4,0.49
54.0,0.43,0.61,0.49,0.5,0.41,0.5
