Time_Step,W_Precision,W_Recall,W_F1,W_AUC,Kappa,Matthews
1.0,0.23,0.48,0.31,0.5,0.0,0.0
2.0,0.22,0.47,0.3,0.5,0.0,0.0
3.0,0.79,0.79,0.78,0.91,0.68,0.69
4.0,0.8,0.8,0.78,0.9,0.68,0.7
5.0,0.8,0.81,0.8,0.92,0.7,0.71
6.0,0.85,0.85,0.85,0.93,0.77,0.78
7.0,0.8,0.79,0.78,0.88,0.68,0.7
8.0,0.78,0.79,0.77,0.89,0.66,0.68
9.0,0.8,0.81,0.79,0.92,0.69,0.7
10.0,0.77,0.79,0.77,0.92,0.66,0.67
11.0,0.78,0.79,0.77,0.9,0.67,0.68
12.0,0.69,0.68,0.66,0.84,0.52,0.54
13.0,0.73,0.74,0.73,0.86,0.6,0.61
14.0,0.73,0.74,0.72,0.88,0.6,0.61
15.0,0.73,0.71,0.7,0.85,0.57,0.59
16.0,0.73,0.73,0.72,0.87,0.59,0.6
17.0,0.71,0.71,0.7,0.87,0.56,0.57
18.0,0.67,0.68,0.66,0.82,0.52,0.53
19.0,0.73,0.73,0.7,0.88,0.58,0.61
20.0,0.79,0.79,0.79,0.91,0.69,0.69
21.0,0.77,0.77,0.77,0.91,0.65,0.66
22.0,0.81,0.81,0.8,0.92,0.72,0.72
23.0,0.78,0.78,0.78,0.9,0.67,0.67
24.0,0.77,0.77,0.77,0.9,0.66,0.67
25.0,0.8,0.8,0.8,0.89,0.7,0.7
26.0,0.76,0.76,0.76,0.89,0.64,0.65
27.0,0.73,0.74,0.72,0.86,0.6,0.61
28.0,0.73,0.73,0.72,0.87,0.6,0.61
29.0,0.73,0.73,0.73,0.85,0.6,0.6
30.0,0.73,0.74,0.72,0.86,0.6,0.61
31.0,0.74,0.75,0.73,0.87,0.61,0.62
32.0,0.69,0.67,0.64,0.81,0.52,0.55
33.0,0.71,0.72,0.71,0.88,0.59,0.59
34.0,0.73,0.73,0.71,0.86,0.59,0.61
35.0,0.69,0.7,0.68,0.86,0.54,0.56
36.0,0.69,0.69,0.66,0.81,0.53,0.56
37.0,0.69,0.69,0.69,0.86,0.54,0.54
38.0,0.74,0.73,0.73,0.88,0.6,0.6
39.0,0.72,0.71,0.71,0.87,0.57,0.57
40.0,0.7,0.68,0.67,0.85,0.53,0.55
41.0,0.7,0.7,0.69,0.86,0.55,0.56
42.0,0.71,0.72,0.71,0.85,0.57,0.57
43.0,0.73,0.72,0.7,0.86,0.57,0.58
44.0,0.72,0.72,0.72,0.87,0.58,0.59
45.0,0.74,0.72,0.71,0.85,0.58,0.6
46.0,0.69,0.69,0.67,0.85,0.53,0.54
47.0,0.75,0.75,0.74,0.88,0.62,0.63
48.0,0.71,0.7,0.69,0.85,0.56,0.57
49.0,0.75,0.74,0.74,0.85,0.61,0.61
50.0,0.68,0.68,0.67,0.85,0.51,0.51
51.0,0.76,0.76,0.75,0.87,0.63,0.65
52.0,0.78,0.77,0.75,0.88,0.65,0.67
53.0,0.73,0.71,0.68,0.85,0.56,0.59
54.0,0.73,0.74,0.73,0.88,0.6,0.61
