Time_Step,W_Precision,W_Recall,W_F1,W_AUC,Kappa,Matthews
1.0,0.23,0.48,0.31,0.5,0.0,0.0
2.0,0.22,0.47,0.3,0.5,0.0,0.0
3.0,0.98,0.98,0.98,0.99,0.97,0.97
4.0,0.99,0.99,0.99,0.99,0.99,0.99
5.0,0.99,0.99,0.99,0.99,0.99,0.99
6.0,0.99,0.99,0.99,1.0,0.98,0.98
7.0,0.96,0.95,0.95,0.99,0.93,0.93
8.0,0.96,0.96,0.96,0.99,0.94,0.94
9.0,0.99,0.99,0.99,1.0,0.98,0.98
10.0,0.99,0.99,0.99,1.0,0.99,0.99
11.0,0.99,0.99,0.99,1.0,0.99,0.99
12.0,0.93,0.93,0.93,0.99,0.89,0.89
13.0,0.98,0.98,0.98,1.0,0.97,0.97
14.0,0.99,0.99,0.99,1.0,0.99,0.99
15.0,0.99,0.99,0.99,1.0,0.99,0.99
16.0,0.98,0.98,0.98,1.0,0.97,0.98
17.0,0.98,0.98,0.98,1.0,0.98,0.98
18.0,0.99,0.99,0.99,1.0,0.98,0.98
19.0,0.99,0.99,0.99,1.0,0.99,0.99
20.0,0.99,0.99,0.99,1.0,0.99,0.99
21.0,0.99,0.99,0.99,1.0,0.99,0.99
22.0,1.0,1.0,1.0,1.0,0.99,0.99
23.0,1.0,1.0,1.0,1.0,1.0,1.0
24.0,0.98,0.98,0.98,1.0,0.98,0.98
25.0,1.0,1.0,1.0,1.0,1.0,1.0
26.0,0.99,0.99,0.99,1.0,0.99,0.99
27.0,0.95,0.95,0.95,0.97,0.93,0.93
28.0,0.93,0.92,0.92,1.0,0.88,0.89
29.0,0.98,0.98,0.98,1.0,0.97,0.97
30.0,0.97,0.96,0.97,1.0,0.95,0.95
31.0,0.98,0.98,0.98,1.0,0.96,0.96
32.0,0.94,0.93,0.93,1.0,0.89,0.9
33.0,0.98,0.97,0.97,1.0,0.96,0.96
34.0,0.97,0.97,0.97,1.0,0.95,0.95
35.0,0.97,0.97,0.97,1.0,0.96,0.96
36.0,0.97,0.97,0.97,1.0,0.96,0.96
37.0,1.0,1.0,1.0,1.0,1.0,1.0
38.0,1.0,1.0,1.0,1.0,0.99,0.99
39.0,0.99,0.99,0.99,1.0,0.99,0.99
40.0,0.99,0.99,0.99,1.0,0.99,0.99
41.0,1.0,1.0,1.0,1.0,1.0,1.0
42.0,1.0,1.0,1.0,1.0,0.99,0.99
43.0,0.99,0.99,0.99,1.0,0.99,0.99
44.0,0.99,0.99,0.99,1.0,0.98,0.98
45.0,1.0,1.0,1.0,1.0,0.99,0.99
46.0,1.0,1.0,1.0,1.0,1.0,1.0
47.0,1.0,1.0,1.0,1.0,0.99,0.99
48.0,1.0,1.0,1.0,1.0,0.99,0.99
49.0,1.0,1.0,1.0,1.0,0.99,0.99
50.0,1.0,1.0,1.0,1.0,0.99,0.99
51.0,0.98,0.98,0.98,1.0,0.97,0.97
52.0,0.98,0.98,0.98,1.0,0.96,0.96
53.0,0.97,0.97,0.97,1.0,0.96,0.96
54.0,0.97,0.97,0.97,1.0,0.96,0.96
