Time_Step,W_Precision,W_Recall,W_F1,W_AUC,Kappa,Matthews
1.0,0.23,0.48,0.31,0.5,0.0,0.0
2.0,0.22,0.47,0.3,0.5,0.0,0.0
3.0,0.83,0.84,0.83,0.93,0.75,0.75
4.0,0.83,0.83,0.83,0.92,0.73,0.74
5.0,0.84,0.84,0.83,0.94,0.75,0.75
6.0,0.88,0.88,0.88,0.95,0.82,0.82
7.0,0.8,0.8,0.79,0.9,0.69,0.69
8.0,0.8,0.81,0.81,0.9,0.7,0.7
9.0,0.82,0.82,0.82,0.94,0.71,0.72
10.0,0.82,0.83,0.83,0.93,0.73,0.73
11.0,0.82,0.83,0.82,0.92,0.73,0.73
12.0,0.78,0.78,0.78,0.87,0.67,0.67
13.0,0.76,0.76,0.76,0.88,0.63,0.63
14.0,0.8,0.79,0.79,0.91,0.69,0.69
15.0,0.73,0.72,0.72,0.87,0.59,0.59
16.0,0.78,0.77,0.77,0.89,0.66,0.66
17.0,0.75,0.74,0.74,0.88,0.6,0.6
18.0,0.78,0.74,0.73,0.88,0.6,0.63
19.0,0.78,0.78,0.77,0.9,0.67,0.68
20.0,0.83,0.83,0.83,0.92,0.75,0.75
21.0,0.82,0.83,0.82,0.93,0.74,0.74
22.0,0.84,0.83,0.83,0.93,0.75,0.75
23.0,0.81,0.81,0.81,0.93,0.72,0.72
24.0,0.84,0.84,0.84,0.92,0.76,0.76
25.0,0.78,0.76,0.76,0.9,0.64,0.65
26.0,0.81,0.81,0.81,0.93,0.71,0.72
27.0,0.79,0.79,0.78,0.88,0.68,0.69
28.0,0.78,0.78,0.78,0.9,0.67,0.68
29.0,0.77,0.77,0.76,0.88,0.65,0.65
30.0,0.78,0.78,0.78,0.88,0.67,0.68
31.0,0.75,0.75,0.75,0.89,0.63,0.63
32.0,0.75,0.73,0.72,0.84,0.61,0.63
33.0,0.78,0.78,0.78,0.89,0.67,0.67
34.0,0.72,0.73,0.72,0.86,0.59,0.59
35.0,0.72,0.72,0.71,0.87,0.57,0.58
36.0,0.73,0.73,0.71,0.84,0.6,0.61
37.0,0.79,0.79,0.79,0.9,0.68,0.68
38.0,0.79,0.79,0.78,0.9,0.68,0.68
39.0,0.81,0.82,0.81,0.91,0.72,0.72
40.0,0.79,0.78,0.77,0.89,0.67,0.68
41.0,0.81,0.81,0.81,0.9,0.72,0.72
42.0,0.84,0.84,0.84,0.93,0.76,0.76
43.0,0.82,0.82,0.82,0.93,0.72,0.72
44.0,0.79,0.79,0.79,0.9,0.68,0.69
45.0,0.77,0.77,0.77,0.88,0.65,0.66
46.0,0.76,0.76,0.76,0.89,0.64,0.64
47.0,0.79,0.79,0.79,0.91,0.69,0.69
48.0,0.8,0.8,0.79,0.91,0.69,0.7
49.0,0.79,0.79,0.79,0.9,0.68,0.68
50.0,0.77,0.76,0.77,0.9,0.64,0.64
51.0,0.78,0.79,0.78,0.9,0.68,0.68
52.0,0.81,0.81,0.8,0.9,0.71,0.72
53.0,0.75,0.76,0.75,0.87,0.63,0.64
54.0,0.81,0.8,0.8,0.91,0.7,0.7
