Time_Step,W_Precision,W_Recall,W_F1,W_AUC,Kappa,Matthews
1.0,0.23,0.48,0.31,0.5,0.0,0.0
2.0,0.22,0.47,0.3,0.5,0.0,0.0
3.0,0.79,0.79,0.77,0.5,0.67,0.69
4.0,0.78,0.77,0.73,0.5,0.63,0.66
5.0,0.63,0.63,0.63,0.5,0.43,0.43
6.0,0.81,0.82,0.81,0.5,0.71,0.72
7.0,0.72,0.73,0.72,0.5,0.59,0.59
8.0,0.78,0.78,0.75,0.5,0.65,0.67
9.0,0.61,0.63,0.61,0.5,0.4,0.4
10.0,0.76,0.78,0.75,0.5,0.64,0.66
11.0,0.75,0.76,0.75,0.5,0.63,0.63
12.0,0.55,0.62,0.51,0.5,0.42,0.5
13.0,0.6,0.63,0.6,0.5,0.43,0.44
14.0,0.74,0.74,0.73,0.5,0.61,0.62
15.0,0.67,0.67,0.66,0.5,0.5,0.51
16.0,0.71,0.72,0.71,0.5,0.58,0.58
17.0,0.67,0.67,0.67,0.5,0.5,0.5
18.0,0.68,0.68,0.67,0.5,0.52,0.54
19.0,0.69,0.69,0.61,0.5,0.52,0.57
20.0,0.77,0.77,0.76,0.5,0.65,0.65
21.0,0.69,0.69,0.68,0.5,0.54,0.54
22.0,0.84,0.83,0.82,0.5,0.74,0.75
23.0,0.75,0.74,0.73,0.5,0.61,0.62
24.0,0.81,0.8,0.8,0.5,0.7,0.71
25.0,0.69,0.69,0.67,0.5,0.54,0.55
26.0,0.74,0.75,0.74,0.5,0.62,0.62
27.0,0.71,0.71,0.71,0.5,0.57,0.57
28.0,0.66,0.67,0.66,0.5,0.5,0.51
29.0,0.6,0.6,0.57,0.5,0.4,0.42
30.0,0.75,0.76,0.75,0.5,0.63,0.64
31.0,0.68,0.68,0.68,0.5,0.51,0.51
32.0,0.67,0.68,0.67,0.5,0.51,0.51
33.0,0.69,0.7,0.68,0.5,0.55,0.56
34.0,0.65,0.66,0.65,0.5,0.49,0.49
35.0,0.67,0.69,0.68,0.5,0.52,0.53
36.0,0.63,0.58,0.47,0.5,0.37,0.46
37.0,0.67,0.66,0.67,0.5,0.49,0.5
38.0,0.73,0.72,0.72,0.5,0.58,0.59
39.0,0.73,0.72,0.71,0.5,0.58,0.59
40.0,0.59,0.59,0.57,0.5,0.38,0.39
41.0,0.7,0.71,0.7,0.5,0.56,0.56
42.0,0.65,0.63,0.62,0.5,0.43,0.45
43.0,0.69,0.7,0.69,0.5,0.54,0.54
44.0,0.74,0.72,0.69,0.5,0.58,0.6
45.0,0.74,0.72,0.7,0.5,0.58,0.6
46.0,0.69,0.68,0.66,0.5,0.52,0.54
47.0,0.64,0.64,0.63,0.5,0.46,0.46
48.0,0.76,0.65,0.58,0.5,0.49,0.56
49.0,0.7,0.7,0.7,0.5,0.54,0.55
50.0,0.64,0.65,0.65,0.5,0.47,0.47
51.0,0.67,0.67,0.67,0.5,0.51,0.51
52.0,0.68,0.67,0.67,0.5,0.51,0.52
53.0,0.65,0.66,0.64,0.5,0.49,0.49
54.0,0.72,0.72,0.72,0.5,0.58,0.58
