Time_Step,W_Precision,W_Recall,W_F1,W_AUC,Kappa,Matthews
1.0,0.23,0.48,0.31,0.5,0.0,0.0
2.0,0.22,0.47,0.3,0.5,0.0,0.0
3.0,0.97,0.97,0.97,0.99,0.96,0.96
4.0,0.97,0.97,0.97,0.99,0.96,0.96
5.0,0.95,0.95,0.95,0.99,0.92,0.92
6.0,0.96,0.96,0.96,0.99,0.93,0.93
7.0,0.93,0.93,0.93,0.98,0.9,0.9
8.0,0.93,0.92,0.92,0.97,0.88,0.88
9.0,0.95,0.94,0.94,0.99,0.91,0.91
10.0,0.94,0.94,0.94,0.99,0.9,0.91
11.0,0.92,0.92,0.92,0.98,0.88,0.88
12.0,0.88,0.88,0.87,0.97,0.82,0.82
13.0,0.89,0.89,0.88,0.98,0.82,0.83
14.0,0.98,0.98,0.98,1.0,0.97,0.97
15.0,0.94,0.94,0.94,0.99,0.91,0.92
16.0,0.76,0.77,0.76,0.9,0.65,0.65
17.0,0.81,0.82,0.81,0.92,0.72,0.72
18.0,0.8,0.79,0.78,0.91,0.68,0.7
19.0,0.81,0.81,0.8,0.9,0.71,0.72
20.0,0.79,0.8,0.79,0.9,0.69,0.7
21.0,0.75,0.74,0.74,0.87,0.61,0.62
22.0,0.8,0.8,0.8,0.91,0.7,0.7
23.0,0.98,0.98,0.98,1.0,0.97,0.97
24.0,0.99,0.99,0.99,1.0,0.98,0.98
25.0,1.0,1.0,1.0,1.0,1.0,1.0
26.0,1.0,1.0,1.0,1.0,1.0,1.0
27.0,0.96,0.95,0.95,0.97,0.93,0.93
28.0,0.91,0.9,0.9,0.97,0.85,0.86
29.0,0.98,0.98,0.98,0.99,0.97,0.97
30.0,0.76,0.76,0.75,0.86,0.63,0.64
31.0,0.73,0.74,0.73,0.84,0.61,0.61
32.0,0.71,0.69,0.66,0.82,0.54,0.57
33.0,0.71,0.72,0.71,0.84,0.58,0.58
34.0,0.92,0.92,0.92,0.99,0.88,0.88
35.0,0.91,0.9,0.89,0.98,0.85,0.86
36.0,0.96,0.96,0.96,1.0,0.93,0.94
37.0,1.0,1.0,1.0,1.0,0.99,0.99
38.0,0.93,0.93,0.93,0.99,0.9,0.9
39.0,1.0,1.0,1.0,1.0,0.99,0.99
40.0,0.99,0.99,0.99,1.0,0.99,0.99
41.0,1.0,1.0,1.0,1.0,1.0,1.0
42.0,1.0,1.0,1.0,1.0,1.0,1.0
43.0,1.0,1.0,1.0,1.0,1.0,1.0
44.0,1.0,1.0,1.0,1.0,1.0,1.0
45.0,1.0,1.0,1.0,1.0,1.0,1.0
46.0,1.0,1.0,1.0,1.0,1.0,1.0
47.0,1.0,1.0,1.0,1.0,1.0,1.0
48.0,1.0,1.0,1.0,1.0,1.0,1.0
49.0,1.0,1.0,1.0,1.0,1.0,1.0
50.0,1.0,1.0,1.0,1.0,1.0,1.0
51.0,0.99,0.99,0.99,0.99,0.98,0.98
52.0,1.0,1.0,1.0,1.0,0.99,0.99
53.0,0.98,0.98,0.98,1.0,0.97,0.97
54.0,1.0,1.0,1.0,1.0,1.0,1.0
