Time_Step,W_Precision,W_Recall,W_F1,W_AUC,Kappa,Matthews
1.0,0.97,0.97,0.97,1.0,0.95,0.95
2.0,0.97,0.97,0.97,1.0,0.95,0.95
3.0,0.96,0.96,0.96,0.99,0.94,0.94
4.0,0.97,0.97,0.97,0.99,0.96,0.96
5.0,0.97,0.97,0.97,0.99,0.95,0.95
6.0,0.97,0.97,0.97,0.99,0.96,0.96
7.0,0.94,0.93,0.93,0.97,0.9,0.9
8.0,0.95,0.94,0.94,0.97,0.91,0.91
9.0,0.97,0.97,0.97,1.0,0.95,0.95
10.0,0.97,0.97,0.97,1.0,0.96,0.96
11.0,0.96,0.96,0.96,0.99,0.94,0.94
12.0,0.9,0.9,0.9,0.96,0.84,0.84
13.0,0.9,0.9,0.9,0.99,0.85,0.85
14.0,0.9,0.9,0.9,0.99,0.85,0.85
15.0,0.9,0.9,0.9,0.99,0.85,0.85
16.0,0.89,0.89,0.89,0.98,0.83,0.83
17.0,0.89,0.89,0.89,0.98,0.84,0.84
18.0,0.88,0.87,0.87,0.98,0.81,0.81
19.0,0.98,0.98,0.98,1.0,0.96,0.96
20.0,1.0,1.0,1.0,1.0,0.99,0.99
21.0,0.87,0.8,0.8,0.94,0.71,0.74
22.0,0.86,0.77,0.75,0.97,0.66,0.71
23.0,0.85,0.74,0.71,0.97,0.62,0.69
24.0,0.82,0.73,0.69,0.97,0.59,0.65
25.0,0.85,0.77,0.74,0.97,0.65,0.7
26.0,0.99,0.99,0.99,1.0,0.98,0.98
27.0,0.93,0.93,0.93,0.98,0.89,0.89
28.0,0.91,0.9,0.9,0.96,0.85,0.85
29.0,0.96,0.96,0.96,0.99,0.94,0.94
30.0,0.96,0.96,0.96,0.99,0.94,0.94
31.0,0.96,0.96,0.96,0.99,0.94,0.94
32.0,0.9,0.89,0.89,0.96,0.83,0.84
33.0,0.96,0.96,0.96,1.0,0.94,0.94
34.0,0.95,0.95,0.95,1.0,0.93,0.93
35.0,0.94,0.94,0.94,1.0,0.9,0.9
36.0,0.91,0.91,0.91,0.99,0.87,0.87
37.0,0.92,0.91,0.9,1.0,0.86,0.87
38.0,0.88,0.86,0.85,0.98,0.79,0.8
39.0,0.83,0.79,0.76,0.95,0.68,0.72
40.0,0.55,0.56,0.54,0.85,0.34,0.35
41.0,0.52,0.53,0.51,0.8,0.3,0.31
42.0,0.55,0.57,0.55,0.79,0.36,0.37
43.0,0.82,0.72,0.69,0.88,0.58,0.65
44.0,0.82,0.73,0.7,0.89,0.6,0.66
45.0,0.83,0.74,0.71,0.89,0.61,0.67
46.0,0.83,0.75,0.72,0.89,0.62,0.68
47.0,0.83,0.76,0.73,0.87,0.63,0.68
48.0,0.88,0.86,0.85,0.92,0.79,0.8
49.0,0.87,0.87,0.87,0.93,0.8,0.81
50.0,0.93,0.93,0.93,0.99,0.89,0.89
51.0,0.78,0.74,0.73,0.86,0.61,0.63
52.0,0.77,0.68,0.66,0.84,0.53,0.56
53.0,0.69,0.65,0.64,0.82,0.48,0.5
54.0,0.69,0.65,0.63,0.83,0.48,0.5
