Week,TP,FP,FN,TN,FA,TP_Precision,TP_Recall,TN_Precision,TN_Recall,F1_pos,F1_neg,F1_Avg,Geometric_mean,Balanced_Accuracy,Y_score,AUC
1,159,41,23,113,0.266233766233766,0.795,0.873626373626374,0.830882352941177,0.733766233766234,0.832460732984293,0.779310344827586,0.80588553890594,0.80064819608532,0.803696303696304,0.808318740083446,0.837020122734408
2,115,29,13,179,0.139423076923077,0.798611111111111,0.8984375,0.932291666666667,0.860576923076923,0.845588235294118,0.895,0.870294117647059,0.879303462592365,0.879507211538462,0.872479300213675,0.900202824519231
3,71,1,50,214,0.00465116279069767,0.986111111111111,0.586776859504132,0.810606060606061,0.995348837209302,0.735751295336788,0.893528183716075,0.814639739526431,0.764230112471868,0.791062848356717,0.844710717107652,0.792216029213915
4,93,0,22,221,0,1,0.808695652173913,0.909465020576132,1,0.894230769230769,0.952586206896552,0.92340848806366,0.899275070361629,0.904347826086957,0.929540168187511,0.910407239819005
5,69,4,78,185,0.0211640211640212,0.945205479452055,0.469387755102041,0.703422053231939,0.978835978835979,0.627272727272727,0.81858407079646,0.722928399034594,0.677830083958309,0.72411186696901,0.774212816655503,0.816758449411511
6,73,4,89,170,0.0229885057471264,0.948051948051948,0.450617283950617,0.656370656370656,0.977011494252874,0.610878661087866,0.785219399538106,0.698049030312986,0.663519604781022,0.713814389101745,0.758012845656524,0.806584362139918
7,121,37,48,130,0.221556886227545,0.765822784810127,0.715976331360947,0.730337078651685,0.778443113772455,0.740061162079511,0.753623188405797,0.746842175242654,0.746556658782168,0.747209722566701,0.747644827148803,0.899071679126953
8,98,11,80,147,0.069620253164557,0.89908256880734,0.550561797752809,0.647577092511013,0.930379746835443,0.682926829268293,0.763636363636364,0.723281596452328,0.715703532204868,0.740470772294126,0.756900301476651,0.883355852652539
9,45,62,97,132,0.319587628865979,0.420560747663551,0.316901408450704,0.576419213973799,0.680412371134021,0.36144578313253,0.624113475177305,0.492779629154918,0.464352924766986,0.498656889792362,0.498573435305519,0.584361841149993
10,89,88,53,106,0.45360824742268,0.502824858757062,0.626760563380282,0.666666666666667,0.54639175257732,0.557993730407524,0.60056657223796,0.579280151322742,0.585198088404004,0.586576157978801,0.585660960345333,0.622604181791782
11,89,67,43,137,0.32843137254902,0.57051282051282,0.674242424242424,0.761111111111111,0.67156862745098,0.618055555555556,0.713541666666667,0.665798611111111,0.672904197800628,0.672905525846702,0.669358745829334,0.741885769459299
12,44,49,27,216,0.184905660377358,0.473118279569893,0.619718309859155,0.888888888888889,0.815094339622642,0.536585365853658,0.850393700787402,0.69348953332053,0.710724198635946,0.717406324740898,0.699204954485144,0.76088227478076
