Day,TP,FP,FN,TN,FA,TP_Precision,TP_Recall,TN_Precision,TN_Recall,F1_pos,F1_neg,F1_Avg,Geometric_mean,Balanced_Accuracy,Y_score,AUC,Accuracy
1,0,0,182,154,0,0.458333333,0,0.458333333,1,0,0.628571429,0.314285714,0,0.5,0.364583333,0.5,0.458333333
2,0,0,128,208,0,0.619047619,0,0.619047619,1,0,0.764705882,0.382352941,0,0.5,0.404761905,0.5,0.619047619
3,69,2,52,213,0.009302326,0.803773585,0.570247934,0.803773585,0.990697674,0.71875,0.8875,0.803125,0.751627103,0.780472804,0.834137545,0.94877955,0.839285714
4,100,4,15,217,0.018099548,0.935344828,0.869565217,0.935344828,0.981900452,0.913242009,0.958057395,0.935649702,0.924027316,0.925732835,0.93708724,0.978595318,0.943452381
5,78,8,69,181,0.042328042,0.724,0.530612245,0.724,0.957671958,0.669527897,0.824601367,0.747064632,0.712848138,0.744142101,0.779815237,0.787459958,0.770833333
6,124,63,38,111,0.362068966,0.744966443,0.765432099,0.744966443,0.637931034,0.710601719,0.687306502,0.69895411,0.698779572,0.701681567,0.702857795,0.812083156,0.699404762
7,128,14,41,153,0.083832335,0.788659794,0.75739645,0.788659794,0.916167665,0.823151125,0.847645429,0.835398277,0.833007885,0.836782057,0.84090809,0.950536796,0.836309524
8,140,7,38,151,0.044303797,0.798941799,0.786516854,0.798941799,0.955696203,0.861538462,0.870317003,0.865927732,0.866989718,0.871106528,0.873383952,0.949847106,0.866071429
9,61,25,81,169,0.128865979,0.676,0.429577465,0.676,0.871134021,0.535087719,0.761261261,0.64817449,0.611734864,0.650355743,0.671503453,0.760436329,0.68452381
10,59,14,83,180,0.072164948,0.684410646,0.415492958,0.684410646,0.927835052,0.548837209,0.787746171,0.66829169,0.620893654,0.671664005,0.708989458,0.812236823,0.711309524
11,112,24,20,180,0.117647059,0.9,0.848484848,0.9,0.882352941,0.835820896,0.891089109,0.863455002,0.865253201,0.865418895,0.8635918,0.924242424,0.869047619
12,67,44,4,221,0.166037736,0.982222222,0.943661972,0.982222222,0.833962264,0.736263736,0.902040816,0.819152276,0.887118073,0.888812118,0.840862515,0.927584374,0.857142857
13,53,7,52,224,0.03030303,0.811594203,0.504761905,0.811594203,0.96969697,0.642424242,0.883629191,0.763026717,0.699618531,0.737229437,0.792346603,0.860296846,0.824404762
14,79,39,33,185,0.174107143,0.848623853,0.705357143,0.848623853,0.825892857,0.686956522,0.837104072,0.762030297,0.763249255,0.765625,0.762341345,0.868961256,0.785714286
15,97,12,17,210,0.054054054,0.925110132,0.850877193,0.925110132,0.945945946,0.869955157,0.935412027,0.902683592,0.897153182,0.898411569,0.902960382,0.939386755,0.913690476
16,21,0,137,178,0,0.565079365,0.132911392,0.565079365,1,0.234636872,0.722109533,0.478373202,0.364570147,0.566455696,0.674497689,0.583025174,0.592261905
17,134,37,20,145,0.203296703,0.878787879,0.87012987,0.878787879,0.796703297,0.824615385,0.83573487,0.830175127,0.832607552,0.833416583,0.832311694,0.906664764,0.830357143
18,58,55,53,170,0.244444444,0.762331839,0.522522523,0.762331839,0.755555556,0.517857143,0.758928571,0.638392857,0.628326981,0.639039039,0.638421063,0.732552553,0.678571429
19,56,44,62,174,0.201834862,0.737288136,0.474576271,0.737288136,0.798165138,0.513761468,0.766519824,0.640140646,0.615459369,0.636370704,0.642507386,0.76193438,0.68452381
20,77,32,84,143,0.182857143,0.629955947,0.47826087,0.629955947,0.817142857,0.57037037,0.711442786,0.640906578,0.625145946,0.647701863,0.657945423,0.720337178,0.654761905
21,70,43,33,190,0.184549356,0.852017937,0.67961165,0.852017937,0.815450644,0.648148148,0.833333333,0.740740741,0.744439224,0.747531147,0.741637315,0.826909455,0.773809524
22,40,40,101,155,0.205128205,0.60546875,0.283687943,0.60546875,0.794871795,0.36199095,0.687361419,0.524676185,0.474863712,0.539279869,0.546007122,0.644699036,0.580357143
23,102,40,31,163,0.197044335,0.840206186,0.766917293,0.840206186,0.802955665,0.741818182,0.82115869,0.781488436,0.784729626,0.784936479,0.782097251,0.870513723,0.788690476
24,115,24,64,133,0.152866242,0.675126904,0.642458101,0.675126904,0.847133758,0.72327044,0.751412429,0.737341435,0.737731621,0.744795929,0.748014223,0.876881472,0.738095238
25,119,46,16,155,0.228855721,0.906432749,0.881481481,0.906432749,0.771144279,0.793333333,0.833333333,0.813333333,0.824469163,0.82631288,0.820067657,0.931527547,0.81547619
26,88,8,41,199,0.038647343,0.829166667,0.682170543,0.829166667,0.961352657,0.782222222,0.890380313,0.836301268,0.809818784,0.8217616,0.847339133,0.901434296,0.854166667
27,80,6,64,186,0.03125,0.744,0.555555556,0.744,0.96875,0.695652174,0.841628959,0.768640567,0.733617369,0.762152778,0.799634528,0.873517072,0.791666667
28,129,65,7,135,0.325,0.950704225,0.948529412,0.950704225,0.675,0.781818182,0.789473684,0.785645933,0.800160829,0.811764706,0.809795523,0.928014706,0.785714286
29,163,15,26,132,0.102040816,0.835443038,0.862433862,0.835443038,0.897959184,0.888283379,0.86557377,0.876928575,0.880017277,0.880196523,0.877891605,0.948781629,0.87797619
30,94,75,22,145,0.340909091,0.868263473,0.810344828,0.868263473,0.659090909,0.659649123,0.749354005,0.704501564,0.730815236,0.734717868,0.723478057,0.776077586,0.711309524
31,76,13,78,169,0.071428571,0.684210526,0.493506494,0.684210526,0.928571429,0.625514403,0.787878788,0.706696596,0.676946105,0.711038961,0.740055258,0.80353575,0.729166667
32,46,3,64,223,0.013274336,0.777003484,0.418181818,0.777003484,0.986725664,0.578616352,0.869395712,0.724006032,0.642363396,0.702453741,0.780171619,0.774275945,0.800595238
33,54,24,61,197,0.108597285,0.763565891,0.469565217,0.763565891,0.891402715,0.559585492,0.822546973,0.691066233,0.646971181,0.680483966,0.704210379,0.816840449,0.74702381
34,60,17,65,194,0.08056872,0.749034749,0.48,0.749034749,0.91943128,0.594059406,0.825531915,0.70979566,0.66432448,0.69971564,0.731921702,0.82642654,0.755952381
35,88,87,34,127,0.406542056,0.788819876,0.721311475,0.788819876,0.593457944,0.592592593,0.677333333,0.634962963,0.654269077,0.65738471,0.651611609,0.721043358,0.639880952
36,75,15,69,177,0.078125,0.719512195,0.520833333,0.719512195,0.921875,0.641025641,0.808219178,0.72462241,0.692923682,0.721354167,0.748888465,0.87125651,0.75
37,126,27,34,149,0.153409091,0.81420765,0.7875,0.81420765,0.846590909,0.805111821,0.830083565,0.817597693,0.816511078,0.817045455,0.817956993,0.88803267,0.818452381
38,57,22,54,203,0.097777778,0.789883268,0.513513514,0.789883268,0.902222222,0.6,0.842323651,0.721161826,0.68066387,0.707867868,0.731784498,0.815915916,0.773809524
39,59,13,73,191,0.06372549,0.723484848,0.446969697,0.723484848,0.93627451,0.578431373,0.816239316,0.697335344,0.646905197,0.691622103,0.731543375,0.813799762,0.744047619
40,110,55,4,167,0.247747748,0.976608187,0.964912281,0.976608187,0.752252252,0.788530466,0.849872774,0.81920162,0.851972673,0.858582266,0.840109847,0.919057215,0.824404762
41,62,20,80,174,0.103092784,0.68503937,0.436619718,0.68503937,0.896907216,0.553571429,0.776785714,0.665178571,0.625785407,0.666763467,0.693665966,0.731904312,0.702380952
42,64,43,61,168,0.203791469,0.733624454,0.512,0.733624454,0.796208531,0.551724138,0.763636364,0.657680251,0.638481611,0.654104265,0.659990957,0.736890995,0.69047619
43,107,92,30,107,0.462311558,0.781021898,0.781021898,0.781021898,0.537688442,0.636904762,0.636904762,0.636904762,0.648032752,0.65935517,0.65935517,0.74267322,0.636904762
