Day,TP,FP,FN,TN,FA,TP_Precision,TP_Recall,TN_Precision,TN_Recall,F1_pos,F1_neg,F1_Avg,Geometric_mean,Balanced_Accuracy,Y_score,AUC,Accuracy
1,0,0,182,154,0,0.458333333,0,0.458333333,1,0,0.628571429,0.314285714,0,0.5,0.364583333,0.5,0.458333333
2,0,0,128,208,0,0.619047619,0,0.619047619,1,0,0.764705882,0.382352941,0,0.5,0.404761905,0.5,0.619047619
3,71,5,50,210,0.023255814,0.807692308,0.58677686,0.807692308,0.976744186,0.720812183,0.884210526,0.802511355,0.757054084,0.781760523,0.82635597,0.5,0.836309524
4,95,5,20,216,0.022624434,0.915254237,0.826086957,0.915254237,0.977375566,0.88372093,0.945295405,0.914508168,0.89855284,0.901731261,0.91717919,0.5,0.925595238
5,80,18,67,171,0.095238095,0.718487395,0.544217687,0.718487395,0.904761905,0.653061224,0.800936768,0.726998996,0.701703236,0.724489796,0.745948379,0.5,0.74702381
6,91,18,71,156,0.103448276,0.68722467,0.561728395,0.68722467,0.896551724,0.671586716,0.778054863,0.724820789,0.709660878,0.72914006,0.745091794,0.5,0.735119048
7,122,41,47,126,0.245508982,0.728323699,0.721893491,0.728323699,0.754491018,0.734939759,0.741176471,0.738058115,0.7380123,0.738192255,0.738293617,0.5,0.738095238
8,105,19,73,139,0.120253165,0.655660377,0.58988764,0.655660377,0.879746835,0.695364238,0.751351351,0.723357795,0.720383082,0.734817238,0.743017262,0.5,0.726190476
9,91,59,51,135,0.304123711,0.725806452,0.64084507,0.725806452,0.695876289,0.623287671,0.710526316,0.666906994,0.667794047,0.66836068,0.667298619,0.5,0.672619048
10,100,60,42,134,0.309278351,0.761363636,0.704225352,0.761363636,0.690721649,0.662251656,0.724324324,0.69328799,0.69744082,0.697473501,0.695327659,0.5,0.696428571
11,91,66,41,138,0.323529412,0.770949721,0.689393939,0.770949721,0.676470588,0.629757785,0.720626632,0.675192209,0.682901694,0.682932264,0.679108021,0.5,0.681547619
12,67,68,4,197,0.256603774,0.980099502,0.943661972,0.980099502,0.743396226,0.650485437,0.845493562,0.7479895,0.837564773,0.843529099,0.790863499,0.5,0.785714286
13,35,3,70,228,0.012987013,0.765100671,0.333333333,0.765100671,0.987012987,0.48951049,0.862003781,0.675757135,0.57358899,0.66017316,0.751624906,0.5,0.782738095
14,88,42,24,182,0.1875,0.883495146,0.785714286,0.883495146,0.8125,0.727272727,0.846511628,0.786892178,0.798994904,0.799107143,0.789658127,0.5,0.803571429
15,77,2,37,220,0.009009009,0.856031128,0.675438596,0.856031128,0.990990991,0.797927461,0.918580376,0.858253918,0.818140308,0.833214794,0.874286065,0.5,0.883928571
16,12,0,146,178,0,0.549382716,0.075949367,0.549382716,1,0.141176471,0.709163347,0.425169909,0.275589127,0.537974684,0.656333021,0.5,0.56547619
17,114,44,40,138,0.241758242,0.775280899,0.74025974,0.775280899,0.758241758,0.730769231,0.766666667,0.748717949,0.749196801,0.749250749,0.748825346,0.5,0.75
18,48,60,63,165,0.266666667,0.723684211,0.432432432,0.723684211,0.733333333,0.438356164,0.728476821,0.583416493,0.563131527,0.582882883,0.583473605,0.5,0.633928571
19,29,9,89,209,0.041284404,0.701342282,0.245762712,0.701342282,0.958715596,0.371794872,0.810077519,0.590936196,0.485403487,0.602239154,0.667244621,0.5,0.708333333
20,42,10,119,165,0.057142857,0.580985915,0.260869565,0.580985915,0.942857143,0.394366197,0.718954248,0.556660223,0.4959463,0.601863354,0.648101233,0.5,0.616071429
21,64,34,39,199,0.145922747,0.836134454,0.621359223,0.836134454,0.854077253,0.63681592,0.845010616,0.740913268,0.72848389,0.737718238,0.741158039,0.5,0.782738095
22,25,1,116,194,0.005128205,0.625806452,0.177304965,0.625806452,0.994871795,0.299401198,0.768316832,0.533859015,0.419994891,0.58608838,0.689880418,0.5,0.651785714
23,104,51,29,152,0.251231527,0.839779006,0.781954887,0.839779006,0.748768473,0.722222222,0.791666667,0.756944444,0.765181787,0.76536168,0.760367527,0.5,0.761904762
24,112,19,67,138,0.121019108,0.673170732,0.625698324,0.673170732,0.878980892,0.722580645,0.762430939,0.742505792,0.741604255,0.752339608,0.758202945,0.5,0.744047619
25,121,27,14,174,0.134328358,0.925531915,0.896296296,0.925531915,0.865671642,0.855123675,0.894601542,0.874862609,0.880850888,0.880983969,0.876266855,0.5,0.87797619
26,86,4,43,203,0.019323671,0.825203252,0.666666667,0.825203252,0.980676329,0.785388128,0.896247241,0.840817684,0.808569242,0.823671498,0.857025451,0.5,0.860119048
27,63,0,81,192,0,0.703296703,0.4375,0.703296703,1,0.608695652,0.825806452,0.717251052,0.661437828,0.71875,0.785199176,0.5,0.758928571
28,123,62,13,138,0.31,0.913907285,0.904411765,0.913907285,0.69,0.76635514,0.786324786,0.776339963,0.789964631,0.797205882,0.793295979,0.5,0.776785714
29,98,2,91,145,0.013605442,0.61440678,0.518518519,0.61440678,0.986394558,0.678200692,0.757180157,0.717690424,0.715167005,0.752456538,0.774829964,0.5,0.723214286
30,89,106,27,114,0.481818182,0.808510638,0.767241379,0.808510638,0.518181818,0.572347267,0.631578947,0.601963107,0.630531944,0.642711599,0.637586023,0.5,0.604166667
31,59,16,95,166,0.087912088,0.636015326,0.383116883,0.636015326,0.912087912,0.515283843,0.749435666,0.632359754,0.591131354,0.647602398,0.679471697,0.5,0.669642857
32,31,1,79,225,0.004424779,0.740131579,0.281818182,0.740131579,0.995575221,0.436619718,0.849056604,0.642838161,0.529689719,0.638696702,0.746568746,0.5,0.761904762
33,55,10,60,211,0.045248869,0.778597786,0.47826087,0.778597786,0.954751131,0.611111111,0.857723577,0.734417344,0.675736714,0.716506,0.764440908,0.5,0.791666667
34,59,12,66,199,0.056872038,0.750943396,0.472,0.750943396,0.943127962,0.602040816,0.836134454,0.719087635,0.667200418,0.707563981,0.749264318,0.5,0.767857143
35,78,61,44,153,0.285046729,0.776649746,0.639344262,0.776649746,0.714953271,0.597701149,0.744525547,0.671113348,0.67609265,0.677148767,0.67302459,0.5,0.6875
36,84,11,60,181,0.057291667,0.751037344,0.583333333,0.751037344,0.942708333,0.70292887,0.836027714,0.769478292,0.741561322,0.763020833,0.790322384,0.5,0.788690476
37,122,72,38,104,0.409090909,0.732394366,0.7625,0.732394366,0.590909091,0.689265537,0.65408805,0.671676794,0.671243757,0.676704545,0.678667359,0.5,0.672619048
38,59,56,52,169,0.248888889,0.764705882,0.531531532,0.764705882,0.751111111,0.522123894,0.757847534,0.639985714,0.631853812,0.641321321,0.640098001,0.5,0.678571429
39,29,14,103,190,0.068627451,0.648464164,0.21969697,0.648464164,0.931372549,0.331428571,0.764587525,0.548008048,0.45234912,0.575534759,0.618488072,0.5,0.651785714
40,96,35,18,187,0.157657658,0.912195122,0.842105263,0.912195122,0.842342342,0.783673469,0.87587822,0.829775845,0.842223794,0.842223803,0.832366789,0.5,0.842261905
41,62,18,80,176,0.092783505,0.6875,0.436619718,0.6875,0.907216495,0.558558559,0.782222222,0.67039039,0.6293716,0.671918107,0.701584053,0.5,0.708333333
42,35,24,90,187,0.113744076,0.675090253,0.28,0.675090253,0.886255924,0.380434783,0.766393443,0.573414113,0.49814823,0.583127962,0.608641629,0.5,0.660714286
43,57,48,80,151,0.24120603,0.653679654,0.416058394,0.653679654,0.75879397,0.47107438,0.702325581,0.586699981,0.561874186,0.587426182,0.59284729,0.5,0.619047619
44,21,0,124,191,0,0.606349206,0.144827586,0.606349206,1,0.253012048,0.754940711,0.50397638,0.380562198,0.572413793,0.687794198,0.5,0.630952381
