Day,TP,FP,FN,TN,FA,TP_Precision,TP_Recall,TN_Precision,TN_Recall,F1_pos,F1_neg,F1_Avg,Geometric_mean,Balanced_Accuracy,Y_score,AUC,Accuracy
1,0,0,182,154,0,0.458333333,0,0.458333333,1,0,0.628571429,0.314285714,0,0.5,0.364583333,0.5,0.458333333
2,0,0,128,208,0,0.619047619,0,0.619047619,1,0,0.764705882,0.382352941,0,0.5,0.404761905,0.5,0.619047619
3,76,8,45,207,0.037209302,0.821428571,0.628099174,0.821428571,0.962790698,0.741463415,0.886509636,0.813986525,0.777642618,0.795444936,0.829270087,0.5,0.842261905
4,99,8,16,213,0.036199095,0.930131004,0.860869565,0.930131004,0.963800905,0.891891892,0.946666667,0.919279279,0.910882466,0.912335235,0.92000878,0.5,0.928571429
5,82,11,65,178,0.058201058,0.732510288,0.557823129,0.732510288,0.941798942,0.683333333,0.824074074,0.753703704,0.724815309,0.749811036,0.778463197,0.5,0.773809524
6,93,31,69,143,0.17816092,0.674528302,0.574074074,0.674528302,0.82183908,0.65034965,0.740932642,0.695641146,0.686874449,0.697956577,0.705110364,0.5,0.702380952
7,118,41,51,126,0.245508982,0.711864407,0.698224852,0.711864407,0.754491018,0.719512195,0.73255814,0.726035167,0.725812909,0.726357935,0.72667966,0.5,0.726190476
8,111,40,67,118,0.253164557,0.637837838,0.623595506,0.637837838,0.746835443,0.674772036,0.688046647,0.681409342,0.682439174,0.685215474,0.685842031,0.5,0.681547619
9,78,60,64,134,0.309278351,0.676767677,0.549295775,0.676767677,0.690721649,0.557142857,0.683673469,0.620408163,0.615963054,0.620008712,0.620500623,0.5,0.630952381
10,71,53,71,141,0.273195876,0.66509434,0.5,0.66509434,0.726804124,0.533834586,0.694581281,0.614207934,0.602828385,0.613402062,0.616119777,0.5,0.630952381
11,90,60,42,144,0.294117647,0.774193548,0.681818182,0.774193548,0.705882353,0.638297872,0.738461538,0.688379705,0.693745935,0.693850267,0.690473521,0.5,0.696428571
12,68,63,3,202,0.237735849,0.985365854,0.957746479,0.985365854,0.762264151,0.673267327,0.859574468,0.766420897,0.854433032,0.860005315,0.806115113,0.5,0.803571429
13,46,7,59,224,0.03030303,0.791519435,0.438095238,0.791519435,0.96969697,0.582278481,0.871595331,0.726936906,0.651781884,0.703896104,0.766809043,0.5,0.803571429
14,75,14,37,210,0.0625,0.850202429,0.669642857,0.850202429,0.9375,0.746268657,0.891719745,0.818994201,0.792332114,0.803571429,0.825010479,0.5,0.848214286
15,81,4,33,218,0.018018018,0.868525896,0.710526316,0.868525896,0.981981982,0.814070352,0.921775899,0.867923125,0.835298773,0.846254149,0.878493843,0.5,0.889880952
16,13,0,145,178,0,0.551083591,0.082278481,0.551083591,1,0.152046784,0.710578842,0.431312813,0.286842258,0.541139241,0.658340518,0.5,0.568452381
17,15,1,139,181,0.005494505,0.565625,0.097402597,0.565625,0.994505495,0.176470588,0.721115538,0.448793063,0.31123531,0.545954046,0.648758273,0.5,0.583333333
18,46,52,65,173,0.231111111,0.726890756,0.414414414,0.726890756,0.768888889,0.440191388,0.747300216,0.593745802,0.564480858,0.591651652,0.594895454,0.5,0.651785714
19,58,24,60,194,0.110091743,0.763779528,0.491525424,0.763779528,0.889908257,0.58,0.822033898,0.701016949,0.661371706,0.69071684,0.71313257,0.5,0.75
20,40,10,121,165,0.057142857,0.576923077,0.248447205,0.576923077,0.942857143,0.379146919,0.715835141,0.54749103,0.483994031,0.595652174,0.642056856,0.5,0.610119048
21,61,31,42,202,0.13304721,0.827868852,0.59223301,0.827868852,0.86695279,0.625641026,0.846960168,0.736300597,0.716545923,0.7295929,0.737524533,0.5,0.782738095
22,19,1,122,194,0.005128205,0.613924051,0.134751773,0.613924051,0.994871795,0.236024845,0.759295499,0.497660172,0.366143057,0.564811784,0.673386905,0.5,0.633928571
23,99,26,34,177,0.128078818,0.838862559,0.744360902,0.838862559,0.871921182,0.76744186,0.855072464,0.811257162,0.805620281,0.808141042,0.811786161,0.5,0.821428571
24,129,39,50,118,0.248407643,0.702380952,0.720670391,0.702380952,0.751592357,0.74351585,0.726153846,0.734834848,0.735968992,0.736131374,0.735625211,0.5,0.735119048
25,124,36,11,165,0.179104478,0.9375,0.918518519,0.9375,0.820895522,0.840677966,0.875331565,0.858004766,0.86833619,0.86970702,0.86297851,0.5,0.860119048
26,91,12,38,195,0.057971014,0.836909871,0.705426357,0.836909871,0.942028986,0.784482759,0.886363636,0.835423197,0.815188368,0.823727671,0.84196509,0.5,0.851190476
27,70,0,74,192,0,0.721804511,0.486111111,0.721804511,1,0.654205607,0.838427948,0.746316778,0.697216689,0.743055556,0.801978906,0.5,0.779761905
28,112,32,24,168,0.16,0.875,0.823529412,0.875,0.84,0.8,0.857142857,0.828571429,0.831723936,0.831764706,0.829076797,0.5,0.833333333
29,140,9,49,138,0.06122449,0.737967914,0.740740741,0.737967914,0.93877551,0.828402367,0.826347305,0.827374836,0.833900034,0.839758125,0.83927037,0.5,0.827380952
30,72,87,44,133,0.395454545,0.751412429,0.620689655,0.751412429,0.604545455,0.523636364,0.670025189,0.596830776,0.612564372,0.612617555,0.607369432,0.5,0.610119048
31,76,36,78,146,0.197802198,0.651785714,0.493506494,0.651785714,0.802197802,0.571428571,0.719211823,0.645320197,0.629197763,0.647852148,0.65651536,0.5,0.660714286
32,43,66,67,160,0.292035398,0.704845815,0.390909091,0.704845815,0.707964602,0.392694064,0.706401766,0.549547915,0.526070146,0.549436846,0.54955373,0.5,0.604166667
33,32,1,83,220,0.004524887,0.726072607,0.27826087,0.726072607,0.995475113,0.432432432,0.839694656,0.636063544,0.526309577,0.636867991,0.74237639,0.5,0.75
34,13,0,112,211,0,0.653250774,0.104,0.653250774,1,0.188405797,0.790262172,0.489333985,0.32249031,0.552,0.689312693,0.5,0.666666667
35,28,4,94,210,0.018691589,0.690789474,0.229508197,0.690789474,0.981308411,0.363636364,0.810810811,0.587223587,0.474571727,0.605408304,0.69415152,0.5,0.708333333
36,39,0,105,192,0,0.646464646,0.270833333,0.646464646,1,0.426229508,0.785276074,0.605752791,0.5204165,0.635416667,0.729324495,0.5,0.6875
37,70,24,90,152,0.136363636,0.628099174,0.4375,0.628099174,0.863636364,0.551181102,0.727272727,0.639226915,0.614687652,0.650568182,0.668479097,0.5,0.660714286
38,40,6,71,219,0.026666667,0.755172414,0.36036036,0.755172414,0.973333333,0.50955414,0.850485437,0.680019789,0.592242139,0.666846847,0.739607831,0.5,0.770833333
39,16,8,116,196,0.039215686,0.628205128,0.121212121,0.628205128,0.960784314,0.205128205,0.759689922,0.482409064,0.341260465,0.540998217,0.594217057,0.5,0.630952381
40,58,30,56,192,0.135135135,0.774193548,0.50877193,0.774193548,0.864864865,0.574257426,0.817021277,0.695639351,0.663339254,0.686818397,0.701730313,0.5,0.744047619
41,45,14,97,180,0.072164948,0.649819495,0.316901408,0.649819495,0.927835052,0.447761194,0.76433121,0.606046202,0.542247392,0.62236823,0.664316955,0.5,0.669642857
42,14,1,111,210,0.004739336,0.654205607,0.112,0.654205607,0.995260664,0.2,0.789473684,0.494736842,0.333870026,0.553630332,0.673699901,0.5,0.666666667
43,42,26,95,173,0.130653266,0.645522388,0.306569343,0.645522388,0.869346734,0.409756098,0.740899358,0.575327728,0.516250963,0.587958038,0.609771381,0.5,0.639880952
44,45,12,100,179,0.062827225,0.641577061,0.310344828,0.641577061,0.937172775,0.445544554,0.761702128,0.603623341,0.53930207,0.623758801,0.669642087,0.5,0.666666667
