Day,TP,FP,FN,TN,FA,TP_Precision,TP_Recall,TN_Precision,TN_Recall,F1_pos,F1_neg,F1_Avg,Geometric_mean,Balanced_Accuracy,Y_score,AUC,Accuracy
1,0,0,182,154,0,0.458333333,0,0.458333333,1,0,0.628571429,0.314285714,0,0.5,0.364583333,0.5,0.458333333
2,0,0,128,208,0,0.619047619,0,0.619047619,1,0,0.764705882,0.382352941,0,0.5,0.404761905,0.5,0.619047619
3,74,4,47,211,0.018604651,0.817829457,0.611570248,0.817829457,0.981395349,0.743718593,0.89217759,0.817948091,0.774720722,0.796482798,0.839878251,0.938458582,0.848214286
4,93,11,22,210,0.049773756,0.905172414,0.808695652,0.905172414,0.950226244,0.849315068,0.927152318,0.888233693,0.876609281,0.879460948,0.88958127,0.958823529,0.901785714
5,82,3,65,186,0.015873016,0.741035857,0.557823129,0.741035857,0.984126984,0.706896552,0.845454545,0.776175549,0.740924283,0.770975057,0.811922963,0.83808444,0.797619048
6,95,25,67,149,0.143678161,0.689814815,0.586419753,0.689814815,0.856321839,0.673758865,0.764102564,0.718930715,0.708635337,0.721370796,0.731055768,0.754860224,0.726190476
7,132,27,37,140,0.161676647,0.790960452,0.781065089,0.790960452,0.838323353,0.804878049,0.813953488,0.809415769,0.809187929,0.809694221,0.810134393,0.89951458,0.80952381
8,133,16,45,142,0.101265823,0.759358289,0.747191011,0.759358289,0.898734177,0.813455657,0.823188406,0.818322032,0.81946696,0.822962594,0.824475232,0.910521263,0.818452381
9,56,26,86,168,0.134020619,0.661417323,0.394366197,0.661417323,0.865979381,0.5,0.75,0.625,0.584391132,0.630172789,0.651172433,0.735044286,0.666666667
10,74,31,68,163,0.159793814,0.705627706,0.521126761,0.705627706,0.840206186,0.599190283,0.767058824,0.683124553,0.661705318,0.680666473,0.692930639,0.747005227,0.705357143
11,97,45,35,159,0.220588235,0.819587629,0.734848485,0.819587629,0.779411765,0.708029197,0.798994975,0.753512086,0.75680219,0.757130125,0.754236617,0.816343583,0.761904762
12,62,68,9,197,0.256603774,0.95631068,0.873239437,0.95631068,0.743396226,0.616915423,0.836518047,0.726716735,0.805706461,0.808317832,0.762467355,0.882832846,0.770833333
13,58,8,47,223,0.034632035,0.825925926,0.552380952,0.825925926,0.965367965,0.678362573,0.890219561,0.784291067,0.730240287,0.758874459,0.805615681,0.879756751,0.836309524
14,59,18,53,206,0.080357143,0.795366795,0.526785714,0.795366795,0.919642857,0.624338624,0.85300207,0.738670347,0.696027815,0.723214286,0.752007283,0.824398119,0.788690476
15,77,21,37,201,0.094594595,0.844537815,0.675438596,0.844537815,0.905405405,0.726415094,0.873913043,0.800164069,0.782013911,0.790422001,0.802774026,0.890686739,0.827380952
16,27,3,131,175,0.016853933,0.571895425,0.170886076,0.571895425,0.983146067,0.287234043,0.723140496,0.505187269,0.409885318,0.577016072,0.656481892,0.724487982,0.601190476
17,68,17,86,165,0.093406593,0.657370518,0.441558442,0.657370518,0.906593407,0.569037657,0.762124711,0.665581184,0.6327037,0.674075924,0.701380592,0.79763094,0.693452381
18,79,54,32,171,0.24,0.842364532,0.711711712,0.842364532,0.76,0.647540984,0.799065421,0.723303202,0.735459653,0.735855856,0.727015302,0.835055055,0.744047619
19,45,17,73,201,0.077981651,0.733576642,0.381355932,0.733576642,0.922018349,0.5,0.817073171,0.658536585,0.592973159,0.65168714,0.690689344,0.657965324,0.732142857
20,106,32,55,143,0.182857143,0.722222222,0.658385093,0.722222222,0.817142857,0.7090301,0.766756032,0.737893066,0.733481204,0.737763975,0.741466529,0.802253771,0.741071429
21,72,63,31,170,0.270386266,0.845771144,0.699029126,0.845771144,0.729613734,0.605042017,0.783410138,0.694226078,0.714157721,0.71432143,0.701936834,0.79688737,0.720238095
22,49,22,92,173,0.112820513,0.652830189,0.34751773,0.652830189,0.887179487,0.462264151,0.752173913,0.607219032,0.555257239,0.617348609,0.644417063,0.650663757,0.660714286
23,88,41,45,162,0.201970443,0.782608696,0.661654135,0.782608696,0.798029557,0.671755725,0.790243902,0.730999814,0.726649542,0.729841846,0.731115733,0.783306789,0.744047619
24,112,34,67,123,0.21656051,0.647368421,0.625698324,0.647368421,0.78343949,0.689230769,0.708933718,0.699082243,0.70014054,0.704568907,0.705907381,0.796374053,0.699404762
25,91,30,44,171,0.149253731,0.795348837,0.674074074,0.795348837,0.850746269,0.7109375,0.822115385,0.766526442,0.757275381,0.762410171,0.768058824,0.869412198,0.779761905
26,89,18,40,189,0.086956522,0.825327511,0.689922481,0.825327511,0.913043478,0.754237288,0.866972477,0.810604883,0.793680806,0.801482979,0.815017293,0.915196794,0.827380952
27,59,3,85,189,0.015625,0.689781022,0.409722222,0.689781022,0.984375,0.572815534,0.811158798,0.691987166,0.635075045,0.697048611,0.758872787,0.807996962,0.738095238
28,119,35,17,165,0.175,0.906593407,0.875,0.906593407,0.825,0.820689655,0.863874346,0.842282,0.849632273,0.85,0.84483017,0.918419118,0.845238095
29,150,20,39,127,0.136054422,0.765060241,0.793650794,0.765060241,0.863945578,0.835654596,0.811501597,0.823578097,0.828052591,0.828798186,0.826252389,0.913958176,0.824404762
30,98,87,18,133,0.395454545,0.880794702,0.844827586,0.880794702,0.604545455,0.651162791,0.716981132,0.684071961,0.714658434,0.72468652,0.714974368,0.735501567,0.6875
31,108,44,46,138,0.241758242,0.75,0.701298701,0.75,0.758241758,0.705882353,0.754098361,0.729990357,0.729214619,0.72977023,0.730016694,0.772994862,0.732142857
32,55,55,55,171,0.243362832,0.756637168,0.5,0.756637168,0.756637168,0.5,0.756637168,0.628318584,0.61507608,0.628318584,0.628318584,0.691874497,0.672619048
33,59,36,56,185,0.162895928,0.767634855,0.513043478,0.767634855,0.837104072,0.561904762,0.800865801,0.681385281,0.655340206,0.675073775,0.684708759,0.732559512,0.726190476
34,39,7,86,204,0.033175355,0.703448276,0.312,0.703448276,0.966824645,0.456140351,0.814371257,0.635255804,0.549226082,0.639412322,0.707524752,0.789421801,0.723214286
35,67,41,55,173,0.191588785,0.75877193,0.549180328,0.75877193,0.808411215,0.582608696,0.78280543,0.682707063,0.666305888,0.678795771,0.684183461,0.698176804,0.714285714
36,73,34,71,158,0.177083333,0.689956332,0.506944444,0.689956332,0.822916667,0.581673307,0.750593824,0.666133566,0.645889334,0.664930556,0.675515108,0.75072338,0.6875
37,128,86,32,90,0.488636364,0.737704918,0.8,0.737704918,0.511363636,0.684491979,0.604026846,0.644259412,0.639602149,0.655681818,0.661799849,0.746289063,0.648809524
38,53,57,58,168,0.253333333,0.743362832,0.477477477,0.743362832,0.746666667,0.479638009,0.745011086,0.612324548,0.597090041,0.612072072,0.612331289,0.68984985,0.657738095
39,58,50,74,154,0.245098039,0.675438596,0.439393939,0.675438596,0.754901961,0.483333333,0.712962963,0.598148148,0.575933457,0.59714795,0.601692883,0.651756536,0.630952381
40,80,54,34,168,0.243243243,0.831683168,0.701754386,0.831683168,0.756756757,0.64516129,0.79245283,0.71880706,0.728736834,0.729255571,0.721802309,0.788920499,0.738095238
41,55,28,87,166,0.144329897,0.656126482,0.387323944,0.656126482,0.855670103,0.488888889,0.742729306,0.615809098,0.575692208,0.621497023,0.640442783,0.658704806,0.657738095
42,43,59,82,152,0.279620853,0.64957265,0.344,0.64957265,0.720379147,0.378854626,0.683146067,0.531000346,0.497805611,0.532189573,0.533880106,0.630805687,0.580357143
43,83,55,54,144,0.27638191,0.727272727,0.605839416,0.727272727,0.72361809,0.603636364,0.725440806,0.664538585,0.662115067,0.664728753,0.664544877,0.704984778,0.675595238
