Day,TP,FP,FN,TN,FA,TP_Precision,TP_Recall,TN_Precision,TN_Recall,F1_pos,F1_neg,F1_Avg,Geometric_mean,Balanced_Accuracy,Y_score,AUC,Accuracy
1,0,0,182,154,0,0.458333333,0,0.458333333,1,0,0.628571429,0.314285714,0,0.5,0.364583333,0.5,0.458333333
2,0,0,128,208,0,0.619047619,0,0.619047619,1,0,0.764705882,0.382352941,0,0.5,0.404761905,0.5,0.619047619
3,48,8,73,207,0.037209302,0.739285714,0.396694215,0.739285714,0.962790698,0.542372881,0.836363636,0.689368259,0.618007686,0.679742456,0.738978371,0.802152604,0.758928571
4,104,5,11,216,0.022624434,0.95154185,0.904347826,0.95154185,0.977375566,0.928571429,0.964285714,0.946428571,0.940152896,0.940861696,0.946848421,0.945563644,0.952380952
5,79,8,68,181,0.042328042,0.726907631,0.537414966,0.726907631,0.957671958,0.675213675,0.826484018,0.750848847,0.717403124,0.747543462,0.782510133,0.783230753,0.773809524
6,96,37,66,137,0.212643678,0.674876847,0.592592593,0.674876847,0.787356322,0.650847458,0.726790451,0.688818954,0.68306773,0.689974457,0.694157568,0.753795942,0.693452381
7,138,15,31,152,0.089820359,0.830601093,0.816568047,0.830601093,0.910179641,0.857142857,0.868571429,0.862857143,0.862104177,0.863373844,0.864827391,0.950377352,0.863095238
8,140,27,38,131,0.170886076,0.775147929,0.786516854,0.775147929,0.829113924,0.811594203,0.801223242,0.806408722,0.807534566,0.807815389,0.807275515,0.918290428,0.806547619
9,66,57,76,137,0.293814433,0.643192488,0.464788732,0.643192488,0.706185567,0.498113208,0.673218673,0.58566594,0.57291107,0.58548715,0.587688038,0.724626107,0.604166667
10,111,27,31,167,0.139175258,0.843434343,0.781690141,0.843434343,0.860824742,0.792857143,0.852040816,0.82244898,0.820303733,0.821257442,0.822574263,0.842602004,0.827380952
11,120,41,12,163,0.200980392,0.931428571,0.909090909,0.931428571,0.799019608,0.819112628,0.860158311,0.83963547,0.852280154,0.854055258,0.846220176,0.940303773,0.842261905
12,64,50,7,215,0.188679245,0.968468468,0.901408451,0.968468468,0.811320755,0.691891892,0.882956879,0.787424385,0.855179153,0.856364603,0.810650296,0.966728674,0.830357143
13,40,11,65,220,0.047619048,0.771929825,0.380952381,0.771929825,0.952380952,0.512820513,0.852713178,0.682766846,0.602338602,0.666666667,0.722394221,0.829890744,0.773809524
14,88,53,24,171,0.236607143,0.876923077,0.785714286,0.876923077,0.763392857,0.695652174,0.816229117,0.755940645,0.774473159,0.774553571,0.762535924,0.889588648,0.770833333
15,98,22,16,200,0.099099099,0.925925926,0.859649123,0.925925926,0.900900901,0.837606838,0.913242009,0.875424423,0.880033334,0.880275012,0.875785654,0.965524735,0.886904762
16,38,18,120,160,0.101123596,0.571428571,0.240506329,0.571428571,0.898876404,0.355140187,0.698689956,0.526915072,0.464957487,0.569691367,0.597345683,0.73423055,0.589285714
17,125,23,29,159,0.126373626,0.845744681,0.811688312,0.845744681,0.873626374,0.82781457,0.859459459,0.843637014,0.842088069,0.842657343,0.84391349,0.876302269,0.845238095
18,56,64,55,161,0.284444444,0.74537037,0.504504505,0.74537037,0.715555556,0.484848485,0.73015873,0.607503608,0.600833588,0.61003003,0.608024274,0.721721722,0.645833333
19,77,39,41,179,0.178899083,0.813636364,0.652542373,0.813636364,0.821100917,0.658119658,0.817351598,0.737735628,0.731985752,0.736821645,0.737768189,0.849129218,0.761904762
20,79,29,82,146,0.165714286,0.640350877,0.49068323,0.640350877,0.834285714,0.587360595,0.724565757,0.655963176,0.639820294,0.662484472,0.674200326,0.633398403,0.669642857
21,62,80,41,153,0.343347639,0.788659794,0.601941748,0.788659794,0.656652361,0.506122449,0.716627635,0.611375042,0.62870221,0.629297054,0.620968405,0.806679445,0.639880952
22,47,15,94,180,0.076923077,0.656934307,0.333333333,0.656934307,0.923076923,0.463054187,0.767590618,0.615322403,0.554700196,0.628205128,0.66785227,0.736915803,0.675595238
23,117,86,16,117,0.42364532,0.879699248,0.879699248,0.879699248,0.57635468,0.696428571,0.696428571,0.696428571,0.712052511,0.728026964,0.728026964,0.850142598,0.696428571
24,114,19,65,138,0.121019108,0.679802956,0.636871508,0.679802956,0.878980892,0.730769231,0.766666667,0.748717949,0.748196422,0.7579262,0.763199553,0.835533573,0.75
25,115,50,20,151,0.248756219,0.883040936,0.851851852,0.883040936,0.751243781,0.766666667,0.811827957,0.789247312,0.799967753,0.801547816,0.795776566,0.915865119,0.791666667
26,87,19,42,188,0.09178744,0.817391304,0.674418605,0.817391304,0.90821256,0.740425532,0.860411899,0.800418716,0.782633661,0.791315583,0.805194297,0.948376587,0.818452381
27,101,12,43,180,0.0625,0.807174888,0.701388889,0.807174888,0.9375,0.785992218,0.86746988,0.826731049,0.810895852,0.819444444,0.834967272,0.937409578,0.836309524
28,133,87,3,113,0.435,0.974137931,0.977941176,0.974137931,0.565,0.747191011,0.715189873,0.731190442,0.743328168,0.771470588,0.780406141,0.942665441,0.732142857
29,145,11,44,136,0.074829932,0.755555556,0.767195767,0.755555556,0.925170068,0.84057971,0.831804281,0.836191996,0.842488315,0.846182918,0.844352143,0.957348019,0.836309524
30,80,93,36,127,0.422727273,0.779141104,0.689655172,0.779141104,0.577272727,0.553633218,0.663185379,0.608409298,0.630966815,0.63346395,0.627124187,0.750685737,0.616071429
31,67,17,87,165,0.093406593,0.654761905,0.435064935,0.654761905,0.906593407,0.56302521,0.760368664,0.661696937,0.628034236,0.670829171,0.698509824,0.841925931,0.69047619
32,70,43,40,183,0.190265487,0.820627803,0.636363636,0.820627803,0.809734513,0.627802691,0.815144766,0.721473728,0.717833964,0.723049075,0.721548745,0.805872888,0.75297619
33,77,28,38,193,0.126696833,0.835497835,0.669565217,0.835497835,0.873303167,0.7,0.853982301,0.77699115,0.764678642,0.771434192,0.777924888,0.836749951,0.803571429
34,80,11,45,200,0.052132701,0.816326531,0.64,0.816326531,0.947867299,0.740740741,0.877192982,0.808966862,0.778867814,0.793933649,0.820828677,0.819810427,0.833333333
35,69,130,53,84,0.607476636,0.613138686,0.56557377,0.613138686,0.392523364,0.429906542,0.478632479,0.45426951,0.471169735,0.479048567,0.479492372,0.635590624,0.455357143
36,107,43,37,149,0.223958333,0.801075269,0.743055556,0.801075269,0.776041667,0.727891156,0.788359788,0.758125472,0.759369523,0.759548611,0.758376456,0.8828125,0.761904762
37,143,27,17,149,0.153409091,0.897590361,0.89375,0.897590361,0.846590909,0.866666667,0.871345029,0.869005848,0.869850921,0.870170455,0.869776935,0.911097301,0.869047619
38,53,34,58,191,0.151111111,0.767068273,0.477477477,0.767068273,0.848888889,0.535353535,0.805907173,0.670630354,0.636651651,0.663183183,0.67565751,0.818818819,0.726190476
39,61,29,71,175,0.142156863,0.711382114,0.462121212,0.711382114,0.857843137,0.54954955,0.777777778,0.663663664,0.629624897,0.659982175,0.67728106,0.775029709,0.702380952
40,100,96,14,126,0.432432432,0.9,0.877192982,0.9,0.567567568,0.64516129,0.696132597,0.670646944,0.705596405,0.722380275,0.713741158,0.86913229,0.672619048
41,53,17,89,177,0.087628866,0.665413534,0.373239437,0.665413534,0.912371134,0.5,0.769565217,0.634782609,0.583551958,0.642805285,0.67704174,0.775664295,0.68452381
42,65,77,60,134,0.36492891,0.690721649,0.52,0.690721649,0.63507109,0.486891386,0.661728395,0.57430989,0.574662481,0.577535545,0.575884805,0.663203791,0.592261905
