Day,TP,FP,FN,TN,FA,TP_Precision,TP_Recall,TN_Precision,TN_Recall,F1_pos,F1_neg,F1_Avg,Geometric_mean,Balanced_Accuracy,Y_score,AUC,Accuracy
1,0,0,182,154,0,0.458333333,0,0.458333333,1,0,0.628571429,0.314285714,0,0.5,0.364583333,0.5,0.458333333
2,0,0,128,208,0,0.619047619,0,0.619047619,1,0,0.764705882,0.382352941,0,0.5,0.404761905,0.5,0.619047619
3,75,9,46,206,0.041860465,0.817460317,0.619834711,0.817460317,0.958139535,0.731707317,0.882226981,0.806967149,0.770641383,0.788987123,0.822072926,0.918719969,0.836309524
4,104,14,11,207,0.063348416,0.949541284,0.904347826,0.949541284,0.936651584,0.892703863,0.943052392,0.917878127,0.920357987,0.920499705,0.917974157,0.958980917,0.925595238
5,86,12,61,177,0.063492063,0.743697479,0.585034014,0.743697479,0.936507937,0.702040816,0.829039813,0.765540314,0.740195242,0.760770975,0.785697612,0.821797502,0.782738095
6,85,37,77,137,0.212643678,0.640186916,0.524691358,0.640186916,0.787356322,0.598591549,0.706185567,0.652388558,0.642743384,0.65602384,0.662238977,0.731410529,0.660714286
7,125,29,44,138,0.173652695,0.758241758,0.73964497,0.758241758,0.826347305,0.773993808,0.790830946,0.782412377,0.781795132,0.782996138,0.783980586,0.898593346,0.782738095
8,140,17,38,141,0.107594937,0.787709497,0.786516854,0.787709497,0.892405063,0.835820896,0.836795252,0.836308074,0.837789725,0.839460959,0.83958779,0.893845114,0.836309524
9,62,43,80,151,0.221649485,0.653679654,0.436619718,0.653679654,0.778350515,0.502024291,0.710588235,0.606306263,0.582960704,0.607485117,0.614781519,0.714353129,0.633928571
10,94,51,48,143,0.262886598,0.748691099,0.661971831,0.748691099,0.737113402,0.655052265,0.742857143,0.698954704,0.698532969,0.699542617,0.699013049,0.756370698,0.705357143
11,102,63,30,141,0.308823529,0.824561404,0.772727273,0.824561404,0.691176471,0.686868687,0.752,0.719434343,0.730815236,0.731951872,0.726661741,0.822211081,0.723214286
12,65,93,6,172,0.350943396,0.966292135,0.915492958,0.966292135,0.649056604,0.56768559,0.776523702,0.672104646,0.770848072,0.782274781,0.735558525,0.87419612,0.705357143
13,61,12,44,219,0.051948052,0.83269962,0.580952381,0.83269962,0.948051948,0.685393258,0.886639676,0.786016467,0.742140847,0.764502165,0.799330097,0.876314162,0.833333333
14,68,43,44,181,0.191964286,0.804444444,0.607142857,0.804444444,0.808035714,0.609865471,0.80623608,0.708050776,0.700423523,0.707589286,0.708058907,0.829719388,0.741071429
15,84,26,30,196,0.117117117,0.867256637,0.736842105,0.867256637,0.882882883,0.75,0.875,0.8125,0.806563874,0.809862494,0.812654497,0.899834045,0.833333333
16,36,2,122,176,0.011235955,0.590604027,0.227848101,0.590604027,0.988764045,0.367346939,0.739495798,0.553421369,0.474645141,0.608306073,0.688646149,0.713892049,0.630952381
17,95,43,59,139,0.236263736,0.702020202,0.616883117,0.702020202,0.763736264,0.650684932,0.731578947,0.691131939,0.686393478,0.69030969,0.692761345,0.776937348,0.696428571
18,89,61,22,164,0.271111111,0.88172043,0.801801802,0.88172043,0.728888889,0.681992337,0.798053528,0.740022933,0.764476569,0.765345345,0.751436114,0.834434434,0.75297619
19,39,49,79,169,0.224770642,0.681451613,0.330508475,0.681451613,0.775229358,0.378640777,0.725321888,0.551981333,0.50618166,0.552868916,0.557592816,0.613707044,0.619047619
20,91,48,70,127,0.274285714,0.644670051,0.565217391,0.644670051,0.725714286,0.606666667,0.682795699,0.644731183,0.640457911,0.645465839,0.647569497,0.708624667,0.648809524
21,72,78,31,155,0.334763948,0.833333333,0.699029126,0.833333333,0.665236052,0.56916996,0.739856802,0.654513381,0.681923292,0.682132589,0.669399628,0.761635901,0.675595238
22,56,22,85,173,0.112820513,0.670542636,0.397163121,0.670542636,0.887179487,0.511415525,0.763796909,0.637606217,0.593594958,0.642171304,0.66820849,0.672795054,0.681547619
23,107,71,26,132,0.349753695,0.835443038,0.804511278,0.835443038,0.650246305,0.688102894,0.731301939,0.709702416,0.7232776,0.727378792,0.722831054,0.790232972,0.711309524
24,104,14,75,143,0.089171975,0.655963303,0.581005587,0.655963303,0.910828025,0.7003367,0.762666667,0.731501684,0.727458708,0.745916806,0.757288212,0.842810376,0.735119048
25,102,48,33,153,0.23880597,0.822580645,0.755555556,0.822580645,0.76119403,0.715789474,0.790697674,0.753243574,0.758369552,0.758374793,0.754832558,0.869209508,0.758928571
26,80,16,49,191,0.077294686,0.795833333,0.620155039,0.795833333,0.922705314,0.711111111,0.85458613,0.78284862,0.756452477,0.771430176,0.793006755,0.835617721,0.806547619
27,76,12,68,180,0.0625,0.725806452,0.527777778,0.725806452,0.9375,0.655172414,0.818181818,0.736677116,0.703414292,0.732638889,0.763680148,0.839771412,0.761904762
28,121,58,15,142,0.29,0.904458599,0.889705882,0.904458599,0.71,0.768253968,0.795518207,0.781886088,0.79479002,0.799852941,0.795035534,0.901893382,0.782738095
29,123,14,66,133,0.095238095,0.668341709,0.650793651,0.668341709,0.904761905,0.754601227,0.768786127,0.761693677,0.767341712,0.777777778,0.780426871,0.905175827,0.761904762
30,102,95,14,125,0.431818182,0.899280576,0.879310345,0.899280576,0.568181818,0.651757188,0.69637883,0.674068009,0.706829647,0.723746082,0.716134809,0.733424765,0.675595238
31,69,35,85,147,0.192307692,0.63362069,0.448051948,0.63362069,0.807692308,0.534883721,0.710144928,0.622514324,0.601571369,0.627872128,0.638206621,0.754424147,0.642857143
32,57,95,53,131,0.420353982,0.711956522,0.518181818,0.711956522,0.579646018,0.435114504,0.63902439,0.537069447,0.548052942,0.548913918,0.546196089,0.61888576,0.55952381
33,56,23,59,198,0.104072398,0.770428016,0.486956522,0.770428016,0.895927602,0.577319588,0.828451883,0.702885735,0.660513277,0.691442062,0.715543225,0.746763722,0.755952381
34,61,22,64,189,0.104265403,0.747035573,0.488,0.747035573,0.895734597,0.586538462,0.814655172,0.700596817,0.661149365,0.691867299,0.716427482,0.787260664,0.744047619
35,61,43,61,171,0.200934579,0.737068966,0.5,0.737068966,0.799065421,0.539823009,0.766816143,0.653319576,0.632085999,0.64953271,0.655668212,0.730695572,0.69047619
36,94,46,50,146,0.239583333,0.744897959,0.652777778,0.744897959,0.760416667,0.661971831,0.75257732,0.707274575,0.704544606,0.706597222,0.707380244,0.774920428,0.714285714
37,139,91,21,85,0.517045455,0.801886792,0.86875,0.801886792,0.482954545,0.712820513,0.602836879,0.657828696,0.647739733,0.675852273,0.689484791,0.734339489,0.666666667
38,63,61,48,164,0.271111111,0.773584906,0.567567568,0.773584906,0.728888889,0.536170213,0.750572082,0.643371148,0.643190247,0.648228228,0.64452647,0.705945946,0.675595238
39,38,36,94,168,0.176470588,0.641221374,0.287878788,0.641221374,0.823529412,0.368932039,0.721030043,0.544981041,0.486905174,0.5557041,0.566535772,0.617572787,0.613095238
40,83,64,31,158,0.288288288,0.835978836,0.728070175,0.835978836,0.711711712,0.636015326,0.768856448,0.702435887,0.719844477,0.719890944,0.710096643,0.7800893,0.717261905
41,54,28,88,166,0.144329897,0.653543307,0.38028169,0.653543307,0.855670103,0.482142857,0.741071429,0.611607143,0.570434635,0.617975897,0.637007921,0.641661827,0.654761905
42,47,63,78,148,0.298578199,0.654867257,0.376,0.654867257,0.701421801,0.4,0.677345538,0.538672769,0.513550968,0.5387109,0.539890446,0.593952607,0.580357143
