Day,TP,FP,FN,TN,FA,TP_Precision,TP_Recall,TN_Precision,TN_Recall,F1_pos,F1_neg,F1_Avg,Geometric_mean,Balanced_Accuracy,Y_score,AUC,Accuracy
1,182,0,0,154,0,1,1,1,1,1,1,1,1,1,1,0.5,1
2,128,0,0,208,0,1,1,1,1,1,1,1,1,1,1,0.5,1
3,83,68,38,147,0.31627907,0.794594595,0.685950413,0.794594595,0.68372093,0.610294118,0.735,0.672647059,0.684834764,0.684835672,0.678483703,0.5,0.68452381
4,115,152,0,69,0.687782805,1,1,1,0.312217195,0.602094241,0.475862069,0.538978155,0.558763988,0.656108597,0.685732201,0.5,0.547619048
5,110,42,37,147,0.222222222,0.798913043,0.74829932,0.798913043,0.777777778,0.735785953,0.788203753,0.761994853,0.76289618,0.763038549,0.762168588,0.5,0.764880952
6,59,94,103,80,0.540229885,0.43715847,0.364197531,0.43715847,0.459770115,0.374603175,0.448179272,0.411391223,0.409203055,0.411983823,0.411686758,0.5,0.413690476
7,146,90,23,77,0.538922156,0.77,0.863905325,0.77,0.461077844,0.720987654,0.576779026,0.64888334,0.631132003,0.662491585,0.678406809,0.5,0.663690476
8,120,42,58,116,0.265822785,0.666666667,0.674157303,0.666666667,0.734177215,0.705882353,0.698795181,0.702338767,0.703527492,0.704167259,0.703935481,0.5,0.702380952
9,109,185,33,9,0.953608247,0.214285714,0.767605634,0.214285714,0.046391753,0.5,0.076271186,0.288135593,0.188707633,0.406998693,0.34975785,0.5,0.351190476
10,87,98,55,96,0.505154639,0.635761589,0.612676056,0.635761589,0.494845361,0.532110092,0.556521739,0.544315915,0.550617748,0.553760709,0.553388319,0.5,0.544642857
11,100,120,32,84,0.588235294,0.724137931,0.757575758,0.724137931,0.411764706,0.568181818,0.525,0.546590909,0.55851854,0.584670232,0.587005962,0.5,0.547619048
12,61,151,10,114,0.569811321,0.919354839,0.85915493,0.919354839,0.430188679,0.431095406,0.586118252,0.508606829,0.607946317,0.644671804,0.624108574,0.5,0.520833333
13,46,57,59,174,0.246753247,0.746781116,0.438095238,0.746781116,0.753246753,0.442307692,0.75,0.596153846,0.574450882,0.595670996,0.596181262,0.5,0.654761905
14,91,59,21,165,0.263392857,0.887096774,0.8125,0.887096774,0.736607143,0.694656489,0.804878049,0.749767269,0.77362349,0.774553571,0.760717646,0.5,0.761904762
15,86,70,28,152,0.315315315,0.844444444,0.754385965,0.844444444,0.684684685,0.637037037,0.756218905,0.696627971,0.718690835,0.719535325,0.708699286,0.5,0.708333333
16,137,103,21,75,0.578651685,0.78125,0.867088608,0.78125,0.421348315,0.688442211,0.547445255,0.617943733,0.60443885,0.644218461,0.660130064,0.5,0.630952381
17,119,66,35,116,0.362637363,0.768211921,0.772727273,0.768211921,0.637362637,0.702064897,0.696696697,0.699380797,0.701788781,0.705044955,0.705386268,0.5,0.699404762
18,97,217,14,8,0.964444444,0.363636364,0.873873874,0.363636364,0.035555556,0.456470588,0.064777328,0.260623958,0.176269881,0.454714715,0.395495748,0.5,0.3125
19,59,113,59,105,0.518348624,0.640243902,0.5,0.640243902,0.481651376,0.406896552,0.54973822,0.478317386,0.490739939,0.490825688,0.491229634,0.5,0.488095238
