Day,TP,FP,FN,TN,FA,TP_Precision,TP_Recall,TN_Precision,TN_Recall,F1_pos,F1_neg,F1_Avg,Geometric_mean,Balanced_Accuracy,Y_score,AUC,Accuracy
1,0,0,182,154,0,0.458333333,0,0.458333333,1,0,0.628571429,0.314285714,0,0.5,0.364583333,0.5,0.458333333
2,0,0,128,208,0,0.619047619,0,0.619047619,1,0,0.764705882,0.382352941,0,0.5,0.404761905,0.5,0.619047619
3,67,3,54,212,0.013953488,0.796992481,0.553719008,0.796992481,0.986046512,0.701570681,0.881496881,0.791533781,0.738913186,0.76988276,0.823475215,0.5,0.830357143
4,95,17,20,204,0.076923077,0.910714286,0.826086957,0.910714286,0.923076923,0.837004405,0.916853933,0.876929169,0.873236398,0.87458194,0.877023113,0.5,0.889880952
5,77,7,70,182,0.037037037,0.722222222,0.523809524,0.722222222,0.962962963,0.666666667,0.825396825,0.746031746,0.710217693,0.743386243,0.781415344,0.5,0.770833333
6,158,108,4,66,0.620689655,0.942857143,0.975308642,0.942857143,0.379310345,0.738317757,0.540983607,0.639650682,0.60823076,0.677309493,0.722865273,0.5,0.666666667
7,133,14,36,153,0.083832335,0.80952381,0.786982249,0.80952381,0.916167665,0.841772152,0.859550562,0.850661357,0.849121716,0.851574957,0.854358907,0.5,0.851190476
8,130,11,48,147,0.069620253,0.753846154,0.730337079,0.753846154,0.930379747,0.815047022,0.83286119,0.823954106,0.824312335,0.830358413,0.834137199,0.5,0.824404762
9,67,53,75,141,0.273195876,0.652777778,0.471830986,0.652777778,0.726804124,0.511450382,0.687804878,0.59962763,0.585601149,0.599317555,0.602436555,0.5,0.619047619
10,85,36,57,158,0.18556701,0.734883721,0.598591549,0.734883721,0.81443299,0.646387833,0.772616137,0.709501985,0.6982211,0.706512269,0.7125969,0.5,0.723214286
11,40,32,92,172,0.156862745,0.651515152,0.303030303,0.651515152,0.843137255,0.392156863,0.735042735,0.563599799,0.505466258,0.573083779,0.588309566,0.5,0.630952381
12,68,94,3,171,0.354716981,0.982758621,0.957746479,0.982758621,0.645283019,0.583690987,0.77904328,0.681367134,0.786140916,0.801514749,0.751385301,0.5,0.711309524
13,32,1,73,230,0.004329004,0.759075908,0.304761905,0.759075908,0.995670996,0.463768116,0.861423221,0.662595668,0.550856233,0.65021645,0.757301444,0.5,0.779761905
14,70,10,42,214,0.044642857,0.8359375,0.625,0.8359375,0.955357143,0.729166667,0.891666667,0.810416667,0.772721304,0.790178571,0.822823661,0.5,0.845238095
15,87,83,27,139,0.373873874,0.837349398,0.763157895,0.837349398,0.626126126,0.612676056,0.716494845,0.664585451,0.691254726,0.69464201,0.684599531,0.5,0.672619048
16,0,0,158,178,0,0.529761905,0,0.529761905,1,0,0.692607004,0.346303502,0,0.5,0.382440476,0.5,0.529761905
17,94,13,60,169,0.071428571,0.737991266,0.61038961,0.737991266,0.928571429,0.720306513,0.822384428,0.771345471,0.752854802,0.769480519,0.788864245,0.5,0.782738095
18,61,86,50,139,0.382222222,0.735449735,0.54954955,0.735449735,0.617777778,0.472868217,0.671497585,0.572182901,0.582665856,0.583663664,0.579435762,0.5,0.595238095
19,44,22,74,196,0.100917431,0.725925926,0.372881356,0.725925926,0.899082569,0.47826087,0.803278689,0.640769779,0.579008745,0.635981962,0.666139129,0.5,0.714285714
20,19,0,142,175,0,0.552050473,0.118012422,0.552050473,1,0.211111111,0.711382114,0.461246612,0.343529362,0.559006211,0.667515724,0.5,0.577380952
21,36,3,67,230,0.012875536,0.774410774,0.349514563,0.774410774,0.987124464,0.507042254,0.867924528,0.687483391,0.587379243,0.668319513,0.758531681,0.5,0.791666667
22,8,2,133,193,0.01025641,0.59202454,0.056737589,0.59202454,0.98974359,0.105960265,0.740882917,0.423421591,0.236971865,0.523240589,0.60962643,0.5,0.598214286
23,105,34,28,169,0.167487685,0.85786802,0.789473684,0.85786802,0.832512315,0.772058824,0.845,0.808529412,0.810707447,0.810993,0.808812426,0.5,0.81547619
24,80,11,99,146,0.070063694,0.595918367,0.446927374,0.595918367,0.929936306,0.592592593,0.726368159,0.659480376,0.64468131,0.68843184,0.712975732,0.5,0.672619048
25,100,32,35,169,0.15920398,0.828431373,0.740740741,0.828431373,0.84079602,0.74906367,0.834567901,0.791815786,0.789184305,0.79076838,0.791885973,0.5,0.800595238
26,85,8,44,199,0.038647343,0.818930041,0.658914729,0.818930041,0.961352657,0.765765766,0.884444444,0.825105105,0.795895361,0.810133693,0.83829398,0.5,0.845238095
27,72,3,72,189,0.015625,0.724137931,0.5,0.724137931,0.984375,0.657534247,0.834437086,0.745985666,0.70156076,0.7421875,0.792128233,0.5,0.776785714
28,112,23,24,177,0.115,0.880597015,0.823529412,0.880597015,0.885,0.826568266,0.882793017,0.854680642,0.85371162,0.854264706,0.854689014,0.5,0.860119048
29,114,2,75,145,0.013605442,0.659090909,0.603174603,0.659090909,0.986394558,0.747540984,0.790190736,0.76886586,0.771341783,0.79478458,0.807854673,0.5,0.770833333
30,80,84,36,136,0.381818182,0.790697674,0.689655172,0.790697674,0.618181818,0.571428571,0.693877551,0.632653061,0.65294126,0.653918495,0.646584886,0.5,0.642857143
31,22,2,132,180,0.010989011,0.576923077,0.142857143,0.576923077,0.989010989,0.247191011,0.728744939,0.487967975,0.375882008,0.565934066,0.656364469,0.5,0.601190476
32,68,68,42,158,0.300884956,0.79,0.618181818,0.79,0.699115044,0.552845528,0.741784038,0.647314783,0.657404144,0.658648431,0.651824216,0.5,0.672619048
33,38,10,77,211,0.045248869,0.732638889,0.330434783,0.732638889,0.954751131,0.466257669,0.829076621,0.647667145,0.561678718,0.642592957,0.702372867,0.5,0.741071429
34,9,6,116,205,0.028436019,0.638629283,0.072,0.638629283,0.971563981,0.128571429,0.770676692,0.44962406,0.264485551,0.521781991,0.570548316,0.5,0.636904762
35,49,44,73,170,0.205607477,0.699588477,0.401639344,0.699588477,0.794392523,0.455813953,0.743982495,0.599898224,0.564853337,0.598015934,0.605625516,0.5,0.651785714
36,44,28,100,164,0.145833333,0.621212121,0.305555556,0.621212121,0.854166667,0.407407407,0.719298246,0.563352827,0.51087706,0.579861111,0.598011364,0.5,0.619047619
37,85,40,75,136,0.227272727,0.644549763,0.53125,0.644549763,0.772727273,0.596491228,0.702842377,0.649666803,0.640711607,0.651988636,0.657131759,0.5,0.657738095
38,50,19,61,206,0.084444444,0.771535581,0.45045045,0.771535581,0.915555556,0.555555556,0.837398374,0.696476965,0.642193438,0.683003003,0.715544817,0.5,0.761904762
39,48,33,84,171,0.161764706,0.670588235,0.363636364,0.670588235,0.838235294,0.450704225,0.745098039,0.597901132,0.552098573,0.600935829,0.616263121,0.5,0.651785714
40,71,52,43,170,0.234234234,0.798122066,0.622807018,0.798122066,0.765765766,0.599156118,0.781609195,0.690382657,0.690597055,0.694286392,0.690982655,0.5,0.717261905
41,21,7,121,187,0.036082474,0.607142857,0.147887324,0.607142857,0.963917526,0.247058824,0.74501992,0.496039372,0.37755951,0.555902425,0.617236927,0.5,0.619047619
42,37,45,88,166,0.213270142,0.653543307,0.296,0.653543307,0.786729858,0.357487923,0.713978495,0.535733209,0.482568169,0.541364929,0.546873169,0.5,0.604166667
43,74,47,63,152,0.236180905,0.706976744,0.540145985,0.706976744,0.763819095,0.573643411,0.734299517,0.653971464,0.642319094,0.65198254,0.655628018,0.5,0.672619048
44,9,1,136,190,0.005235602,0.582822086,0.062068966,0.582822086,0.994764398,0.116129032,0.735009671,0.425569352,0.248483394,0.528416682,0.634913862,0.5,0.592261905
