Day,TP,FP,FN,TN,FA,TP_Precision,TP_Recall,TN_Precision,TN_Recall,F1_pos,F1_neg,F1_Avg,Geometric_mean,Balanced_Accuracy,Y_score,AUC,Accuracy
1,0,0,182,154,0,0.458333333,0,0.458333333,1,0,0.628571429,0.314285714,0,0.5,0.364583333,0.5,0.458333333
2,0,0,128,208,0,0.619047619,0,0.619047619,1,0,0.764705882,0.382352941,0,0.5,0.404761905,0.5,0.619047619
3,49,0,72,215,0,0.74912892,0.404958678,0.74912892,1,0.576470588,0.856573705,0.716522147,0.636363636,0.702479339,0.788521899,0.929175476,0.785714286
4,105,6,10,215,0.027149321,0.955555556,0.913043478,0.955555556,0.972850679,0.92920354,0.964125561,0.94666455,0.942472794,0.942947078,0.946848915,0.990537084,0.952380952
5,79,5,68,184,0.026455026,0.73015873,0.537414966,0.73015873,0.973544974,0.683982684,0.83446712,0.759224902,0.723324021,0.75547997,0.795398715,0.745995753,0.782738095
6,101,36,61,138,0.206896552,0.693467337,0.62345679,0.693467337,0.793103448,0.675585284,0.739946381,0.707765832,0.703182572,0.708280119,0.711813463,0.79381297,0.711309524
7,139,13,30,154,0.077844311,0.836956522,0.822485207,0.836956522,0.922155689,0.866043614,0.877492877,0.871768246,0.870895753,0.872320448,0.874017775,0.959766857,0.87202381
8,140,12,38,146,0.075949367,0.793478261,0.786516854,0.793478261,0.924050633,0.848484848,0.85380117,0.851143009,0.852514749,0.855283743,0.856274595,0.927232968,0.851190476
9,54,32,88,162,0.164948454,0.648,0.38028169,0.648,0.835051546,0.473684211,0.72972973,0.60170697,0.56352002,0.607666618,0.622810053,0.673860171,0.642857143
10,89,17,53,177,0.087628866,0.769565217,0.626760563,0.769565217,0.912371134,0.717741935,0.83490566,0.776323798,0.756199872,0.769565849,0.787079889,0.870680267,0.791666667
11,117,30,15,174,0.147058824,0.920634921,0.886363636,0.920634921,0.852941176,0.838709677,0.885496183,0.86210293,0.86949183,0.869652406,0.863964525,0.935253268,0.866071429
12,66,53,5,212,0.2,0.976958525,0.929577465,0.976958525,0.8,0.694736842,0.87966805,0.787202446,0.862358378,0.864788732,0.81528946,0.938028169,0.827380952
13,56,8,49,223,0.034632035,0.819852941,0.533333333,0.819852941,0.965367965,0.662721893,0.88667992,0.774700907,0.717539487,0.749350649,0.79838856,0.840012369,0.830357143
14,75,39,37,185,0.174107143,0.833333333,0.669642857,0.833333333,0.825892857,0.663716814,0.829596413,0.746656613,0.743675502,0.747767857,0.746690946,0.850167411,0.773809524
15,96,16,18,206,0.072072072,0.919642857,0.842105263,0.919642857,0.927927928,0.849557522,0.923766816,0.886662169,0.883975674,0.885016596,0.886704726,0.945926189,0.898809524
16,24,0,134,178,0,0.570512821,0.151898734,0.570512821,1,0.263736264,0.726530612,0.495133438,0.389741881,0.575949367,0.680602889,0.776436496,0.601190476
17,118,29,36,153,0.159340659,0.80952381,0.766233766,0.80952381,0.840659341,0.784053156,0.824797844,0.8044255,0.802584309,0.803446553,0.804784501,0.883794777,0.806547619
18,73,50,38,175,0.222222222,0.821596244,0.657657658,0.821596244,0.777777778,0.623931624,0.799086758,0.711509191,0.71520033,0.717717718,0.712631904,0.768248248,0.738095238
19,63,55,55,163,0.252293578,0.747706422,0.533898305,0.747706422,0.747706422,0.533898305,0.747706422,0.640802364,0.63182212,0.640802364,0.640802364,0.746209765,0.672619048
20,43,23,118,152,0.131428571,0.562962963,0.267080745,0.562962963,0.868571429,0.378854626,0.683146067,0.531000346,0.481641676,0.567826087,0.587532572,0.600425909,0.580357143
21,85,72,18,161,0.309012876,0.899441341,0.825242718,0.899441341,0.690987124,0.653846154,0.781553398,0.717699776,0.755137135,0.758114921,0.739268114,0.83224301,0.732142857
22,29,48,112,147,0.246153846,0.567567568,0.205673759,0.567567568,0.753846154,0.266055046,0.647577093,0.456816069,0.393759282,0.479759956,0.475927714,0.62331333,0.523809524
23,76,23,57,180,0.113300493,0.759493671,0.571428571,0.759493671,0.886699507,0.655172414,0.818181818,0.736677116,0.711818399,0.729064039,0.746324629,0.819956295,0.761904762
24,104,20,75,137,0.127388535,0.646226415,0.581005587,0.646226415,0.872611465,0.686468647,0.742547425,0.714508036,0.712033803,0.726808526,0.734638286,0.82919973,0.717261905
25,126,42,9,159,0.208955224,0.946428571,0.933333333,0.946428571,0.791044776,0.831683168,0.861788618,0.846735893,0.859248775,0.862189055,0.85520167,0.938492722,0.848214286
26,90,25,39,182,0.120772947,0.823529412,0.697674419,0.823529412,0.879227053,0.737704918,0.85046729,0.794086104,0.78320765,0.788450736,0.795759895,0.881062053,0.80952381
27,78,4,66,188,0.020833333,0.74015748,0.541666667,0.74015748,0.979166667,0.690265487,0.843049327,0.766657407,0.728273262,0.760416667,0.803052581,0.886519821,0.791666667
28,135,53,1,147,0.265,0.993243243,0.992647059,0.993243243,0.735,0.833333333,0.844827586,0.83908046,0.854163678,0.863823529,0.859743852,0.953308824,0.839285714
29,158,12,31,135,0.081632653,0.813253012,0.835978836,0.813253012,0.918367347,0.880222841,0.862619808,0.871421325,0.876205265,0.877173091,0.87425274,0.940611165,0.87202381
30,101,84,15,136,0.381818182,0.900662252,0.870689655,0.900662252,0.618181818,0.671096346,0.733153639,0.702124992,0.733651494,0.744435737,0.733869918,0.837931034,0.705357143
31,76,18,78,164,0.098901099,0.67768595,0.493506494,0.67768595,0.901098901,0.612903226,0.773584906,0.693244066,0.666856925,0.697302697,0.720200496,0.824425574,0.714285714
32,49,9,61,217,0.039823009,0.78057554,0.445454545,0.78057554,0.960176991,0.583333333,0.861111111,0.722222222,0.653999392,0.702815768,0.757758666,0.745534996,0.791666667
33,23,9,92,212,0.040723982,0.697368421,0.2,0.697368421,0.959276018,0.31292517,0.807619048,0.560272109,0.438012789,0.579638009,0.64384861,0.762463112,0.699404762
34,46,18,79,193,0.085308057,0.709558824,0.368,0.709558824,0.914691943,0.486772487,0.799171843,0.642972165,0.580178106,0.641345972,0.677750192,0.781763033,0.711309524
35,69,62,53,152,0.289719626,0.741463415,0.56557377,0.741463415,0.710280374,0.545454545,0.725536993,0.635495769,0.633810657,0.637927072,0.636008779,0.692488892,0.657738095
36,99,21,45,171,0.109375,0.791666667,0.6875,0.791666667,0.890625,0.75,0.838235294,0.794117647,0.782499002,0.7890625,0.798697917,0.872558594,0.803571429
37,111,24,49,152,0.136363636,0.756218905,0.69375,0.756218905,0.863636364,0.752542373,0.806366048,0.77945421,0.774046334,0.778693182,0.783956873,0.886949574,0.782738095
38,61,38,50,187,0.168888889,0.789029536,0.54954955,0.789029536,0.831111111,0.580952381,0.80952381,0.695238095,0.675823007,0.69033033,0.696462953,0.731591592,0.738095238
39,59,12,73,192,0.058823529,0.724528302,0.446969697,0.724528302,0.941176471,0.581280788,0.818763326,0.700022057,0.648596455,0.694073084,0.735915096,0.790385472,0.74702381
40,106,45,8,177,0.202702703,0.956756757,0.929824561,0.956756757,0.797297297,0.8,0.86977887,0.834889435,0.861014872,0.863560929,0.846466343,0.906985933,0.842261905
41,62,34,80,160,0.175257732,0.666666667,0.436619718,0.666666667,0.824742268,0.521008403,0.737327189,0.629167796,0.600082275,0.630680993,0.643465497,0.666146363,0.660714286
42,54,28,71,183,0.132701422,0.720472441,0.432,0.720472441,0.867298578,0.52173913,0.787096774,0.654417952,0.612105371,0.649649289,0.669576901,0.653990521,0.705357143
43,87,69,50,130,0.346733668,0.722222222,0.635036496,0.722222222,0.653266332,0.593856655,0.686015831,0.639936243,0.644086921,0.644151414,0.642054339,0.693375637,0.645833333
