Day,TP,FP,FN,TN,FA,TP_Precision,TP_Recall,TN_Precision,TN_Recall,F1_pos,F1_neg,F1_Avg,Geometric_mean,Balanced_Accuracy,Y_score,AUC,Accuracy
1,161,11,21,143,0.071428571,0.87195122,0.884615385,0.87195122,0.928571429,0.90960452,0.899371069,0.904487794,0.906326967,0.906593407,0.905296136,0.967032967,0.904761905
2,115,15,13,193,0.072115385,0.936893204,0.8984375,0.936893204,0.927884615,0.891472868,0.93236715,0.911920009,0.913042351,0.913161058,0.911957676,0.978140024,0.916666667
3,86,9,35,206,0.041860465,0.854771784,0.710743802,0.854771784,0.958139535,0.796296296,0.903508772,0.849902534,0.825222234,0.834441668,0.85722957,0.938804536,0.869047619
4,88,15,27,206,0.067873303,0.884120172,0.765217391,0.884120172,0.932126697,0.80733945,0.907488987,0.857414218,0.844558796,0.848672044,0.858958298,0.932677553,0.875
5,80,18,67,171,0.095238095,0.718487395,0.544217687,0.718487395,0.904761905,0.653061224,0.800936768,0.726998996,0.701703236,0.724489796,0.745948379,0.804952669,0.74702381
6,88,13,74,161,0.074712644,0.685106383,0.543209877,0.685106383,0.925287356,0.669201521,0.787286064,0.728243792,0.708960669,0.734248616,0.756222686,0.870937988,0.741071429
7,126,17,43,150,0.101796407,0.777202073,0.74556213,0.777202073,0.898203593,0.807692308,0.833333333,0.820512821,0.818331586,0.821882861,0.825521669,0.89714063,0.821428571
8,118,27,60,131,0.170886076,0.685863874,0.662921348,0.685863874,0.829113924,0.730650155,0.750716332,0.740683244,0.74137529,0.746017636,0.747923063,0.847390129,0.741071429
9,87,24,55,170,0.12371134,0.755555556,0.612676056,0.755555556,0.87628866,0.687747036,0.811455847,0.749601441,0.732721694,0.744482358,0.757076014,0.833163932,0.764880952
10,62,21,80,173,0.108247423,0.683794466,0.436619718,0.683794466,0.891752577,0.551111111,0.774049217,0.662580164,0.623984582,0.664186148,0.689788678,0.75787716,0.699404762
11,85,41,47,163,0.200980392,0.776190476,0.643939394,0.776190476,0.799019608,0.658914729,0.787439614,0.723177171,0.717300636,0.721479501,0.723438163,0.806781046,0.738095238
12,66,49,5,216,0.18490566,0.977375566,0.929577465,0.977375566,0.81509434,0.709677419,0.888888889,0.799283154,0.870455817,0.872335902,0.823990103,0.934679777,0.839285714
13,63,33,42,198,0.142857143,0.825,0.6,0.825,0.857142857,0.626865672,0.840764331,0.733815001,0.717137166,0.728571429,0.734598214,0.807833436,0.776785714
14,84,27,28,197,0.120535714,0.875555556,0.75,0.875555556,0.879464286,0.753363229,0.877505568,0.815434398,0.812156521,0.814732143,0.81544415,0.905253508,0.836309524
15,74,16,40,206,0.072072072,0.837398374,0.649122807,0.837398374,0.927927928,0.725490196,0.88034188,0.802916038,0.776105135,0.788525367,0.809167833,0.877746167,0.833333333
16,49,0,109,178,0,0.620209059,0.310126582,0.620209059,1,0.473429952,0.765591398,0.619510675,0.556890099,0.655063291,0.73258391,0.8459323,0.675595238
17,66,9,88,173,0.049450549,0.662835249,0.428571429,0.662835249,0.950549451,0.576419214,0.781038375,0.678728794,0.638261965,0.68956044,0.730489032,0.855929785,0.711309524
18,43,12,68,213,0.053333333,0.758007117,0.387387387,0.758007117,0.946666667,0.518072289,0.841897233,0.679984761,0.605579662,0.667027027,0.718469838,0.706546547,0.761904762
19,42,13,76,205,0.059633028,0.729537367,0.355932203,0.729537367,0.940366972,0.485549133,0.821643287,0.65359621,0.57853858,0.648149588,0.697368227,0.777445187,0.735119048
20,64,17,97,158,0.097142857,0.619607843,0.397515528,0.619607843,0.902857143,0.52892562,0.734883721,0.63190467,0.59908241,0.650186335,0.677525993,0.725678793,0.660714286
21,52,26,51,207,0.111587983,0.802325581,0.504854369,0.802325581,0.888412017,0.574585635,0.843177189,0.708881412,0.669715379,0.696633193,0.715564659,0.797658236,0.770833333
22,21,3,120,192,0.015384615,0.615384615,0.14893617,0.615384615,0.984615385,0.254545455,0.75739645,0.505970952,0.382942351,0.566775777,0.655984043,0.687179487,0.633928571
