Day,TP,FP,FN,TN,FA,TP_Precision,TP_Recall,TN_Precision,TN_Recall,F1_pos,F1_neg,F1_Avg,Geometric_mean,Balanced_Accuracy,Y_score,AUC,Accuracy
1,0,0,182,154,0,0.458333333,0,0.458333333,1,0,0.628571429,0.314285714,0,0.5,0.364583333,0.5,0.458333333
2,0,0,128,208,0,0.619047619,0,0.619047619,1,0,0.764705882,0.382352941,0,0.5,0.404761905,0.5,0.619047619
3,76,8,45,207,0.037209302,0.821428571,0.628099174,0.821428571,0.962790698,0.741463415,0.886509636,0.813986525,0.777642618,0.795444936,0.829270087,0.900249856,0.842261905
4,99,8,16,213,0.036199095,0.930131004,0.860869565,0.930131004,0.963800905,0.891891892,0.946666667,0.919279279,0.910882466,0.912335235,0.92000878,0.951682078,0.928571429
5,79,9,68,180,0.047619048,0.725806452,0.537414966,0.725806452,0.952380952,0.672340426,0.823798627,0.748069526,0.715418603,0.744897959,0.778332411,0.838498362,0.770833333
6,161,145,1,29,0.833333333,0.966666667,0.99382716,0.966666667,0.166666667,0.688034188,0.284313725,0.486173957,0.406986314,0.580246914,0.663326071,0.78891727,0.56547619
7,132,64,37,103,0.383233533,0.735714286,0.781065089,0.735714286,0.616766467,0.723287671,0.671009772,0.697148722,0.694071146,0.698915778,0.701753807,0.853913475,0.699404762
8,126,49,52,109,0.310126582,0.677018634,0.707865169,0.677018634,0.689873418,0.71388102,0.68338558,0.6986333,0.698811393,0.698869293,0.698689305,0.830358413,0.699404762
9,94,75,48,119,0.386597938,0.71257485,0.661971831,0.71257485,0.613402062,0.604501608,0.659279778,0.631890693,0.637224361,0.637686946,0.63604044,0.725606215,0.633928571
10,139,190,3,4,0.979381443,0.571428571,0.978873239,0.571428571,0.020618557,0.590233546,0.039800995,0.31501727,0.142066722,0.499745898,0.498353192,0.500326702,0.425595238
11,102,20,30,184,0.098039216,0.859813084,0.772727273,0.859813084,0.901960784,0.803149606,0.880382775,0.841766191,0.83484711,0.837344029,0.842641679,0.907902555,0.851190476
12,7,5,64,260,0.018867925,0.802469136,0.098591549,0.802469136,0.981132075,0.168674699,0.882852292,0.525763495,0.311016609,0.539861812,0.616381523,0.78490566,0.794642857
13,38,21,67,210,0.090909091,0.758122744,0.361904762,0.758122744,0.909090909,0.463414634,0.826771654,0.645093144,0.57358899,0.635497835,0.668296553,0.784848485,0.738095238
14,71,7,41,217,0.03125,0.841085271,0.633928571,0.841085271,0.96875,0.747368421,0.900414938,0.823891679,0.783657006,0.801339286,0.838505063,0.883410395,0.857142857
15,75,8,39,214,0.036036036,0.845849802,0.657894737,0.845849802,0.963963964,0.76142132,0.901052632,0.831236976,0.796358474,0.81092935,0.84283074,0.912833887,0.860119048
16,9,8,149,170,0.04494382,0.532915361,0.056962025,0.532915361,0.95505618,0.102857143,0.684104628,0.393480885,0.233242222,0.506009103,0.518586333,0.628146779,0.532738095
17,14,1,140,181,0.005494505,0.563862928,0.090909091,0.563862928,0.994505495,0.165680473,0.719681909,0.442681191,0.300681876,0.542707293,0.645652712,0.683709148,0.580357143
18,46,55,65,170,0.244444444,0.723404255,0.414414414,0.723404255,0.755555556,0.433962264,0.739130435,0.586546349,0.559565111,0.584984985,0.587204942,0.646686687,0.642857143
19,30,48,88,170,0.220183486,0.658914729,0.254237288,0.658914729,0.779816514,0.306122449,0.714285714,0.510204082,0.44526221,0.517026901,0.519395979,0.623619966,0.595238095
20,45,13,116,162,0.074285714,0.582733813,0.279503106,0.582733813,0.925714286,0.410958904,0.715231788,0.563095346,0.508664937,0.602608696,0.640953318,0.785767524,0.616071429
21,60,27,43,206,0.115879828,0.827309237,0.582524272,0.827309237,0.884120172,0.631578947,0.854771784,0.743175366,0.717649956,0.733322222,0.745902213,0.768365349,0.791666667
22,44,25,97,170,0.128205128,0.63670412,0.312056738,0.63670412,0.871794872,0.419047619,0.735930736,0.577489177,0.521583611,0.591925805,0.614559222,0.68463357,0.636904762
23,90,20,43,183,0.098522167,0.809734513,0.676691729,0.809734513,0.901477833,0.740740741,0.853146853,0.796943797,0.781039431,0.789084781,0.801521473,0.865809845,0.8125
24,61,4,118,153,0.025477707,0.564575646,0.340782123,0.564575646,0.974522293,0.5,0.714953271,0.607476636,0.576280987,0.657652208,0.7045854,0.808739281,0.636904762
25,90,7,45,194,0.034825871,0.811715481,0.666666667,0.811715481,0.965174129,0.775862069,0.881818182,0.828840125,0.80215299,0.815920398,0.842847832,0.923604201,0.845238095
26,64,7,65,200,0.033816425,0.754716981,0.496124031,0.754716981,0.966183575,0.64,0.847457627,0.743728814,0.692348821,0.731153803,0.779608259,0.860502565,0.785714286
27,46,1,98,191,0.005208333,0.660899654,0.319444444,0.660899654,0.994791667,0.481675393,0.794178794,0.637927093,0.563720384,0.657118056,0.738464792,0.843569155,0.705357143
28,119,58,17,142,0.29,0.893081761,0.875,0.893081761,0.71,0.760383387,0.791086351,0.775734869,0.788194139,0.7925,0.787599536,0.915992647,0.776785714
29,130,4,59,143,0.027210884,0.707920792,0.687830688,0.707920792,0.972789116,0.80495356,0.819484241,0.812218901,0.817994014,0.830309902,0.834672462,0.915163949,0.8125
30,75,96,41,124,0.436363636,0.751515152,0.646551724,0.751515152,0.563636364,0.522648084,0.644155844,0.583401964,0.603672148,0.605094044,0.600074933,0.726547806,0.592261905
31,92,31,62,151,0.17032967,0.708920188,0.597402597,0.708920188,0.82967033,0.664259928,0.764556962,0.714408445,0.704022166,0.713536464,0.720990149,0.794170116,0.723214286
32,54,12,56,214,0.053097345,0.792592593,0.490909091,0.792592593,0.946902655,0.613636364,0.862903226,0.738269795,0.681794046,0.718905873,0.762146539,0.837087691,0.797619048
33,47,1,68,220,0.004524887,0.763888889,0.408695652,0.763888889,0.995475113,0.576687117,0.864440079,0.720563598,0.637845084,0.702085383,0.78680658,0.902773952,0.794642857
34,49,9,76,202,0.042654028,0.726618705,0.392,0.726618705,0.957345972,0.535519126,0.826175869,0.680847497,0.612600703,0.674672986,0.730198066,0.773156398,0.74702381
35,122,146,0,68,0.682242991,1,1,1,0.317757009,0.625641026,0.482269504,0.553955265,0.563699396,0.658878505,0.693245222,0.67563582,0.56547619
36,89,28,55,164,0.145833333,0.748858447,0.618055556,0.748858447,0.854166667,0.681992337,0.798053528,0.740022933,0.726582723,0.736111111,0.745441108,0.826461227,0.75297619
37,115,97,45,79,0.551136364,0.637096774,0.71875,0.637096774,0.448863636,0.61827957,0.526666667,0.572473118,0.567997129,0.583806818,0.58679081,0.69609375,0.577380952
38,85,29,26,196,0.128888889,0.882882883,0.765765766,0.882882883,0.871111111,0.755555556,0.876957494,0.816256525,0.816741738,0.818438438,0.816343449,0.879039039,0.836309524
39,38,17,94,187,0.083333333,0.665480427,0.287878788,0.665480427,0.916666667,0.406417112,0.771134021,0.588775566,0.513701167,0.602272727,0.640233743,0.709670232,0.669642857
40,113,121,1,101,0.545045045,0.990196078,0.99122807,0.990196078,0.454954955,0.649425287,0.62345679,0.636441039,0.671538623,0.723091513,0.729821272,0.803283547,0.636904762
41,64,32,78,162,0.164948454,0.675,0.450704225,0.675,0.835051546,0.537815126,0.746543779,0.642179452,0.613482893,0.642877886,0.65685561,0.74477276,0.672619048
42,49,26,76,185,0.123222749,0.708812261,0.392,0.708812261,0.876777251,0.49,0.783898305,0.636949153,0.586256499,0.634388626,0.657730711,0.747184834,0.696428571
43,133,135,4,64,0.67839196,0.941176471,0.97080292,0.941176471,0.32160804,0.656790123,0.479400749,0.568095436,0.558764731,0.64620548,0.682464022,0.747845065,0.586309524
