Algorithm_Name,TP,FP,FN,TN,FA,TP_Precision,TP_Recall,TN_Precision,TN_Recall,F1_pos,F1_neg,F1_Avg,Geometric_mean,Balanced_Accuracy,Y_score,AUC,Accuracy,Train_Run_Time,Prediction_Run_Time,Total_Run_Time
CDDRL-Tabu10+Params,346.51,136.75,153.31,363.43,0.27,0.72,0.69,0.71,0.73,0.69,0.7,0.7,0.68,0.71,0.71,0.75,0.71,,,
CDDRL-Ensemble_Methods,374.82,145.69,125.35,354.13,0.29,0.73,0.75,0.74,0.71,0.72,0.71,0.72,0.7,0.73,0.73,0.76,0.73,,,
CDDRL-Ensemble_BNs,317.4,131.96,182.43,368.22,0.26,0.71,0.64,0.68,0.74,0.65,0.69,0.67,0.64,0.69,0.69,0.73,0.69,,,
KNN-ADWIN,353.38,165.03,146.44,335.15,0.33,0.7,0.71,0.7,0.67,0.69,0.67,0.68,0.68,0.69,0.69,0.72,0.69,159.7099476,590.0781081,749.7880557
AWE,350.85,100.68,148.97,399.5,0.2,0.75,0.7,0.75,0.8,0.7,0.75,0.72,0.68,0.75,0.75,0.5,0.75,128.9960973,75.22110176,204.2171991
DWM,293.15,132.97,206.68,367.21,0.27,0.66,0.59,0.66,0.73,0.59,0.68,0.63,0.59,0.66,0.65,0.5,0.66,36.22213006,30.2992115,66.52134156
LNSE,362.72,127.04,137.1,373.13,0.25,0.75,0.73,0.75,0.75,0.72,0.73,0.72,0.7,0.74,0.74,0.74,0.74,45.76774311,203.1384249,248.906168
SRP,361.16,130.78,138.66,369.4,0.26,0.73,0.72,0.73,0.74,0.72,0.72,0.72,0.71,0.73,0.74,0.77,0.73,302.8236806,189.465241,492.2889216
SAM-KNN,343.62,158.65,156.21,341.53,0.32,0.69,0.69,0.69,0.68,0.68,0.68,0.68,0.67,0.69,0.69,0.5,0.69,45.68625736,18.45841026,64.14466763
VFDR,333.75,110.85,166.07,389.32,0.22,0.73,0.67,0.73,0.78,0.67,0.73,0.7,0.67,0.72,0.73,0.75,0.72,6.964229822,26.35607982,33.32030964
RSLVQ,306.5,226.32,193.32,273.85,0.45,0.61,0.61,0.61,0.55,0.57,0.54,0.55,0.52,0.58,0.59,0.5,0.58,57.56472468,2.261235952,59.82596064
OBC,338.22,163.13,161.6,337.04,0.33,0.67,0.68,0.67,0.67,0.67,0.67,0.67,0.67,0.68,0.68,0.71,0.68,1744.953966,2686.870772,4431.824738
ARF,368.43,134.19,131.4,365.99,0.27,0.73,0.74,0.73,0.73,0.73,0.72,0.72,0.71,0.73,0.74,0.76,0.73,318.6931293,87.38297057,406.0760999
NN-UN,329.25,205.03,170.57,295.15,0.41,0.63,0.66,0.63,0.59,0.62,0.58,0.6,0.58,0.62,0.63,0.65,0.62,,,
