Week,TP,FP,FN,TN,FA,TP_Precision,TP_Recall,TN_Precision,TN_Recall,F1_pos,F1_neg,F1_Avg,Geometric_mean,Balanced_Accuracy,Y_score,AUC,Accuracy
1,487,1,5,507,0.001968504,0.99795082,0.989837398,0.990234375,0.998031496,0.993877551,0.994117647,0.993997599,0.993926003,0.993934447,0.994013522,0.999691921,0.994
2,516,2,4,478,0.004166667,0.996138996,0.992307692,0.991701245,0.995833333,0.994219653,0.993762994,0.993991323,0.99406895,0.994070513,0.993995317,0.999615385,0.994
3,524,5,1,470,0.010526316,0.990548204,0.998095238,0.997876858,0.989473684,0.9943074,0.993657505,0.993982453,0.993775112,0.993784461,0.993998496,0.999807519,0.994
4,519,3,2,476,0.006263048,0.994252874,0.996161228,0.9958159,0.993736952,0.995206136,0.99477534,0.994990738,0.994948352,0.99494909,0.994991738,0.999923866,0.995
5,503,3,3,491,0.006072874,0.994071146,0.994071146,0.993927126,0.993927126,0.994071146,0.993927126,0.993999136,0.993999133,0.993999136,0.993999136,0.999603943,0.994
6,497,3,1,499,0.005976096,0.994,0.997991968,0.998,0.994023904,0.995991984,0.996007984,0.995999984,0.99600596,0.996007936,0.996003968,0.999795997,0.996
7,490,3,2,505,0.005905512,0.993914807,0.995934959,0.996055227,0.994094488,0.994923858,0.995073892,0.994998875,0.995014298,0.995014724,0.99499987,0.999935984,0.995
8,463,3,3,531,0.005617978,0.993562232,0.993562232,0.994382022,0.994382022,0.993562232,0.994382022,0.993972127,0.993972043,0.993972127,0.993972127,0.999851312,0.994
9,490,5,9,496,0.00998004,0.98989899,0.981963928,0.982178218,0.99001996,0.985915493,0.986083499,0.985999496,0.985983716,0.985991944,0.986015274,0.999631999,0.986
10,473,5,8,514,0.009633911,0.989539749,0.983367983,0.98467433,0.990366089,0.986444213,0.987512008,0.98697811,0.986860833,0.986867036,0.986987038,0.999483254,0.987
11,0,0,500,500,0,0,0,0.5,1,0,0.666666667,0.333333333,0,0.5,0.375,0.5,0.5
12,432,177,62,329,0.349802372,0.709359606,0.874493927,0.841432225,0.650197628,0.783318223,0.733556299,0.758437261,0.754051641,0.762345778,0.768870847,0.803641724,0.761
13,480,96,16,408,0.19047619,0.833333333,0.967741935,0.962264151,0.80952381,0.895522388,0.879310345,0.887416366,0.885104592,0.888632873,0.893215807,0.960503472,0.888
14,155,21,354,470,0.042769857,0.880681818,0.304518664,0.57038835,0.957230143,0.452554745,0.714828897,0.583691821,0.539902254,0.630874403,0.678204744,0.760426378,0.625
15,338,14,159,489,0.027833002,0.960227273,0.680080483,0.75462963,0.972166998,0.79623086,0.849695917,0.822963388,0.813112416,0.82612374,0.841776096,0.944357997,0.827
16,328,104,196,372,0.218487395,0.759259259,0.625954198,0.654929577,0.781512605,0.686192469,0.712643678,0.699418073,0.699421973,0.703733402,0.70541391,0.747237636,0.7
