C_nodes_ 1,C_nodes_ 2,C_nodes_ 3,C_nodes_ 4,C_nodes_ 5,C_nodes_ 6,C_nodes_ 7,C_nodes_ 8,C_nodes_ 9,C_nodes_10,C_nodes_11,C_nodes_12,C_nodes_13,C_nodes_14,C_nodes_15
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1,3,4,5,6,7,8,9,10,11,13,14,15,,
4,7,8,9,11,,,,,,,,,,
2,4,5,6,7,8,9,10,11,14,15,,,,
4,5,6,7,8,9,10,11,14,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
2,4,5,7,8,9,11,14,,,,,,,
1,3,4,6,8,9,10,11,12,,,,,,
3,4,8,9,11,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,
1,2,3,4,5,6,7,8,9,10,11,13,14,,
4,6,7,8,9,10,11,12,14,,,,,,
2,4,5,6,7,8,9,10,11,14,,,,,
4,5,6,7,8,9,10,11,13,14,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,
2,3,4,6,7,8,9,10,11,12,14,,,,
1,4,6,7,8,9,10,11,14,,,,,,
4,6,7,8,9,10,11,14,,,,,,,
1,3,4,5,6,7,8,9,10,11,12,13,14,,
1,2,3,4,5,6,7,8,9,10,11,13,14,,
2,3,4,5,6,7,8,9,11,12,13,14,,,
3,4,5,6,7,8,9,10,11,13,14,,,,
3,4,6,7,8,9,10,11,13,14,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,
2,3,4,5,6,7,8,9,10,11,13,14,,,
1,2,3,4,5,6,7,8,9,10,11,13,14,,
2,3,4,5,6,7,8,9,10,11,13,14,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,
1,3,4,5,6,7,8,9,10,11,12,13,14,,
4,8,9,11,,,,,,,,,,,
4,5,7,8,9,11,,,,,,,,,
4,8,9,11,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,
1,2,3,4,5,6,7,8,9,10,11,13,14,,
2,4,8,9,11,12,14,,,,,,,,
2,4,7,8,9,11,12,,,,,,,,
4,8,9,11,,,,,,,,,,,
1,2,3,4,5,6,8,9,10,11,12,13,14,,
1,2,3,4,5,6,8,9,10,11,13,14,,,
4,6,8,9,10,11,12,14,,,,,,,
4,5,6,8,9,10,11,14,,,,,,,
4,6,7,8,9,10,11,14,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,
1,2,3,4,5,6,7,8,9,10,11,13,14,,
4,6,7,8,9,10,11,12,14,,,,,,
4,6,7,8,9,10,11,14,,,,,,,
4,6,7,8,9,10,11,14,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,
2,3,4,5,6,7,8,9,10,11,13,14,,,
1,2,3,4,5,6,7,8,9,10,11,13,14,,
2,3,4,6,7,8,9,10,11,13,14,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,
2,3,4,5,6,7,8,9,10,11,12,13,14,,
2,3,4,5,6,7,8,9,10,11,13,14,,,
2,3,4,5,6,7,8,9,10,11,13,14,,,
