Day,TP,FP,FN,TN,FA,TP_Precision,TP_Recall,TN_Precision,TN_Recall,F1_pos,F1_neg,F1_Avg,Geometric_mean,Balanced_Accuracy,Y_score,AUC,Accuracy
1,0,0,492,508,0,0.508,0,0.508,1,0,0.673740053,0.336870027,0,0.5,0.377,0.5,0.508
2,516,1,4,479,0.002083333,0.991718427,0.992307692,0.991718427,0.997916667,0.995178399,0.994807892,0.994993146,0.995108228,0.995112179,0.995002137,0.999417067,0.995
3,524,0,1,475,0,0.99789916,0.998095238,0.99789916,1,0.999046711,0.998948475,0.998997593,0.999047165,0.999047619,0.998998599,0.99999599,0.999
4,521,1,0,478,0.002087683,1,1,1,0.997912317,0.999041227,0.998955068,0.998998148,0.998955613,0.998956159,0.998999152,1,0.999
5,505,2,1,492,0.004048583,0.997971602,0.998023715,0.997971602,0.995951417,0.9970385,0.996960486,0.996999493,0.996987028,0.996987566,0.99700049,0.999991999,0.997
6,498,1,0,501,0.001992032,1,1,1,0.998007968,0.998996991,0.999002991,0.998999991,0.999003488,0.999003984,0.99900099,1,0.999
7,490,0,2,508,0,0.996078431,0.995934959,0.996078431,1,0.99796334,0.998035363,0.997999352,0.99796541,0.99796748,0.998003348,0.99894573,0.998
8,466,0,0,534,0,1,1,1,1,1,1,1,1,1,1,1,1
9,495,0,4,501,0,0.992079208,0.991983968,0.992079208,1,0.995975855,0.996023857,0.995999856,0.99598392,0.995991984,0.996015794,0.999968,0.996
10,481,0,0,519,0,1,1,1,1,1,1,1,1,1,1,1,1
11,39,23,461,477,0.046,0.508528785,0.078,0.508528785,0.954,0.138790036,0.663421419,0.401105727,0.27278563,0.516,0.542390261,0.444868,0.516
12,480,174,14,332,0.343873518,0.959537572,0.971659919,0.959537572,0.656126482,0.836236934,0.779342723,0.807789828,0.798455888,0.813893201,0.830317232,0.879420637,0.812
13,492,25,4,479,0.049603175,0.991718427,0.991935484,0.991718427,0.950396825,0.971372162,0.970618034,0.970995098,0.970944043,0.971166155,0.971423709,0.995753728,0.971
14,159,5,350,486,0.010183299,0.581339713,0.31237721,0.581339713,0.989816701,0.472511144,0.732479277,0.60249521,0.556054116,0.651096955,0.713261455,0.791132327,0.645
15,410,0,87,503,0,0.852542373,0.824949698,0.852542373,1,0.904079383,0.920402562,0.912240972,0.908267416,0.912474849,0.919373018,0.988023569,0.913
16,425,155,99,321,0.325630252,0.764285714,0.811068702,0.764285714,0.674369748,0.769927536,0.716517857,0.743222697,0.739567574,0.742719225,0.745620696,0.795296363,0.746
17,423,113,56,408,0.216890595,0.879310345,0.88308977,0.879310345,0.783109405,0.833497537,0.828426396,0.830961966,0.831598403,0.833099588,0.833672156,0.919253563,0.831
18,331,272,162,235,0.536489152,0.591939547,0.671399594,0.591939547,0.463510848,0.604014599,0.519911504,0.561963051,0.557853919,0.567455221,0.568943011,0.604912563,0.566
19,448,71,59,422,0.144016227,0.877338877,0.883629191,0.877338877,0.855983773,0.873294347,0.866529774,0.869912061,0.869696642,0.869806482,0.870037575,0.917553841,0.87
20,276,246,225,253,0.492985972,0.529288703,0.550898204,0.529288703,0.507014028,0.539589443,0.517911975,0.528750709,0.52850082,0.528956116,0.528984142,0.51742007,0.529
21,367,470,121,42,0.91796875,0.257668712,0.75204918,0.257668712,0.08203125,0.553962264,0.124444444,0.339203354,0.248377806,0.417040215,0.382554968,0.268134445,0.409
22,356,96,166,382,0.20083682,0.697080292,0.681992337,0.697080292,0.79916318,0.73100616,0.744639376,0.737822768,0.738256842,0.740577759,0.741461607,0.781965886,0.738
23,475,33,13,479,0.064453125,0.973577236,0.973360656,0.973577236,0.935546875,0.953815261,0.954183267,0.953999264,0.954266483,0.954453765,0.954381034,0.988341285,0.954
24,109,63,392,436,0.126252505,0.526570048,0.21756487,0.526570048,0.873747495,0.323922734,0.657121326,0.49052203,0.436000872,0.545656183,0.562900836,0.545186181,0.545
25,405,72,97,426,0.144578313,0.814531549,0.806772908,0.814531549,0.855421687,0.827374872,0.834476004,0.830925438,0.830741261,0.831097298,0.831445687,0.912638602,0.831
26,247,73,248,432,0.144554455,0.635294118,0.498989899,0.635294118,0.855445545,0.606134969,0.729113924,0.667624447,0.653344232,0.677217722,0.69040114,0.849218922,0.679
27,496,2,12,490,0.004065041,0.976095618,0.976377953,0.976095618,0.995934959,0.986083499,0.985915493,0.985999496,0.986107974,0.986156456,0.986098116,0.99828156,0.986
28,212,160,289,339,0.320641283,0.539808917,0.423153693,0.539808917,0.679358717,0.485681558,0.601597161,0.543639359,0.536165226,0.551256205,0.55305345,0.667274669,0.551
29,483,69,17,431,0.138,0.962053571,0.966,0.962053571,0.862,0.918250951,0.9092827,0.913766825,0.912519589,0.914,0.916263393,0.980032,0.914
30,208,269,287,236,0.532673267,0.45124283,0.42020202,0.45124283,0.467326733,0.427983539,0.459143969,0.443563754,0.443138395,0.443764376,0.443707571,0.518137814,0.444
31,309,339,189,163,0.675298805,0.463068182,0.620481928,0.463068182,0.324701195,0.539267016,0.381733021,0.460500018,0.44885546,0.472591561,0.471275789,0.429712875,0.472
32,366,257,161,216,0.543340381,0.572944297,0.694497154,0.572944297,0.456659619,0.636521739,0.508235294,0.572378517,0.563159663,0.575578387,0.577895252,0.60710231,0.582
33,449,43,27,481,0.082061069,0.946850394,0.943277311,0.946850394,0.917938931,0.92768595,0.932170543,0.929928247,0.930521879,0.930608121,0.930167065,0.984772917,0.93
34,249,128,256,367,0.258585859,0.589085072,0.493069307,0.589085072,0.741414141,0.56462585,0.656529517,0.610577684,0.604622657,0.617241724,0.621011494,0.672573257,0.616
35,459,33,41,467,0.066,0.919291339,0.918,0.919291339,0.934,0.925403226,0.926587302,0.925995264,0.925965442,0.926,0.926054542,0.978882,0.926
36,353,70,135,442,0.13671875,0.766031196,0.723360656,0.766031196,0.86328125,0.774972558,0.811753903,0.79336323,0.790230151,0.793320953,0.796797117,0.878656106,0.795
37,495,26,15,464,0.053061224,0.96868476,0.970588235,0.96868476,0.946938776,0.960232784,0.957688338,0.958960561,0.958690584,0.958763505,0.959076935,0.99254902,0.959
38,296,190,201,313,0.377733598,0.608949416,0.595573441,0.608949416,0.622266402,0.602238047,0.61553589,0.608886968,0.608773638,0.608919921,0.608960689,0.668964083,0.609
39,447,111,59,383,0.224696356,0.866515837,0.883399209,0.866515837,0.775303644,0.840225564,0.818376068,0.829300816,0.82758844,0.829351427,0.83157349,0.900957738,0.83
40,166,82,327,425,0.1617357,0.565159574,0.336713996,0.565159574,0.8382643,0.448043185,0.675138999,0.561591092,0.531277067,0.587489148,0.602373177,0.717648659,0.591
41,136,341,366,157,0.684738956,0.300191205,0.270916335,0.300191205,0.315261044,0.277834525,0.307541626,0.292688075,0.292248809,0.293088689,0.292870972,0.203851262,0.293
