Day,TP,FP,FN,TN,FA,TP_Precision,TP_Recall,TN_Precision,TN_Recall,F1_pos,F1_neg,F1_Avg,Geometric_mean,Balanced_Accuracy,Y_score,AUC,Accuracy
1,0,0,492,508,0,0.508,0,0.508,1,0,0.673740053,0.336870027,0,0.5,0.377,0.5,0.508
2,518,0,2,480,0,0.995850622,0.996153846,0.995850622,1,0.998073218,0.997920998,0.997997108,0.99807507,0.998076923,0.998001117,0.5,0.998
3,520,0,5,475,0,0.989583333,0.99047619,0.989583333,1,0.995215311,0.994764398,0.994989854,0.995226703,0.995238095,0.995014881,0.5,0.995
4,519,0,2,479,0,0.995841996,0.996161228,0.995841996,1,0.998076923,0.997916667,0.997996795,0.998078769,0.998080614,0.998000806,0.5,0.998
5,496,0,10,494,0,0.98015873,0.980237154,0.98015873,1,0.99001996,0.98997996,0.98999996,0.990069267,0.990118577,0.990098971,0.5,0.99
6,494,0,4,502,0,0.992094862,0.991967871,0.992094862,1,0.995967742,0.996031746,0.995999744,0.995975839,0.995983936,0.996015683,0.5,0.996
7,490,0,2,508,0,0.996078431,0.995934959,0.996078431,1,0.99796334,0.998035363,0.997999352,0.99796541,0.99796748,0.998003348,0.5,0.998
8,462,0,4,534,0,0.992565056,0.991416309,0.992565056,1,0.995689655,0.996268657,0.995979156,0.995698905,0.995708155,0.995995341,0.5,0.996
9,494,1,5,500,0.001996008,0.99009901,0.98997996,0.99009901,0.998003992,0.993963783,0.994035785,0.993999784,0.993983879,0.993991976,0.99401569,0.5,0.994
10,473,0,8,519,0,0.984819734,0.983367983,0.984819734,1,0.991614256,0.992351816,0.991983036,0.991649123,0.991683992,0.992046929,0.5,0.992
11,0,0,500,500,0,0.5,0,0.5,1,0,0.666666667,0.333333333,0,0.5,0.375,0.5,0.5
12,484,169,10,337,0.333992095,0.971181556,0.979757085,0.971181556,0.666007905,0.843940715,0.790152403,0.817046559,0.807790792,0.822882495,0.839535258,0.5,0.821
13,491,51,5,453,0.101190476,0.989082969,0.989919355,0.989082969,0.898809524,0.946050096,0.941787942,0.943919019,0.943265044,0.944364439,0.945928977,0.5,0.944
14,233,23,276,468,0.046843177,0.629032258,0.457760314,0.629032258,0.953156823,0.609150327,0.757894737,0.683522532,0.660543236,0.705458569,0.737526411,0.5,0.701
15,465,6,32,497,0.011928429,0.939508507,0.935613682,0.939508507,0.988071571,0.960743802,0.963178295,0.961961048,0.961484935,0.961842626,0.962613726,0.5,0.962
16,323,177,201,299,0.371848739,0.598,0.616412214,0.598,0.628151261,0.630859375,0.612704918,0.621782147,0.622254055,0.622281737,0.622140869,0.5,0.622
17,407,64,72,457,0.122840691,0.86389414,0.849686848,0.86389414,0.877159309,0.856842105,0.87047619,0.863659148,0.863313806,0.863423078,0.863714798,0.5,0.864
18,403,328,90,179,0.646942801,0.665427509,0.817444219,0.665427509,0.353057199,0.658496732,0.461340206,0.559918469,0.537219291,0.585250709,0.596807129,0.5,0.582
19,479,110,28,383,0.223123732,0.931873479,0.944773176,0.931873479,0.776876268,0.874087591,0.847345133,0.860716362,0.856721576,0.860824722,0.866691427,0.5,0.862
20,278,252,223,247,0.50501002,0.525531915,0.55489022,0.525531915,0.49498998,0.53928225,0.509803922,0.524543086,0.524085011,0.5249401,0.524985104,0.5,0.525
21,0,0,488,512,0,0.512,0,0.512,1,0,0.677248677,0.338624339,0,0.5,0.378,0.5,0.512
22,297,73,225,405,0.152719665,0.642857143,0.568965517,0.642857143,0.847280335,0.665919283,0.731046931,0.698483107,0.694314982,0.708122926,0.715451424,0.5,0.702
23,486,20,2,492,0.0390625,0.995951417,0.995901639,0.995951417,0.9609375,0.977867203,0.978131213,0.977999208,0.978263375,0.97841957,0.978316216,0.5,0.978
24,107,68,394,431,0.136272545,0.522424242,0.213572854,0.522424242,0.863727455,0.316568047,0.651057402,0.483812725,0.42949824,0.538650155,0.552788281,0.5,0.538
25,476,109,26,389,0.218875502,0.937349398,0.948207171,0.937349398,0.781124498,0.875804968,0.852135816,0.863970392,0.860620619,0.864665835,0.87008907,0.5,0.865
26,174,16,321,489,0.031683168,0.603703704,0.351515152,0.603703704,0.968316832,0.508029197,0.743726236,0.625877716,0.583419264,0.659915992,0.70983129,0.5,0.663
27,477,2,31,490,0.004065041,0.94049904,0.938976378,0.94049904,0.995934959,0.96656535,0.967423495,0.966994422,0.967036401,0.967455669,0.967808753,0.5,0.967
28,365,154,136,345,0.308617234,0.717255717,0.728542914,0.717255717,0.691382766,0.715686275,0.704081633,0.709883954,0.709719673,0.70996284,0.710114232,0.5,0.71
29,465,38,35,462,0.076,0.929577465,0.93,0.929577465,0.924,0.927218345,0.926780341,0.926999343,0.926995146,0.927,0.927007686,0.5,0.927
30,183,134,312,371,0.265346535,0.543191801,0.36969697,0.543191801,0.734653465,0.450738916,0.624579125,0.53765902,0.521151763,0.552175218,0.556207326,0.5,0.554
31,0,0,498,502,0,0.502,0,0.502,1,0,0.668442077,0.334221039,0,0.5,0.3755,0.5,0.502
32,280,153,247,320,0.32346723,0.564373898,0.531309298,0.564373898,0.67653277,0.583333333,0.615384615,0.599358974,0.599539949,0.603921034,0.604716809,0.5,0.6
33,461,14,15,510,0.026717557,0.971428571,0.968487395,0.971428571,0.973282443,0.969505783,0.972354623,0.970930203,0.970881959,0.970884919,0.970931181,0.5,0.971
34,179,62,326,433,0.125252525,0.570487484,0.354455446,0.570487484,0.874747475,0.479892761,0.690590112,0.585241437,0.556829423,0.61460146,0.635607248,0.5,0.612
35,481,29,19,471,0.058,0.96122449,0.962,0.96122449,0.942,0.952475248,0.951515152,0.9519952,0.951947478,0.952,0.952090436,0.5,0.952
36,265,28,223,484,0.0546875,0.684582744,0.543032787,0.684582744,0.9453125,0.678617157,0.794093519,0.736355338,0.716474481,0.744172643,0.769341223,0.5,0.749
37,497,7,13,483,0.014285714,0.973790323,0.974509804,0.973790323,0.985714286,0.980276134,0.979716024,0.979996079,0.980096034,0.980112045,0.980031381,0.5,0.98
38,241,214,256,289,0.425447316,0.530275229,0.484909457,0.530275229,0.574552684,0.506302521,0.551526718,0.528914619,0.527831441,0.52973107,0.529851925,0.5,0.53
39,468,117,38,377,0.236842105,0.908433735,0.924901186,0.908433735,0.763157895,0.857928506,0.829482948,0.843705727,0.840146203,0.84402954,0.849123204,0.5,0.845
40,156,32,337,475,0.063116371,0.584975369,0.31643002,0.584975369,0.936883629,0.45814978,0.720242608,0.589196194,0.544479665,0.626656825,0.667019063,0.5,0.631
