Day,TP,FP,FN,TN,FA,TP_Precision,TP_Recall,TN_Precision,TN_Recall,F1_pos,F1_neg,F1_Avg,Geometric_mean,Balanced_Accuracy,Y_score,AUC,Accuracy
1,0,0,492,508,0,0.508,0,0.508,1,0,0.673740053,0.336870027,0,0.5,0.377,0.5,0.508
2,518,0,2,480,0,0.995850622,0.996153846,0.995850622,1,0.998073218,0.997920998,0.997997108,0.99807507,0.998076923,0.998001117,0.5,0.998
3,520,0,5,475,0,0.989583333,0.99047619,0.989583333,1,0.995215311,0.994764398,0.994989854,0.995226703,0.995238095,0.995014881,0.5,0.995
4,519,0,2,479,0,0.995841996,0.996161228,0.995841996,1,0.998076923,0.997916667,0.997996795,0.998078769,0.998080614,0.998000806,0.5,0.998
5,496,0,10,494,0,0.98015873,0.980237154,0.98015873,1,0.99001996,0.98997996,0.98999996,0.990069267,0.990118577,0.990098971,0.5,0.99
6,494,0,4,502,0,0.992094862,0.991967871,0.992094862,1,0.995967742,0.996031746,0.995999744,0.995975839,0.995983936,0.996015683,0.5,0.996
7,490,0,2,508,0,0.996078431,0.995934959,0.996078431,1,0.99796334,0.998035363,0.997999352,0.99796541,0.99796748,0.998003348,0.5,0.998
8,462,0,4,534,0,0.992565056,0.991416309,0.992565056,1,0.995689655,0.996268657,0.995979156,0.995698905,0.995708155,0.995995341,0.5,0.996
9,494,1,5,500,0.001996008,0.99009901,0.98997996,0.99009901,0.998003992,0.993963783,0.994035785,0.993999784,0.993983879,0.993991976,0.99401569,0.5,0.994
10,473,0,8,519,0,0.984819734,0.983367983,0.984819734,1,0.991614256,0.992351816,0.991983036,0.991649123,0.991683992,0.992046929,0.5,0.992
11,0,0,500,500,0,0.5,0,0.5,1,0,0.666666667,0.333333333,0,0.5,0.375,0.5,0.5
12,447,160,47,346,0.316205534,0.880407125,0.9048583,0.880407125,0.683794466,0.811989101,0.76974416,0.79086663,0.786598435,0.794326383,0.801367114,0.5,0.793
13,471,138,25,366,0.273809524,0.936061381,0.949596774,0.936061381,0.726190476,0.852488688,0.817877095,0.835182891,0.830414435,0.837893625,0.846311912,0.5,0.837
14,280,129,229,362,0.262729124,0.612521151,0.550098232,0.612521151,0.737270876,0.610021786,0.669131238,0.639576512,0.636844883,0.643684554,0.646121709,0.5,0.642
15,343,230,154,273,0.457256461,0.639344262,0.690140845,0.639344262,0.542743539,0.641121495,0.587096774,0.614109135,0.61202082,0.616442192,0.617708121,0.5,0.616
16,113,78,411,398,0.163865546,0.491965389,0.215648855,0.491965389,0.836134454,0.316083916,0.619455253,0.467769585,0.424630943,0.525891654,0.533842934,0.5,0.511
17,13,17,466,504,0.032629559,0.519587629,0.027139875,0.519587629,0.967370441,0.05108055,0.676056338,0.363568444,0.162031826,0.497255158,0.48685782,0.5,0.517
18,404,334,89,173,0.65877712,0.660305344,0.819472617,0.660305344,0.34122288,0.656376929,0.44993498,0.553155955,0.528793727,0.580347748,0.592106579,0.5,0.577
19,11,8,496,485,0.016227181,0.494393476,0.021696252,0.494393476,0.983772819,0.041825095,0.65807327,0.349949183,0.146096487,0.502734536,0.519702479,0.5,0.496
20,242,215,259,284,0.430861723,0.523020258,0.483033932,0.523020258,0.569138277,0.505219207,0.545105566,0.525162386,0.524321561,0.526086104,0.526183237,0.5,0.526
21,0,0,488,512,0,0.512,0,0.512,1,0,0.677248677,0.338624339,0,0.5,0.378,0.5,0.512
22,500,314,22,164,0.656903766,0.88172043,0.957854406,0.88172043,0.343096234,0.748502994,0.493975904,0.621239449,0.573268035,0.65047532,0.699230421,0.5,0.664
23,376,157,112,355,0.306640625,0.760171306,0.770491803,0.760171306,0.693359375,0.736532811,0.725229826,0.730881319,0.730908828,0.731925589,0.732365846,0.5,0.731
24,305,148,196,351,0.296593186,0.641681901,0.608782435,0.641681901,0.703406814,0.639412998,0.671128107,0.655270552,0.654386516,0.656094624,0.656790083,0.5,0.656
25,327,129,175,369,0.259036145,0.678308824,0.651394422,0.678308824,0.740963855,0.682672234,0.708253359,0.695462796,0.694737161,0.696179139,0.696943091,0.5,0.696
26,314,143,181,362,0.283168317,0.666666667,0.634343434,0.666666667,0.716831683,0.659663866,0.690839695,0.67525178,0.674327422,0.675587559,0.676232875,0.5,0.676
27,430,89,78,403,0.180894309,0.837837838,0.846456693,0.837837838,0.819105691,0.837390458,0.828365879,0.832878168,0.832668898,0.832781192,0.83297915,0.5,0.833
28,293,137,208,362,0.274549098,0.635087719,0.584830339,0.635087719,0.725450902,0.62943072,0.677268475,0.653349597,0.651356812,0.655140621,0.656691077,0.5,0.655
29,266,141,234,359,0.282,0.60539629,0.532,0.60539629,0.718,0.586549063,0.656907594,0.621728328,0.61804207,0.625,0.627239736,0.5,0.625
30,124,102,371,403,0.201980198,0.520671835,0.250505051,0.520671835,0.798019802,0.343966713,0.630179828,0.48707327,0.447110714,0.524262426,0.529467313,0.5,0.527
31,0,0,498,502,0,0.502,0,0.502,1,0,0.668442077,0.334221039,0,0.5,0.3755,0.5,0.502
32,331,305,196,168,0.644820296,0.461538462,0.628083491,0.461538462,0.355179704,0.569217541,0.401433692,0.485325616,0.472316111,0.491631598,0.491310477,0.5,0.499
33,402,157,74,367,0.299618321,0.832199546,0.844537815,0.832199546,0.700381679,0.776811594,0.760621762,0.768716678,0.7690896,0.772459747,0.774065091,0.5,0.769
34,149,62,356,433,0.125252525,0.548795944,0.295049505,0.548795944,0.874747475,0.416201117,0.674454829,0.545327973,0.508029339,0.58489849,0.606188515,0.5,0.582
35,244,67,256,433,0.134,0.628447025,0.488,0.628447025,0.866,0.601726264,0.728343146,0.665034705,0.650083072,0.677,0.691753235,0.5,0.677
36,408,103,80,409,0.201171875,0.836400818,0.836065574,0.836400818,0.798828125,0.816816817,0.817182817,0.816999817,0.817234786,0.817446849,0.81743224,0.5,0.817
37,477,60,33,430,0.12244898,0.928725702,0.935294118,0.928725702,0.87755102,0.911174785,0.902413431,0.906794108,0.905962641,0.906422569,0.907459749,0.5,0.907
38,210,193,287,310,0.383697813,0.519262982,0.422535211,0.519262982,0.616302187,0.466666667,0.563636364,0.515151515,0.510303218,0.519418699,0.519798048,0.5,0.52
39,131,213,375,281,0.431174089,0.428353659,0.258893281,0.428353659,0.568825911,0.308235294,0.488695652,0.398465473,0.38375149,0.413859596,0.409221701,0.5,0.412
40,244,229,249,278,0.451676529,0.527514231,0.494929006,0.527514231,0.548323471,0.505175983,0.537717602,0.521446792,0.520942598,0.521626239,0.521655736,0.5,0.522
