Day,TP,FP,FN,TN,FA,TP_Precision,TP_Recall,TN_Precision,TN_Recall,F1_pos,F1_neg,F1_Avg,Geometric_mean,Balanced_Accuracy,Y_score,AUC,Accuracy
1,492,508,0,0,1,0,1,0,0,0.659517426,0,0.329758713,0,0.5,0.373,0.5,0.492
2,472,76,48,404,0.158333333,0.89380531,0.907692308,0.89380531,0.841666667,0.883895131,0.86695279,0.87542396,0.874056268,0.874679487,0.876119538,0.93469351,0.876
3,480,71,45,404,0.149473684,0.899777283,0.914285714,0.899777283,0.850526316,0.892193309,0.874458874,0.883326092,0.88182995,0.882406015,0.883933172,0.946656642,0.884
4,463,83,58,396,0.173277662,0.872246696,0.888675624,0.872246696,0.826722338,0.867853796,0.848874598,0.858364197,0.857139423,0.857698981,0.858907502,0.940817602,0.859
5,455,82,51,412,0.165991903,0.889848812,0.899209486,0.889848812,0.834008097,0.872483221,0.861024033,0.866753627,0.865995377,0.866608792,0.867591552,0.939671313,0.867
6,457,87,41,415,0.173306773,0.910087719,0.917670683,0.910087719,0.826693227,0.877159309,0.866388309,0.871773809,0.870994913,0.872181955,0.87363129,0.943209091,0.872
7,469,71,23,437,0.13976378,0.95,0.953252033,0.95,0.86023622,0.908914729,0.902892562,0.905903645,0.90555062,0.906744126,0.908001693,0.960421868,0.906
8,412,74,54,460,0.138576779,0.894941634,0.884120172,0.894941634,0.861423221,0.865546218,0.877862595,0.871704407,0.872697912,0.872771696,0.872055413,0.9345373,0.872
9,470,87,29,414,0.173652695,0.934537246,0.941883768,0.934537246,0.826347305,0.890151515,0.877118644,0.88363508,0.882226226,0.884115536,0.886643606,0.956225825,0.884
10,438,94,43,425,0.181117534,0.908119658,0.910602911,0.908119658,0.818882466,0.864758144,0.861195542,0.862976843,0.863525771,0.864742688,0.865228326,0.929554276,0.863
11,468,464,32,36,0.928,0.529411765,0.936,0.529411765,0.072,0.653631285,0.126760563,0.390195924,0.259599692,0.504,0.509889422,0.490848,0.504
12,285,169,209,337,0.333992095,0.617216117,0.576923077,0.617216117,0.666007905,0.601265823,0.640684411,0.620975117,0.619867187,0.621465491,0.621975101,0.669392393,0.622
13,489,179,7,325,0.35515873,0.978915663,0.985887097,0.978915663,0.64484127,0.840206186,0.777511962,0.808859074,0.797333486,0.815364183,0.835419989,0.904273874,0.814
14,340,196,169,295,0.399185336,0.635775862,0.667976424,0.635775862,0.600814664,0.650717703,0.617801047,0.634259375,0.633506141,0.634395544,0.634723827,0.688883198,0.635
15,381,20,116,483,0.039761431,0.806343907,0.766599598,0.806343907,0.960238569,0.848552339,0.876588022,0.86257018,0.857973485,0.863419083,0.87082669,0.920965155,0.864
16,250,40,274,436,0.084033613,0.614084507,0.477099237,0.614084507,0.915966387,0.614250614,0.735244519,0.674747567,0.661064947,0.696532812,0.717304774,0.760454086,0.686
17,388,148,91,373,0.284069098,0.80387931,0.810020877,0.80387931,0.715930902,0.76453202,0.757360406,0.760946213,0.761524115,0.762975889,0.763427922,0.842788679,0.761
18,278,246,215,261,0.485207101,0.548319328,0.563894523,0.548319328,0.514792899,0.546705998,0.531027467,0.538866732,0.538784648,0.539343711,0.539385275,0.547381287,0.539
19,440,206,67,287,0.417849899,0.810734463,0.867850099,0.810734463,0.582150101,0.763226366,0.67768595,0.720456158,0.710787607,0.7250001,0.735462304,0.823463399,0.727
20,298,315,203,184,0.631262525,0.475452196,0.594810379,0.475452196,0.368737475,0.535008977,0.415349887,0.475179432,0.46832561,0.481773927,0.481283455,0.461129845,0.482
21,114,424,374,88,0.828125,0.19047619,0.233606557,0.19047619,0.171875,0.222222222,0.180698152,0.201460187,0.200377461,0.202740779,0.201963415,0.130269035,0.202
22,341,152,181,326,0.317991632,0.642998028,0.653256705,0.642998028,0.682008368,0.671921182,0.661928934,0.666925058,0.667477744,0.667632537,0.667486668,0.731714599,0.667
23,460,133,28,379,0.259765625,0.931203931,0.942622951,0.931203931,0.740234375,0.85106383,0.824809576,0.837936703,0.835321442,0.841428663,0.847444488,0.939553183,0.839
24,312,272,189,227,0.54509018,0.545673077,0.622754491,0.545673077,0.45490982,0.575115207,0.496174863,0.535645035,0.532256642,0.538832155,0.539395991,0.572264289,0.539
25,481,214,21,284,0.429718876,0.931147541,0.958167331,0.931147541,0.570281124,0.803675856,0.707347447,0.755511652,0.739205481,0.764224228,0.787920582,0.886528184,0.765
26,303,133,192,372,0.263366337,0.659574468,0.612121212,0.659574468,0.736633663,0.650912997,0.695977549,0.673445273,0.671497648,0.674377438,0.675820868,0.681082108,0.675
27,490,6,18,486,0.012195122,0.964285714,0.964566929,0.964285714,0.987804878,0.976095618,0.975903614,0.975999616,0.976116754,0.976185904,0.976140187,0.996787178,0.976
28,328,193,173,306,0.386773547,0.638830898,0.654690619,0.638830898,0.613226453,0.641878669,0.625766871,0.63382277,0.633619449,0.633958536,0.634076628,0.684704739,0.634
29,454,66,46,434,0.132,0.904166667,0.908,0.904166667,0.868,0.890196078,0.885714286,0.887955182,0.887774746,0.888,0.888310897,0.951098,0.888
30,241,272,254,233,0.538613861,0.478439425,0.486868687,0.478439425,0.461386139,0.478174603,0.469758065,0.473966334,0.473956183,0.474127413,0.474119956,0.534611461,0.474
31,235,305,263,197,0.607569721,0.42826087,0.47188755,0.42826087,0.392430279,0.452793834,0.40956341,0.431178622,0.430328901,0.432158915,0.431940971,0.409342549,0.432
32,306,357,221,116,0.754756871,0.34421365,0.580645161,0.34421365,0.245243129,0.514285714,0.286419753,0.400352734,0.377358233,0.412944145,0.4079101,0.395360872,0.422
33,434,40,42,484,0.076335878,0.920152091,0.911764706,0.920152091,0.923664122,0.913684211,0.921904762,0.917794486,0.917695127,0.917714414,0.917798183,0.969838508,0.918
34,385,273,120,222,0.551515152,0.649122807,0.762376238,0.649122807,0.448484848,0.662080825,0.53046595,0.596273388,0.584734291,0.605430543,0.611272569,0.630757076,0.607
35,440,44,60,456,0.088,0.88372093,0.88,0.88372093,0.912,0.894308943,0.897637795,0.895973369,0.895857131,0.896,0.89620296,0.957142,0.896
36,441,45,47,467,0.087890625,0.908560311,0.903688525,0.908560311,0.912109375,0.905544148,0.910331384,0.907937766,0.907889187,0.90789895,0.907941405,0.964061299,0.908
37,492,17,18,473,0.034693878,0.963340122,0.964705882,0.963340122,0.965306122,0.965652601,0.96432212,0.96498736,0.965005956,0.965006002,0.964988326,0.994543818,0.965
38,302,233,195,270,0.463220676,0.580645161,0.607645875,0.580645161,0.536779324,0.585271318,0.55785124,0.571561279,0.571114474,0.5722126,0.572389085,0.629100648,0.572
39,414,97,92,397,0.196356275,0.811860941,0.818181818,0.811860941,0.803643725,0.814159292,0.807731434,0.810945363,0.810880191,0.810912771,0.810965652,0.88833592,0.811
40,301,95,192,412,0.187376726,0.682119205,0.610547667,0.682119205,0.812623274,0.677165354,0.741674167,0.709419761,0.704375784,0.711585471,0.716347789,0.78627611,0.713
41,353,350,149,148,0.702811245,0.498316498,0.703187251,0.498316498,0.297188755,0.585892116,0.372327044,0.47910958,0.457142586,0.500188003,0.500206554,0.45375326,0.501
42,262,193,231,314,0.380670611,0.576146789,0.531440162,0.576146789,0.619329389,0.552742616,0.596958175,0.574850395,0.573704201,0.575384775,0.575685129,0.613154178,0.576
43,362,84,143,411,0.16969697,0.741877256,0.716831683,0.741877256,0.83030303,0.761303891,0.783603432,0.772453661,0.771483972,0.773567357,0.775167791,0.850451045,0.773
44,192,95,313,400,0.191919192,0.561009818,0.38019802,0.561009818,0.808080808,0.484848485,0.662251656,0.57355007,0.554283973,0.594139414,0.604569548,0.618239824,0.592
45,310,111,182,397,0.218503937,0.68566494,0.630081301,0.68566494,0.781496063,0.679079956,0.730450782,0.704765369,0.701716507,0.705788682,0.708396087,0.768684783,0.707
46,144,160,370,326,0.329218107,0.468390805,0.280155642,0.468390805,0.670781893,0.35207824,0.551607445,0.451842842,0.433501248,0.475468768,0.473253138,0.464338041,0.47
47,427,113,63,397,0.221568627,0.863043478,0.871428571,0.863043478,0.778431373,0.829126214,0.818556701,0.823841457,0.823618443,0.824929972,0.825911041,0.912991196,0.824
48,125,320,396,159,0.668058455,0.286486486,0.239923225,0.286486486,0.331941545,0.258799172,0.30754352,0.283171346,0.28220646,0.285932385,0.284812533,0.223973089,0.284
49,422,60,56,462,0.114942529,0.891891892,0.882845188,0.891891892,0.885057471,0.879166667,0.888461538,0.883814103,0.883950638,0.88395133,0.883828306,0.94332628,0.884
50,216,323,284,177,0.646,0.383947939,0.432,0.383947939,0.354,0.415784408,0.368366285,0.392075347,0.391060098,0.393,0.392672514,0.36527,0.393
51,202,308,296,194,0.613545817,0.395918367,0.40562249,0.395918367,0.386454183,0.400793651,0.391129032,0.395961342,0.395922351,0.396038337,0.396018368,0.354077665,0.396
52,458,434,32,76,0.850980392,0.703703704,0.934693878,0.703703704,0.149019608,0.662807525,0.245954693,0.454381109,0.373212694,0.541856743,0.575217526,0.633365346,0.534
53,431,37,77,455,0.075203252,0.855263158,0.848425197,0.855263158,0.924796748,0.883196721,0.888671875,0.885934298,0.885788272,0.886610972,0.887356318,0.958441361,0.886
54,147,321,334,198,0.61849711,0.372180451,0.305613306,0.372180451,0.38150289,0.309799789,0.376784015,0.343291902,0.341456233,0.343558098,0.343349803,0.307449958,0.345
