Day,TP,FP,FN,TN,FA,TP_Precision,TP_Recall,TN_Precision,TN_Recall,F1_pos,F1_neg,F1_Avg,Geometric_mean,Balanced_Accuracy,Y_score,AUC,Accuracy
1,0,0,492,508,0,0.508,0,0.508,1,0,0.673740053,0.336870027,0,0.5,0.377,0.5,0.508
2,520,2,0,478,0.004166667,1,1,1,0.995833333,0.998080614,0.997912317,0.997996466,0.997914492,0.997916667,0.998000479,0.997916667,0.998
3,525,0,0,475,0,1,1,1,1,1,1,1,1,1,1,1,1
4,521,0,0,479,0,1,1,1,1,1,1,1,1,1,1,1,1
5,506,1,0,493,0.002024291,1,1,1,0.997975709,0.999012833,0.998986829,0.998999831,0.998987342,0.998987854,0.99900083,1,0.999
6,498,0,0,502,0,1,1,1,1,1,1,1,1,1,1,1,1
7,490,0,2,508,0,0.996078431,0.995934959,0.996078431,1,0.99796334,0.998035363,0.997999352,0.99796541,0.99796748,0.998003348,0.999997999,0.998
8,466,2,0,532,0.003745318,1,1,1,0.996254682,0.997858672,0.998123827,0.99799125,0.998125584,0.998127341,0.997995294,1,0.998
9,496,2,3,499,0.003992016,0.994023904,0.993987976,0.994023904,0.996007984,0.994984955,0.995014955,0.994999955,0.994997467,0.99499798,0.99500095,0.999976,0.995
10,481,1,0,518,0.001926782,1,1,1,0.998073218,0.998961578,0.99903568,0.998998629,0.999036144,0.999036609,0.998999632,1,0.999
11,382,268,118,232,0.536,0.662857143,0.764,0.662857143,0.464,0.664347826,0.545882353,0.60511509,0.595395667,0.614,0.619637363,0.594354,0.614
12,452,259,42,247,0.511857708,0.85467128,0.914979757,0.85467128,0.488142292,0.750207469,0.621383648,0.685795558,0.668311541,0.701561025,0.723379415,0.619487206,0.699
13,488,39,8,465,0.077380952,0.983086681,0.983870968,0.983086681,0.922619048,0.954056696,0.951893552,0.952975124,0.952752904,0.953245008,0.953893225,0.952454957,0.953
