Day,TP,FP,FN,TN,FA,TP_Precision,TP_Recall,TN_Precision,TN_Recall,F1_pos,F1_neg,F1_Avg,Geometric_mean,Balanced_Accuracy,Y_score,AUC,Accuracy
1,0,0,492,508,0,0.508,0,0.508,1,0,0.673740053,0.336870027,0,0.5,0.377,0.5,0.508
2,455,81,65,399,0.16875,0.859913793,0.875,0.859913793,0.83125,0.861742424,0.845338983,0.853540704,0.852844505,0.853125,0.853761098,0.932055288,0.854
3,434,74,91,401,0.155789474,0.81504065,0.826666667,0.81504065,0.844210526,0.840271055,0.829369183,0.834820119,0.835392544,0.835438596,0.835062138,0.919969925,0.835
4,447,78,74,401,0.162839248,0.844210526,0.857965451,0.844210526,0.837160752,0.854684512,0.84067086,0.847677686,0.847499264,0.847563101,0.847691325,0.923326748,0.848
5,418,95,88,399,0.192307692,0.819301848,0.826086957,0.819301848,0.807692308,0.820412169,0.813455657,0.816933913,0.816837854,0.816889632,0.816973982,0.909088909,0.817
6,424,85,74,417,0.169322709,0.849287169,0.851405622,0.849287169,0.830677291,0.842105263,0.839879154,0.840992209,0.840977595,0.841041457,0.841093994,0.917146674,0.841
7,446,96,46,412,0.188976378,0.899563319,0.906504065,0.899563319,0.811023622,0.862669246,0.85300207,0.857835658,0.857435834,0.858763844,0.859992309,0.939150423,0.858
8,381,88,85,446,0.164794007,0.83992467,0.817596567,0.83992467,0.835205993,0.814973262,0.837558685,0.826265974,0.826354374,0.82640128,0.826273492,0.909027342,0.827
9,414,87,85,414,0.173652695,0.829659319,0.829659319,0.829659319,0.826347305,0.828,0.828,0.828,0.828001656,0.828003312,0.828003312,0.932771731,0.828
10,421,93,60,426,0.179190751,0.87654321,0.875259875,0.87654321,0.820809249,0.846231156,0.847761194,0.846996175,0.847597428,0.848034562,0.84791962,0.915333742,0.847
11,430,419,70,81,0.838,0.536423841,0.86,0.536423841,0.162,0.637509266,0.248847926,0.443178596,0.373255944,0.511,0.516225513,0.494548,0.511
12,293,178,201,328,0.351778656,0.620037807,0.593117409,0.620037807,0.648221344,0.607253886,0.633816425,0.620535156,0.620057549,0.620669376,0.62086431,0.66145725,0.621
13,435,126,61,378,0.25,0.861047836,0.877016129,0.861047836,0.75,0.823084201,0.801696713,0.812390457,0.811025337,0.813508065,0.815866259,0.878816244,0.813
14,252,112,257,379,0.228105906,0.59591195,0.495088409,0.59591195,0.771894094,0.577319588,0.672582076,0.624950832,0.618187527,0.633491251,0.638800536,0.669194819,0.631
15,388,58,109,445,0.115308151,0.803249097,0.780684105,0.803249097,0.884691849,0.82290562,0.842005676,0.832455648,0.831062491,0.832687977,0.834645052,0.909198731,0.833
