Day,TP,FP,FN,TN,FA,TP_Precision,TP_Recall,TN_Precision,TN_Recall,F1_pos,F1_neg,F1_Avg,Geometric_mean,Balanced_Accuracy,Y_score,AUC,Accuracy
1,492,0,0,508,0,1,1,1,1,1,1,1,1,1,1,0.5,1
2,439,279,81,201,0.58125,0.712765957,0.844230769,0.712765957,0.41875,0.709208401,0.527559055,0.618383728,0.594576853,0.631490385,0.646791835,0.5,0.64
3,340,239,185,236,0.503157895,0.560570071,0.647619048,0.560570071,0.496842105,0.615942029,0.526785714,0.571363872,0.567242815,0.572230576,0.573062642,0.5,0.576
4,339,176,182,303,0.36743215,0.624742268,0.650671785,0.624742268,0.63256785,0.654440154,0.628630705,0.64153543,0.641555962,0.641619817,0.641558582,0.5,0.642
5,396,88,110,406,0.178137652,0.786821705,0.782608696,0.786821705,0.821862348,0.8,0.803960396,0.801980198,0.801995399,0.802235522,0.802368642,0.5,0.802
6,416,311,82,191,0.619521912,0.6996337,0.835341365,0.6996337,0.380478088,0.679183673,0.492903226,0.58604345,0.563763324,0.607909727,0.621916933,0.5,0.607
7,426,225,66,283,0.442913386,0.810888252,0.865853659,0.810888252,0.557086614,0.745406824,0.660443407,0.702925116,0.694518166,0.711470136,0.722051601,0.5,0.709
8,382,120,84,414,0.224719101,0.831325301,0.819742489,0.831325301,0.775280899,0.789256198,0.802325581,0.79579089,0.79720179,0.797511694,0.796826216,0.5,0.796
9,457,151,42,350,0.301397206,0.892857143,0.915831663,0.892857143,0.698602794,0.825654923,0.78387458,0.804764752,0.79987659,0.807217229,0.814734084,0.5,0.807
10,450,255,31,264,0.49132948,0.894915254,0.935550936,0.894915254,0.50867052,0.758853288,0.648648649,0.703750969,0.689845766,0.722110728,0.744358646,0.5,0.714
11,432,420,68,80,0.84,0.540540541,0.864,0.540540541,0.16,0.639053254,0.24691358,0.442983417,0.371806401,0.512,0.517895699,0.5,0.512
12,454,420,40,86,0.830039526,0.682539683,0.91902834,0.682539683,0.169960474,0.66374269,0.272151899,0.467947294,0.39521955,0.544494407,0.572744824,0.5,0.54
13,233,161,263,343,0.319444444,0.566006601,0.469758065,0.566006601,0.680555556,0.523595506,0.618018018,0.570806762,0.565417068,0.57515681,0.576922695,0.5,0.576
14,401,267,108,224,0.543788187,0.674698795,0.787819253,0.674698795,0.456211813,0.681393373,0.544349939,0.612871656,0.599510175,0.622015533,0.629757316,0.5,0.625
15,289,57,208,446,0.11332008,0.681957187,0.581488934,0.681957187,0.88667992,0.685646501,0.770959378,0.728302939,0.718049136,0.734084427,0.746346539,0.5,0.735
16,224,70,300,406,0.147058824,0.575070822,0.427480916,0.575070822,0.852941176,0.547677262,0.686971235,0.617324248,0.603834477,0.640211046,0.654349419,0.5,0.63
17,85,55,394,466,0.105566219,0.541860465,0.177453027,0.541860465,0.894433781,0.274636511,0.67487328,0.474754895,0.398396765,0.535943404,0.555222533,0.5,0.551
18,412,435,81,72,0.857988166,0.470588235,0.835699797,0.470588235,0.142011834,0.614925373,0.218181818,0.416553596,0.344498565,0.488855816,0.483680634,0.5,0.484
19,458,364,49,129,0.738336714,0.724719101,0.903353057,0.724719101,0.261663286,0.68924003,0.384500745,0.536870388,0.486183432,0.582508172,0.611728265,0.5,0.587
20,426,405,75,94,0.811623246,0.556213018,0.850299401,0.556213018,0.188376754,0.63963964,0.281437126,0.460538383,0.40022074,0.519338077,0.526881138,0.5,0.52
21,51,61,437,451,0.119140625,0.507882883,0.104508197,0.507882883,0.880859375,0.17,0.644285714,0.407142857,0.303409006,0.492683786,0.487151899,0.5,0.502
22,263,124,259,354,0.259414226,0.577487765,0.503831418,0.577487765,0.740585774,0.578657866,0.648945921,0.613801893,0.61084399,0.622208596,0.62537288,0.5,0.617
23,484,315,4,197,0.615234375,0.980099502,0.991803279,0.980099502,0.384765625,0.752136752,0.55259467,0.652365711,0.617747366,0.688284452,0.740606401,0.5,0.681
24,329,286,172,213,0.573146293,0.553246753,0.656686627,0.553246753,0.426853707,0.589605735,0.481900452,0.535753094,0.529442274,0.541770167,0.542936609,0.5,0.542
25,89,141,413,357,0.28313253,0.463636364,0.177290837,0.463636364,0.71686747,0.243169399,0.563091483,0.403130441,0.356502501,0.447079153,0.436187798,0.5,0.446
26,474,479,21,26,0.948514851,0.553191489,0.957575758,0.553191489,0.051485149,0.654696133,0.094202899,0.374449516,0.222038128,0.504530453,0.514907275,0.5,0.5
27,497,324,11,168,0.658536585,0.938547486,0.978346457,0.938547486,0.341463415,0.747930775,0.500745156,0.624337966,0.577987475,0.659904936,0.715929169,0.5,0.665
28,276,229,225,270,0.458917836,0.545454545,0.550898204,0.545454545,0.541082164,0.548707753,0.543259557,0.545983655,0.545968124,0.545990184,0.545992392,0.5,0.546
29,280,30,220,470,0.06,0.68115942,0.56,0.68115942,0.94,0.691358025,0.789915966,0.740636996,0.725534286,0.75,0.771096307,0.5,0.75
30,202,188,293,317,0.372277228,0.519672131,0.408080808,0.519672131,0.627722772,0.456497175,0.568609865,0.51255352,0.506124111,0.51790179,0.518356107,0.5,0.519
31,183,286,315,216,0.569721116,0.406779661,0.36746988,0.406779661,0.430278884,0.378490176,0.418199419,0.398344797,0.397636178,0.398874382,0.398680081,0.5,0.399
32,210,267,317,206,0.56448203,0.393881453,0.398481973,0.393881453,0.43551797,0.418326693,0.413654618,0.415990656,0.416588598,0.416999972,0.417033242,0.5,0.416
33,290,124,186,400,0.236641221,0.682593857,0.609243697,0.682593857,0.763358779,0.651685393,0.720720721,0.686203057,0.681961527,0.686301238,0.688919856,0.5,0.69
34,294,311,211,184,0.628282828,0.465822785,0.582178218,0.465822785,0.371717172,0.52972973,0.413483146,0.471606438,0.465194197,0.476947695,0.476417147,0.5,0.478
35,473,435,27,65,0.87,0.706521739,0.946,0.706521739,0.13,0.671875,0.219594595,0.445734797,0.350685044,0.538,0.575861712,0.5,0.538
36,308,112,180,400,0.21875,0.689655172,0.631147541,0.689655172,0.78125,0.678414097,0.732600733,0.705507415,0.702199414,0.70619877,0.708846512,0.5,0.708
37,395,90,115,400,0.183673469,0.776699029,0.774509804,0.776699029,0.816326531,0.793969849,0.7960199,0.794994875,0.795143321,0.795418167,0.795492088,0.5,0.795
38,430,438,67,65,0.870775348,0.492424242,0.865191147,0.492424242,0.129224652,0.63003663,0.204724409,0.41738052,0.334371089,0.497207899,0.495557937,0.5,0.495
39,457,403,49,91,0.815789474,0.65,0.903162055,0.65,0.184210526,0.669106881,0.287066246,0.478086564,0.407887187,0.543686291,0.567191983,0.5,0.548
40,109,112,384,395,0.220907298,0.507060334,0.221095335,0.507060334,0.779092702,0.305322129,0.614307932,0.45981503,0.415034651,0.500094018,0.50011526,0.5,0.504
41,446,482,56,16,0.967871486,0.222222222,0.888446215,0.222222222,0.032128514,0.623776224,0.056140351,0.339958287,0.168951048,0.460287365,0.4058501,0.5,0.462
42,147,227,346,280,0.447731755,0.447284345,0.298174442,0.447284345,0.552268245,0.339100346,0.494263019,0.416681682,0.405798319,0.425221343,0.42269379,0.5,0.427
43,257,148,248,347,0.298989899,0.583193277,0.508910891,0.583193277,0.701010101,0.564835165,0.636697248,0.600766206,0.597286929,0.604960496,0.606920543,0.5,0.604
44,141,180,364,315,0.363636364,0.463917526,0.279207921,0.463917526,0.636363636,0.341404358,0.536626917,0.439015637,0.421518407,0.457785779,0.454685355,0.5,0.456
45,393,281,99,227,0.553149606,0.696319018,0.798780488,0.696319018,0.446850394,0.674099485,0.544364508,0.609231997,0.597440688,0.622815441,0.631258988,0.5,0.62
46,231,354,283,132,0.728395062,0.318072289,0.449416342,0.318072289,0.271604938,0.420382166,0.293007769,0.356694967,0.349376155,0.36051064,0.358491341,0.5,0.363
47,291,131,199,379,0.256862745,0.655709343,0.593877551,0.655709343,0.743137255,0.638157895,0.696691176,0.667424536,0.664328633,0.668507403,0.670574402,0.5,0.67
48,284,182,237,297,0.379958246,0.556179775,0.545105566,0.556179775,0.620041754,0.575481256,0.586377098,0.580929177,0.581367535,0.58257366,0.582692289,0.5,0.581
49,298,139,180,383,0.266283525,0.680284192,0.623430962,0.680284192,0.733716475,0.65136612,0.705990783,0.678678452,0.676329482,0.678573719,0.679838457,0.5,0.681
50,314,338,186,162,0.676,0.465517241,0.628,0.465517241,0.324,0.545138889,0.382075472,0.46360718,0.451078707,0.476,0.474778083,0.5,0.476
51,254,352,244,150,0.701195219,0.38071066,0.510040161,0.38071066,0.298804781,0.460144928,0.334821429,0.397483178,0.390387549,0.404422471,0.402174379,0.5,0.404
52,476,374,14,136,0.733333333,0.906666667,0.971428571,0.906666667,0.266666667,0.710447761,0.412121212,0.561284487,0.508967208,0.619047619,0.676190476,0.5,0.612
53,123,73,385,419,0.148373984,0.521144279,0.242125984,0.521144279,0.851626016,0.349431818,0.646604938,0.498018378,0.454093369,0.546876,0.560611825,0.5,0.542
