Day,TP,FP,FN,TN,FA,TP_Precision,TP_Recall,TN_Precision,TN_Recall,F1_pos,F1_neg,F1_Avg,Geometric_mean,Balanced_Accuracy,Y_score,AUC,Accuracy
1,0,0,492,508,0,0.508,0,0.508,1,0,0.673740053,0.336870027,0,0.5,0.377,0.5,0.508
2,465,87,55,393,0.18125,0.877232143,0.894230769,0.877232143,0.81875,0.867537313,0.846982759,0.857260036,0.855658485,0.856490385,0.858151054,0.5,0.858
3,426,37,99,438,0.077894737,0.815642458,0.811428571,0.815642458,0.922105263,0.862348178,0.865612648,0.863980413,0.864998588,0.866766917,0.867315671,0.5,0.864
4,455,62,66,417,0.129436326,0.863354037,0.873320537,0.863354037,0.870563674,0.876685934,0.866943867,0.871814901,0.871941016,0.871942106,0.871828905,0.5,0.872
5,417,35,89,459,0.070850202,0.837591241,0.824110672,0.837591241,0.929149798,0.870563674,0.880998081,0.875780877,0.875055578,0.876630235,0.878354521,0.5,0.876
6,423,54,75,448,0.107569721,0.856596558,0.84939759,0.856596558,0.892430279,0.867692308,0.874146341,0.870919325,0.870648108,0.870913935,0.87130422,0.5,0.871
7,456,86,36,422,0.169291339,0.92139738,0.926829268,0.92139738,0.830708661,0.882011605,0.873706004,0.877858805,0.87745376,0.878768965,0.880065931,0.5,0.878
8,420,93,46,441,0.174157303,0.905544148,0.901287554,0.905544148,0.825842697,0.858018386,0.863858962,0.860938674,0.862740832,0.863565125,0.862846962,0.5,0.861
9,455,64,44,437,0.127744511,0.908523909,0.911823647,0.908523909,0.872255489,0.893909627,0.890020367,0.891964997,0.891820151,0.892039568,0.892322245,0.5,0.892
10,430,75,51,444,0.144508671,0.896969697,0.893970894,0.896969697,0.855491329,0.872210953,0.875739645,0.873975299,0.874519496,0.874731112,0.874479267,0.5,0.874
11,461,457,39,43,0.914,0.524390244,0.922,0.524390244,0.086,0.650211566,0.147766323,0.398988944,0.281588352,0.504,0.508642223,0.5,0.504
12,318,182,176,324,0.359683794,0.648,0.643724696,0.648,0.640316206,0.639839034,0.644135189,0.641987112,0.642018189,0.642020451,0.642010225,0.5,0.642
13,488,181,8,323,0.359126984,0.975830816,0.983870968,0.975830816,0.640873016,0.83776824,0.773652695,0.805710467,0.794063193,0.812371992,0.832505434,0.5,0.811
14,338,151,171,340,0.307535642,0.665362035,0.664047151,0.665362035,0.692464358,0.677354709,0.678642715,0.677998712,0.678106912,0.678255755,0.678270022,0.5,0.678
15,451,149,46,354,0.296222664,0.885,0.907444668,0.885,0.703777336,0.822242479,0.784053156,0.803147818,0.799148917,0.805611002,0.811972168,0.5,0.805
16,223,53,301,423,0.111344538,0.584254144,0.425572519,0.584254144,0.888655462,0.5575,0.705,0.63125,0.614969384,0.657113991,0.676613285,0.5,0.646
