Day,TP,FP,FN,TN,FA,TP_Precision,TP_Recall,TN_Precision,TN_Recall,F1_pos,F1_neg,F1_Avg,Geometric_mean,Balanced_Accuracy,Y_score,AUC,Accuracy
1,0,0,492,508,0,0.508,0,0.508,1,0,0.673740053,0.336870027,0,0.5,0.377,0.5,0.508
2,517,0,3,480,0,0.99378882,0.994230769,0.99378882,1,0.99710704,0.996884735,0.996995887,0.997111212,0.997115385,0.997004897,0.999995994,0.997
3,525,1,0,474,0.002105263,1,1,1,0.997894737,0.999048525,0.998946259,0.998997392,0.998946814,0.998947368,0.998998399,0.99998396,0.999
4,519,4,2,475,0.008350731,0.995807128,0.996161228,0.995807128,0.991649269,0.994252874,0.993723849,0.993988361,0.993902689,0.993905249,0.993992361,0.999915852,0.994
5,504,0,2,494,0,0.995967742,0.996047431,0.995967742,1,0.998019802,0.997979798,0.9979998,0.998021759,0.998023715,0.998003793,0.999979997,0.998
6,498,0,0,502,0,1,1,1,1,1,1,1,1,1,1,1,1
7,492,2,0,506,0.003937008,1,1,1,0.996062992,0.997971602,0.998027613,0.997999608,0.998029555,0.998031496,0.998003602,0.999943986,0.998
8,465,0,1,534,0,0.998130841,0.997854077,0.998130841,1,0.998925886,0.999064546,0.998995216,0.998926462,0.998927039,0.99899623,1,0.999
9,498,0,1,501,0,0.998007968,0.997995992,0.998007968,1,0.998996991,0.999002991,0.998999991,0.998997493,0.998997996,0.99900099,1,0.999
10,480,1,1,518,0.001926782,0.998073218,0.997920998,0.998073218,0.998073218,0.997920998,0.998073218,0.997997108,0.997997105,0.997997108,0.997997108,0.998884389,0.998
11,1,0,499,500,0,0.500500501,0.002,0.500500501,1,0.003992016,0.667111408,0.335551712,0.04472136,0.501,0.625625125,0.496984,0.501
12,469,226,25,280,0.446640316,0.918032787,0.949392713,0.918032787,0.553359684,0.788898234,0.690505549,0.739701891,0.724814218,0.751376198,0.773901332,0.857763518,0.749
13,492,16,4,488,0.031746032,0.991869919,0.991935484,0.991869919,0.968253968,0.980079681,0.979919679,0.97999968,0.980023198,0.980094726,0.980140827,0.998051875,0.98
14,121,1,388,490,0.00203666,0.55808656,0.237721022,0.55808656,0.99796334,0.383518225,0.715850986,0.549684606,0.487069671,0.617842181,0.69639355,0.680830589,0.611
15,438,0,59,503,0,0.895017794,0.881287726,0.895017794,1,0.936898396,0.944600939,0.940749667,0.938769262,0.940643863,0.94407638,0.995959855,0.941
16,407,202,117,274,0.424369748,0.700767263,0.776717557,0.700767263,0.575630252,0.718446602,0.632064591,0.675255596,0.668656955,0.676173905,0.680355944,0.762071813,0.681
17,441,102,38,419,0.195777351,0.916849015,0.920668058,0.916849015,0.804222649,0.863013699,0.856850716,0.859932207,0.860477835,0.862445354,0.863473605,0.948969983,0.86
18,290,241,203,266,0.475345168,0.567164179,0.588235294,0.567164179,0.524654832,0.56640625,0.545081967,0.555744109,0.555536218,0.556445063,0.556548416,0.604220427,0.556
19,439,137,68,356,0.277890467,0.839622642,0.865877712,0.839622642,0.722109533,0.810710988,0.776444929,0.793577959,0.79073292,0.793993623,0.797440666,0.866165768,0.795
20,309,254,192,245,0.509018036,0.560640732,0.616766467,0.560640732,0.490981964,0.580827068,0.523504274,0.552165671,0.550291933,0.553874215,0.554308658,0.578992316,0.554
21,442,380,46,132,0.7421875,0.741573034,0.905737705,0.741573034,0.2578125,0.67480916,0.382608696,0.528708928,0.483229244,0.581775102,0.610709034,0.605862977,0.574
22,303,101,219,377,0.211297071,0.632550336,0.58045977,0.632550336,0.788702929,0.654427646,0.702048417,0.678238031,0.67661682,0.684581349,0.687928259,0.772128841,0.68
23,464,56,24,456,0.109375,0.95,0.950819672,0.95,0.890625,0.920634921,0.919354839,0.91999488,0.920230281,0.920722336,0.920938091,0.973973008,0.92
24,174,123,327,376,0.246492986,0.53485064,0.347305389,0.53485064,0.753507014,0.436090226,0.62562396,0.530857093,0.511563336,0.550406202,0.555380407,0.564528258,0.55
25,424,63,78,435,0.126506024,0.847953216,0.844621514,0.847953216,0.873493976,0.857431749,0.860534125,0.858982937,0.858936438,0.859057745,0.859176314,0.934952959,0.859
26,306,111,189,394,0.21980198,0.675814751,0.618181818,0.675814751,0.78019802,0.671052632,0.724264706,0.697658669,0.694481267,0.699189919,0.702001885,0.802652265,0.7
27,486,2,22,490,0.004065041,0.95703125,0.956692913,0.95703125,0.995934959,0.975903614,0.976095618,0.975999616,0.976116754,0.976313936,0.976390191,0.997375328,0.976
28,272,192,229,307,0.384769539,0.572761194,0.542914172,0.572761194,0.615230461,0.56373057,0.593236715,0.578483642,0.577942329,0.579072316,0.579278181,0.695958784,0.579
29,483,38,17,462,0.076,0.964509395,0.966,0.964509395,0.924,0.946131244,0.943820225,0.944975734,0.944766638,0.945,0.945393184,0.981346,0.945
30,211,149,284,356,0.295049505,0.55625,0.426262626,0.55625,0.704950495,0.493567251,0.621834061,0.557700656,0.548173375,0.565606561,0.568393558,0.599761976,0.567
31,115,136,383,366,0.270916335,0.488651535,0.230923695,0.488651535,0.729083665,0.307076101,0.585131894,0.446103998,0.410320233,0.48000368,0.476706557,0.516334261,0.481
32,332,269,195,204,0.568710359,0.511278195,0.629981025,0.511278195,0.431289641,0.588652482,0.467889908,0.528271195,0.521252616,0.530635333,0.531240377,0.56641968,0.536
33,456,23,20,501,0.04389313,0.961612284,0.957983193,0.961612284,0.95610687,0.954973822,0.958851675,0.956912748,0.957044572,0.957045032,0.956921412,0.98835517,0.957
34,361,153,144,342,0.309090909,0.703703704,0.714851485,0.703703704,0.690909091,0.708537782,0.697247706,0.702892744,0.702778336,0.702880288,0.702949728,0.76240024,0.703
35,473,38,27,462,0.076,0.944785276,0.946,0.944785276,0.924,0.935707221,0.934277048,0.934992134,0.934935292,0.935,0.935105321,0.986108,0.935
36,364,112,124,400,0.21875,0.763358779,0.745901639,0.763358779,0.78125,0.755186722,0.772200772,0.763693747,0.763371244,0.76357582,0.763804075,0.842369205,0.764
37,471,22,39,468,0.044897959,0.923076923,0.923529412,0.923076923,0.955102041,0.939182453,0.938816449,0.938999451,0.939183063,0.939315726,0.939270907,0.987511004,0.939
38,231,161,266,342,0.320079523,0.5625,0.464788732,0.5625,0.679920477,0.519685039,0.615661566,0.567673303,0.562156007,0.572354605,0.574123731,0.60582581,0.573
39,450,70,56,424,0.141700405,0.883333333,0.889328063,0.883333333,0.858299595,0.877192982,0.87063655,0.873914766,0.873676094,0.873813829,0.874086402,0.923997056,0.874
