Day,TP,FP,FN,TN,FA,TP_Precision,TP_Recall,TN_Precision,TN_Recall,F1_pos,F1_neg,F1_Avg,Geometric_mean,Balanced_Accuracy,Y_score,AUC,Accuracy
1,492,0,0,508,0,1,1,1,1,1,1,1,1,1,1,1,1
2,520,1,0,479,0.002083333,1,1,1,0.997916667,0.999039385,0.998957247,0.998998316,0.99895779,0.998958333,0.99899932,1,0.999
3,525,0,0,475,0,1,1,1,1,1,1,1,1,1,1,1,1
4,521,3,0,476,0.006263048,1,1,1,0.993736952,0.997129187,0.996858639,0.996993913,0.996863557,0.996868476,0.99700294,1,0.997
5,506,2,0,492,0.004048583,1,1,1,0.995951417,0.998027613,0.997971602,0.997999608,0.997973655,0.997975709,0.998003602,1,0.998
6,498,0,0,502,0,1,1,1,1,1,1,1,1,1,1,1,1
7,492,0,0,508,0,1,1,1,1,1,1,1,1,1,1,1,1
8,466,1,0,533,0.001872659,1,1,1,0.998127341,0.998928189,0.999062793,0.998995491,0.999063232,0.99906367,0.998996503,1,0.999
9,499,2,0,499,0.003992016,1,1,1,0.996007984,0.998,0.998,0.998,0.998001996,0.998003992,0.998003992,1,0.998
10,481,2,0,517,0.003853565,1,1,1,0.996146435,0.997925311,0.998069498,0.997997405,0.998071358,0.998073218,0.998001412,1,0.998
11,333,93,167,407,0.186,0.709059233,0.666,0.709059233,0.814,0.719222462,0.757914339,0.738568401,0.736290703,0.74,0.742687344,0.75001,0.74
12,418,98,76,408,0.193675889,0.842975207,0.846153846,0.842975207,0.806324111,0.827722772,0.824242424,0.825982598,0.825998939,0.826238978,0.826382671,0.822828487,0.826
13,456,92,40,412,0.182539683,0.911504425,0.919354839,0.911504425,0.817460317,0.873563218,0.861924686,0.867743952,0.866911817,0.868407578,0.870109092,0.900121608,0.868
14,360,87,149,404,0.177189409,0.730560579,0.707269155,0.730560579,0.822810591,0.753138075,0.77394636,0.763542218,0.762855525,0.765039873,0.766502363,0.834348329,0.764
15,324,108,173,395,0.21471173,0.695422535,0.651911469,0.695422535,0.78528827,0.69752422,0.737628385,0.717576302,0.715498728,0.71859987,0.720655569,0.806579037,0.719
16,349,162,175,314,0.340336134,0.642126789,0.666030534,0.642126789,0.659663866,0.674396135,0.650777202,0.662586669,0.662839556,0.6628472,0.662698937,0.718792097,0.663
17,439,68,40,453,0.130518234,0.918864097,0.916492693,0.918864097,0.869481766,0.890466531,0.893491124,0.891978828,0.892677817,0.892987229,0.892679067,0.964244928,0.892
18,339,226,154,281,0.445759369,0.645977011,0.687626775,0.645977011,0.554240631,0.640831758,0.596602972,0.618717365,0.617341638,0.620933703,0.621961104,0.641041644,0.62
19,287,299,220,194,0.606490872,0.468599034,0.566074951,0.468599034,0.393509128,0.52516011,0.427783903,0.476472006,0.471969978,0.479792039,0.479486051,0.476749443,0.481
20,287,359,214,140,0.719438878,0.395480226,0.572854291,0.395480226,0.280561122,0.50043592,0.328253224,0.414344572,0.400899792,0.426707707,0.423292021,0.408685635,0.427
21,410,393,78,119,0.767578125,0.604060914,0.840163934,0.604060914,0.232421875,0.635166538,0.335684062,0.4854253,0.441896455,0.536292905,0.546808007,0.456226787,0.529
22,417,327,105,151,0.684100418,0.58984375,0.798850575,0.58984375,0.315899582,0.658767773,0.411444142,0.535105957,0.502351035,0.557375078,0.566269444,0.610511951,0.568
23,379,421,109,91,0.822265625,0.455,0.776639344,0.455,0.177734375,0.588509317,0.255617978,0.422063647,0.371531302,0.47718686,0.47078093,0.507832512,0.47
24,303,232,198,267,0.46492986,0.574193548,0.604790419,0.574193548,0.53507014,0.584942085,0.553941909,0.569441997,0.56886316,0.56993028,0.570102312,0.570770283,0.57
25,292,206,210,292,0.413654618,0.581673307,0.581673307,0.581673307,0.586345382,0.584,0.584,0.584,0.584004672,0.584009344,0.584009344,0.572243156,0.584
26,317,379,178,126,0.75049505,0.414473684,0.64040404,0.414473684,0.24950495,0.532325777,0.311495674,0.421910725,0.399729882,0.444954495,0.439960611,0.424884488,0.443
27,362,413,146,79,0.839430894,0.351111111,0.712598425,0.351111111,0.160569106,0.564302416,0.220362622,0.392332519,0.338262164,0.436583765,0.422843854,0.437626032,0.441
28,357,326,144,173,0.653306613,0.545741325,0.71257485,0.545741325,0.346693387,0.603040541,0.424019608,0.513530074,0.497036204,0.529634119,0.53192589,0.553226213,0.53
29,341,281,159,219,0.562,0.579365079,0.682,0.579365079,0.438,0.607843137,0.498861048,0.553352093,0.546549174,0.56,0.561899148,0.584342,0.56
30,252,266,243,239,0.526732673,0.495850622,0.509090909,0.495850622,0.473267327,0.497532083,0.484295846,0.490913964,0.490852415,0.491179118,0.491173836,0.484224422,0.491
31,360,269,138,233,0.535856574,0.628032345,0.722891566,0.628032345,0.464143426,0.638864241,0.533791523,0.586327882,0.579245517,0.593517496,0.596851095,0.603713659,0.593
