Day,TP,FP,FN,TN,FA,TP_Precision,TP_Recall,TN_Precision,TN_Recall,F1_pos,F1_neg,F1_Avg,Geometric_mean,Balanced_Accuracy,Y_score,AUC,Accuracy
1,0,0,492,508,0,0.508,0,0.508,1,0,0.673740053,0.336870027,0,0.5,0.377,0.5,0.508
2,518,0,2,480,0,0.995850622,0.996153846,0.995850622,1,0.998073218,0.997920998,0.997997108,0.99807507,0.998076923,0.998001117,0.999567308,0.998
3,520,0,5,475,0,0.989583333,0.99047619,0.989583333,1,0.995215311,0.994764398,0.994989854,0.995226703,0.995238095,0.995014881,0.998524311,0.995
4,519,37,2,442,0.077244259,0.995495495,0.996161228,0.995495495,0.922755741,0.963788301,0.957746479,0.96076739,0.958756222,0.959458485,0.961966426,0.959458485,0.961
5,496,0,10,494,0,0.98015873,0.980237154,0.98015873,1,0.99001996,0.98997996,0.98999996,0.990069267,0.990118577,0.990098971,0.990386616,0.99
6,497,0,1,502,0,0.998011928,0.997991968,0.998011928,1,0.998994975,0.999004975,0.998999975,0.998995479,0.998995984,0.999000974,1,0.999
7,492,0,0,508,0,1,1,1,1,1,1,1,1,1,1,1,1
8,466,0,0,534,0,1,1,1,1,1,1,1,1,1,1,1,1
9,498,0,1,501,0,0.998007968,0.997995992,0.998007968,1,0.998996991,0.999002991,0.998999991,0.998997493,0.998997996,0.99900099,0.999996,0.999
10,481,0,0,519,0,1,1,1,1,1,1,1,1,1,1,1,1
11,0,0,500,500,0,0.5,0,0.5,1,0,0.666666667,0.333333333,0,0.5,0.375,0.5,0.5
12,474,139,20,367,0.274703557,0.948320413,0.95951417,0.948320413,0.725296443,0.856368564,0.821948488,0.839158526,0.834225518,0.842405306,0.851594339,0.857933542,0.841
13,490,8,6,496,0.015873016,0.988047809,0.987903226,0.988047809,0.984126984,0.985915493,0.986083499,0.985999496,0.986013297,0.986015105,0.98600344,0.98703517,0.986
14,303,3,206,488,0.00610998,0.703170029,0.595284872,0.703170029,0.99389002,0.743558282,0.823628692,0.783593487,0.769186384,0.794587446,0.82063525,0.761314666,0.791
15,424,138,73,365,0.274353877,0.833333333,0.853118712,0.833333333,0.725646123,0.80075543,0.775770457,0.788262943,0.786805113,0.789382418,0.791636642,0.927361385,0.789
16,243,92,281,384,0.193277311,0.577443609,0.463740458,0.577443609,0.806722689,0.565774156,0.673093777,0.619433967,0.611645281,0.635231574,0.643319973,0.628465986,0.627
17,388,35,91,486,0.067178503,0.842287695,0.810020877,0.842287695,0.932821497,0.860310421,0.885245902,0.872778161,0.869255364,0.871421187,0.875596938,0.955990367,0.874
18,291,248,202,259,0.489151874,0.561822126,0.590263692,0.561822126,0.510848126,0.563953488,0.535123967,0.549538728,0.549122118,0.550555909,0.550705657,0.522270365,0.55
19,380,58,127,435,0.117647059,0.774021352,0.749506903,0.774021352,0.882352941,0.804232804,0.82464455,0.814438677,0.813221754,0.815929922,0.818365276,0.849672536,0.815
20,294,259,207,240,0.519038076,0.536912752,0.586826347,0.536912752,0.480961924,0.557874763,0.507399577,0.53263717,0.531263709,0.533894136,0.534086648,0.488413954,0.534
21,0,0,488,512,0,0.512,0,0.512,1,0,0.677248677,0.338624339,0,0.5,0.378,0.5,0.512
22,422,273,100,205,0.571129707,0.672131148,0.808429119,0.672131148,0.428870293,0.693508628,0.523627075,0.608567852,0.588821903,0.618649706,0.629156201,0.569450456,0.627
23,412,93,76,419,0.181640625,0.846464646,0.844262295,0.846464646,0.818359375,0.829808661,0.832174777,0.830991719,0.83120994,0.831310835,0.831231975,0.916756051,0.831
24,105,54,396,445,0.108216433,0.529131986,0.209580838,0.529131986,0.891783567,0.318181818,0.664179104,0.491180461,0.432320191,0.550682203,0.572718437,0.655330621,0.55
25,463,65,39,433,0.130522088,0.917372881,0.922310757,0.917372881,0.869477912,0.899029126,0.892783505,0.895906316,0.895504791,0.895894334,0.896513872,0.959151346,0.896
26,160,20,335,485,0.03960396,0.591463415,0.323232323,0.591463415,0.96039604,0.474074074,0.732075472,0.603074773,0.55716339,0.641814181,0.690995167,0.687584758,0.645
27,458,9,50,483,0.018292683,0.90619137,0.901574803,0.90619137,0.981707317,0.939487179,0.942439024,0.940963102,0.940788276,0.94164106,0.942550385,0.961908249,0.941
28,311,83,190,416,0.166332665,0.686468647,0.620758483,0.686468647,0.833667335,0.694972067,0.752941176,0.723956622,0.719378947,0.727212909,0.732558642,0.794831179,0.727
29,411,37,89,463,0.074,0.838768116,0.822,0.838768116,0.926,0.867088608,0.880228137,0.873658372,0.872451718,0.874,0.876044708,0.951772,0.874
30,171,113,324,392,0.223762376,0.547486034,0.345454545,0.547486034,0.776237624,0.43902439,0.642096642,0.540560516,0.517836669,0.560846085,0.56782272,0.528968897,0.563
31,1,0,497,502,0,0.502502503,0.002008032,0.502502503,1,0.004008016,0.668887408,0.336447712,0.044811071,0.501004016,0.626127634,0.498995984,0.503
32,252,178,275,295,0.376321353,0.51754386,0.478178368,0.51754386,0.623678647,0.526645768,0.565675935,0.546160851,0.546104054,0.550928508,0.551361847,0.616860766,0.547
33,460,19,16,505,0.036259542,0.969289827,0.966386555,0.969289827,0.963740458,0.963350785,0.966507177,0.964928981,0.965062599,0.965063506,0.964937717,0.987920168,0.965
34,250,117,255,378,0.236363636,0.597156398,0.495049505,0.597156398,0.763636364,0.573394495,0.670212766,0.621803631,0.614847789,0.629342934,0.634260294,0.633375338,0.628
35,464,147,36,353,0.294,0.907455013,0.928,0.907455013,0.706,0.835283528,0.794150731,0.81471713,0.809424487,0.817,0.825216454,0.877904,0.817
36,419,231,69,281,0.451171875,0.802857143,0.858606557,0.802857143,0.548828125,0.736379613,0.651972158,0.694175886,0.686460069,0.703717341,0.713726802,0.72784724,0.7
37,502,12,8,478,0.024489796,0.983539095,0.984313725,0.983539095,0.975510204,0.98046875,0.979508197,0.979988473,0.979902078,0.979911965,0.98000418,0.984887955,0.98
38,404,166,93,337,0.330019881,0.78372093,0.812877264,0.78372093,0.669980119,0.757263355,0.722400857,0.739832106,0.737978053,0.741428691,0.743837561,0.741878708,0.741
39,432,52,74,442,0.105263158,0.856589147,0.853754941,0.856589147,0.894736842,0.872727273,0.875247525,0.873987399,0.874005721,0.874245891,0.874410728,0.943423853,0.874
40,156,33,337,474,0.065088757,0.584463625,0.31643002,0.584463625,0.934911243,0.457478006,0.719271624,0.588374815,0.543906227,0.625670631,0.665300428,0.515192978,0.63
41,202,326,300,172,0.654618474,0.36440678,0.402390438,0.36440678,0.345381526,0.39223301,0.354639175,0.373436092,0.372797832,0.373885982,0.373688625,0.34061345,0.374
42,456,378,37,129,0.74556213,0.777108434,0.92494929,0.777108434,0.25443787,0.687264506,0.383358098,0.535311302,0.485120735,0.58969358,0.625814546,0.583270321,0.585
43,459,37,46,458,0.074747475,0.908730159,0.908910891,0.908730159,0.925252525,0.917082917,0.916916917,0.916999917,0.917045308,0.917081708,0.9170742,0.972365237,0.917
44,473,461,32,34,0.931313131,0.515151515,0.936633663,0.515151515,0.068686869,0.657400973,0.121212121,0.389306547,0.253642334,0.502660266,0.506724008,0.448382838,0.507
45,411,50,81,458,0.098425197,0.849721707,0.835365854,0.849721707,0.901574803,0.862539349,0.874880611,0.86870998,0.867839159,0.868470328,0.869550623,0.930008082,0.869
46,313,212,201,274,0.436213992,0.576842105,0.608949416,0.576842105,0.563786008,0.602502406,0.570239334,0.58637087,0.585932727,0.586367712,0.586442002,0.615642664,0.587
47,428,213,62,297,0.417647059,0.82729805,0.873469388,0.82729805,0.582352941,0.756852343,0.683544304,0.720198323,0.713209273,0.727911164,0.737706772,0.871384554,0.725
48,106,205,415,274,0.427974948,0.397677794,0.203454894,0.397677794,0.572025052,0.254807692,0.469178082,0.361992887,0.341147031,0.387739973,0.378498438,0.394682219,0.38
49,444,32,34,490,0.061302682,0.935114504,0.928870293,0.935114504,0.938697318,0.93081761,0.936902486,0.933860048,0.933770878,0.933783805,0.933863806,0.981460107,0.934
50,345,321,155,179,0.642,0.535928144,0.69,0.535928144,0.358,0.591766724,0.429256595,0.510511659,0.497011066,0.524,0.52548654,0.521114,0.524
51,15,4,483,498,0.007968127,0.50764526,0.030120482,0.50764526,0.992031873,0.058027079,0.671611598,0.364819339,0.172859706,0.511076177,0.579817825,0.50561209,0.513
52,27,30,463,480,0.058823529,0.509013786,0.055102041,0.509013786,0.941176471,0.098720293,0.660701996,0.379711144,0.227729542,0.498139256,0.494744127,0.527897159,0.507
53,468,33,40,459,0.067073171,0.919839679,0.921259843,0.919839679,0.932926829,0.92765114,0.926337033,0.926994087,0.927074983,0.927093336,0.927039522,0.978918603,0.927
54,229,368,252,151,0.709055877,0.374689826,0.476091476,0.374689826,0.290944123,0.424860853,0.327548807,0.37620483,0.3721774,0.3835178,0.381327504,0.326106898,0.38
55,515,18,9,458,0.037815126,0.980728051,0.982824427,0.980728051,0.962184874,0.974456008,0.971367975,0.972911991,0.972449895,0.972504651,0.972991561,0.997402014,0.973
56,133,1,373,493,0.002024291,0.569284065,0.26284585,0.569284065,0.997975709,0.415625,0.725,0.5703125,0.512165767,0.630410779,0.705660734,0.79715079,0.626
57,477,6,14,503,0.011787819,0.972920696,0.971486762,0.972920696,0.988212181,0.979466119,0.980506823,0.979986471,0.979813784,0.979849471,0.98004932,0.994264142,0.98
58,469,107,42,382,0.218813906,0.900943396,0.917808219,0.900943396,0.781186094,0.862925483,0.836801752,0.849863618,0.846746135,0.849497157,0.853543455,0.760117897,0.851
59,478,27,15,480,0.053254438,0.96969697,0.969574037,0.96969697,0.946745562,0.957915832,0.958083832,0.957999832,0.95809181,0.958159799,0.958137805,0.994358894,0.958
60,179,14,319,488,0.027888446,0.604708798,0.359437751,0.604708798,0.972111554,0.518089725,0.745607334,0.631848529,0.591112164,0.665774652,0.715929811,0.650432407,0.667
61,0,164,497,339,0.326043738,0.405502392,0,0.405502392,0.673956262,0,0.506348021,0.25317401,0,0.336978131,0.269864664,0.630994716,0.339
62,240,421,264,75,0.848790323,0.221238938,0.476190476,0.221238938,0.151209677,0.412017167,0.179640719,0.295828943,0.268336744,0.313700077,0.302931331,0.310583877,0.315
63,358,55,138,449,0.109126984,0.764906303,0.721774194,0.764906303,0.890873016,0.787678768,0.823098075,0.805388422,0.801878515,0.806323605,0.8110954,0.889308916,0.807
64,133,289,393,185,0.609704641,0.320069204,0.252851711,0.320069204,0.390295359,0.280590717,0.351711027,0.316150872,0.314144631,0.321573535,0.319595538,0.26461552,0.318
65,267,131,211,391,0.250957854,0.649501661,0.558577406,0.649501661,0.749042146,0.609589041,0.695729537,0.652659289,0.646836934,0.653809776,0.656993871,0.745351,0.658
66,45,360,452,143,0.715705765,0.240336134,0.09054326,0.240336134,0.284294235,0.099778271,0.260473588,0.180125929,0.160439791,0.187418747,0.181571185,0.260259369,0.188
67,483,70,25,422,0.142276423,0.944071588,0.950787402,0.944071588,0.857723577,0.910461828,0.898828541,0.904645185,0.903057457,0.904255489,0.906500072,0.94699043,0.905
68,385,332,106,177,0.652259332,0.625441696,0.784114053,0.625441696,0.347740668,0.637417219,0.446969697,0.542193458,0.522176545,0.56592736,0.573563993,0.516817449,0.562
69,488,29,16,467,0.058467742,0.966873706,0.968253968,0.966873706,0.941532258,0.955925563,0.954034729,0.954980146,0.954799636,0.954893113,0.955141772,0.974612375,0.955
70,160,125,339,376,0.249500998,0.525874126,0.320641283,0.525874126,0.750499002,0.408163265,0.618421053,0.513292159,0.490551692,0.535570142,0.53960448,0.529060116,0.536
