Time_Step,W_Precision,W_Recall,W_F1,W_AUC,Kappa,Matthews
1.0,0.44,0.31,0.26,0.66,0.04,0.07
2.0,0.51,0.31,0.27,0.68,0.07,0.11
3.0,0.54,0.32,0.28,0.69,0.09,0.14
4.0,0.48,0.31,0.27,0.67,0.06,0.1
5.0,0.49,0.32,0.27,0.67,0.07,0.11
6.0,0.89,0.89,0.89,0.97,0.83,0.83
7.0,0.88,0.87,0.87,0.96,0.8,0.8
8.0,0.86,0.86,0.86,0.96,0.78,0.78
9.0,0.88,0.88,0.88,0.97,0.81,0.81
10.0,0.88,0.87,0.87,0.97,0.8,0.8
11.0,0.85,0.84,0.84,0.97,0.76,0.76
12.0,0.87,0.87,0.87,0.97,0.8,0.8
13.0,0.82,0.81,0.81,0.94,0.71,0.71
14.0,0.84,0.83,0.83,0.96,0.74,0.75
15.0,0.83,0.81,0.81,0.95,0.72,0.73
16.0,0.88,0.88,0.88,0.97,0.81,0.81
17.0,0.86,0.86,0.86,0.96,0.79,0.79
18.0,0.84,0.84,0.83,0.96,0.75,0.75
19.0,0.87,0.86,0.86,0.96,0.78,0.79
20.0,0.86,0.86,0.86,0.96,0.78,0.78
21.0,0.86,0.86,0.86,0.96,0.78,0.78
22.0,0.91,0.91,0.91,0.98,0.85,0.86
23.0,0.85,0.85,0.85,0.96,0.77,0.77
24.0,0.85,0.85,0.85,0.96,0.77,0.77
25.0,0.87,0.86,0.86,0.96,0.78,0.79
26.0,0.86,0.85,0.85,0.96,0.76,0.77
27.0,0.9,0.9,0.9,0.97,0.84,0.84
28.0,0.85,0.85,0.85,0.96,0.77,0.77
29.0,0.81,0.81,0.81,0.95,0.71,0.72
30.0,0.79,0.8,0.79,0.94,0.69,0.69
31.0,0.82,0.8,0.8,0.95,0.7,0.7
32.0,0.79,0.79,0.78,0.95,0.67,0.68
33.0,0.81,0.82,0.82,0.95,0.72,0.72
34.0,0.8,0.8,0.8,0.95,0.68,0.68
35.0,0.84,0.83,0.83,0.95,0.74,0.74
36.0,0.84,0.82,0.82,0.96,0.73,0.74
37.0,0.87,0.87,0.87,0.97,0.8,0.8
38.0,0.81,0.81,0.8,0.95,0.71,0.72
39.0,0.82,0.83,0.82,0.95,0.73,0.73
40.0,0.88,0.88,0.88,0.97,0.81,0.81
41.0,0.84,0.84,0.83,0.96,0.74,0.75
42.0,0.88,0.88,0.88,0.96,0.81,0.81
43.0,0.85,0.85,0.85,0.96,0.76,0.76
44.0,0.81,0.8,0.79,0.95,0.69,0.7
45.0,0.83,0.82,0.82,0.96,0.72,0.73
46.0,0.81,0.81,0.81,0.94,0.71,0.72
47.0,0.83,0.83,0.83,0.96,0.74,0.74
48.0,0.83,0.83,0.83,0.95,0.75,0.75
49.0,0.71,0.69,0.69,0.87,0.53,0.54
50.0,0.86,0.66,0.73,0.92,0.36,0.41
51.0,0.58,0.73,0.64,0.53,-0.03,-0.06
52.0,0.86,0.89,0.87,0.95,0.74,0.75
53.0,0.75,0.8,0.77,0.92,0.59,0.61
54.0,0.87,0.87,0.86,0.97,0.75,0.76
55.0,0.86,0.86,0.85,0.97,0.74,0.75
56.0,0.86,0.86,0.86,0.96,0.76,0.76
57.0,0.84,0.84,0.83,0.96,0.72,0.73
58.0,0.84,0.84,0.83,0.97,0.73,0.74
59.0,0.86,0.86,0.86,0.96,0.77,0.77
60.0,0.85,0.85,0.85,0.96,0.75,0.75
61.0,0.86,0.86,0.86,0.97,0.76,0.77
62.0,0.88,0.87,0.88,0.97,0.79,0.79
63.0,0.87,0.87,0.87,0.97,0.78,0.78
64.0,0.87,0.87,0.87,0.97,0.78,0.78
65.0,0.86,0.86,0.86,0.95,0.77,0.77
66.0,0.88,0.88,0.88,0.97,0.8,0.8
67.0,0.89,0.89,0.89,0.97,0.83,0.83
68.0,0.87,0.86,0.86,0.97,0.79,0.79
69.0,0.88,0.88,0.88,0.97,0.81,0.81
70.0,0.9,0.9,0.9,0.98,0.85,0.85
