Time_Step,W_Precision,W_Recall,W_F1,W_AUC,Kappa,Matthews
1.0,0.07,0.26,0.1,0.5,0.0,0.0
2.0,0.05,0.23,0.09,0.5,0.0,0.0
3.0,0.77,0.77,0.77,0.92,0.64,0.64
4.0,0.74,0.75,0.74,0.91,0.6,0.61
5.0,0.84,0.82,0.82,0.95,0.73,0.73
6.0,0.87,0.85,0.85,0.96,0.77,0.77
7.0,0.84,0.84,0.84,0.97,0.76,0.76
8.0,0.87,0.87,0.87,0.97,0.8,0.8
9.0,0.89,0.89,0.89,0.97,0.83,0.83
10.0,0.89,0.89,0.89,0.97,0.82,0.83
11.0,0.86,0.86,0.86,0.97,0.78,0.79
12.0,0.88,0.87,0.87,0.97,0.8,0.8
13.0,0.85,0.84,0.84,0.95,0.76,0.76
14.0,0.86,0.85,0.85,0.96,0.77,0.78
15.0,0.81,0.78,0.78,0.93,0.67,0.68
16.0,0.85,0.85,0.85,0.97,0.76,0.77
17.0,0.85,0.85,0.85,0.96,0.77,0.77
18.0,0.84,0.84,0.84,0.96,0.76,0.76
19.0,0.86,0.87,0.86,0.96,0.79,0.79
20.0,0.86,0.86,0.86,0.96,0.77,0.77
21.0,0.84,0.85,0.84,0.96,0.76,0.76
22.0,0.91,0.91,0.91,0.97,0.85,0.85
23.0,0.86,0.86,0.86,0.97,0.78,0.78
24.0,0.86,0.86,0.86,0.96,0.78,0.78
25.0,0.88,0.88,0.87,0.96,0.81,0.81
26.0,0.88,0.87,0.87,0.96,0.8,0.81
27.0,0.88,0.88,0.88,0.97,0.82,0.82
28.0,0.87,0.87,0.87,0.97,0.8,0.8
29.0,0.83,0.83,0.83,0.96,0.74,0.75
30.0,0.82,0.82,0.81,0.95,0.72,0.72
31.0,0.8,0.8,0.8,0.94,0.7,0.7
32.0,0.84,0.85,0.84,0.96,0.76,0.77
33.0,0.86,0.86,0.86,0.96,0.78,0.79
34.0,0.87,0.86,0.86,0.96,0.78,0.78
35.0,0.87,0.87,0.87,0.96,0.8,0.8
36.0,0.86,0.86,0.86,0.96,0.79,0.79
37.0,0.89,0.9,0.89,0.97,0.84,0.84
38.0,0.82,0.83,0.82,0.95,0.74,0.74
39.0,0.85,0.85,0.85,0.95,0.77,0.78
40.0,0.86,0.87,0.86,0.96,0.79,0.79
41.0,0.82,0.83,0.82,0.95,0.73,0.73
42.0,0.86,0.86,0.86,0.96,0.78,0.78
43.0,0.86,0.86,0.86,0.96,0.78,0.78
44.0,0.82,0.82,0.81,0.95,0.72,0.72
45.0,0.85,0.85,0.85,0.96,0.76,0.77
46.0,0.85,0.85,0.84,0.95,0.76,0.77
47.0,0.86,0.86,0.86,0.96,0.78,0.78
48.0,0.86,0.86,0.86,0.96,0.79,0.79
49.0,0.74,0.71,0.71,0.89,0.57,0.58
50.0,0.89,0.77,0.83,0.91,0.51,0.53
51.0,0.87,0.88,0.87,0.94,0.66,0.67
52.0,0.85,0.87,0.86,0.93,0.71,0.72
53.0,0.85,0.85,0.83,0.94,0.69,0.7
54.0,0.86,0.86,0.85,0.94,0.74,0.75
55.0,0.85,0.85,0.84,0.96,0.73,0.74
56.0,0.84,0.84,0.83,0.96,0.71,0.72
57.0,0.86,0.86,0.86,0.95,0.77,0.77
58.0,0.84,0.83,0.83,0.96,0.72,0.73
59.0,0.84,0.84,0.83,0.95,0.73,0.73
60.0,0.87,0.87,0.87,0.96,0.78,0.79
61.0,0.88,0.88,0.88,0.97,0.8,0.8
62.0,0.8,0.79,0.78,0.94,0.63,0.64
63.0,0.84,0.84,0.84,0.96,0.73,0.73
64.0,0.84,0.84,0.84,0.96,0.74,0.74
65.0,0.86,0.86,0.86,0.96,0.77,0.77
66.0,0.84,0.84,0.83,0.96,0.74,0.74
67.0,0.85,0.85,0.85,0.96,0.76,0.76
68.0,0.84,0.84,0.84,0.95,0.74,0.74
69.0,0.86,0.85,0.85,0.96,0.77,0.77
70.0,0.87,0.87,0.87,0.97,0.8,0.8
