Time_Step,W_Precision,W_Recall,W_F1,W_AUC,Kappa,Matthews
1.0,0.07,0.26,0.1,0.5,0.0,0.0
2.0,0.05,0.23,0.09,0.5,0.0,0.0
3.0,0.19,0.33,0.24,0.5,0.06,0.08
4.0,0.57,0.63,0.54,0.5,0.42,0.46
5.0,0.54,0.61,0.52,0.5,0.39,0.43
6.0,0.56,0.63,0.55,0.5,0.42,0.46
7.0,0.58,0.63,0.54,0.5,0.42,0.47
8.0,0.53,0.61,0.52,0.5,0.39,0.43
9.0,0.54,0.61,0.52,0.5,0.4,0.45
10.0,0.52,0.61,0.52,0.5,0.4,0.44
11.0,0.53,0.62,0.53,0.5,0.4,0.44
12.0,0.56,0.62,0.53,0.5,0.4,0.44
13.0,0.53,0.6,0.51,0.5,0.38,0.42
14.0,0.55,0.62,0.53,0.5,0.4,0.44
15.0,0.54,0.62,0.54,0.5,0.41,0.45
16.0,0.61,0.64,0.56,0.5,0.43,0.47
17.0,0.54,0.63,0.55,0.5,0.42,0.44
18.0,0.57,0.63,0.55,0.5,0.42,0.46
19.0,0.63,0.65,0.57,0.5,0.45,0.49
20.0,0.6,0.64,0.55,0.5,0.43,0.47
21.0,0.57,0.62,0.54,0.5,0.41,0.46
22.0,0.56,0.61,0.54,0.5,0.4,0.43
23.0,0.56,0.63,0.54,0.5,0.42,0.46
24.0,0.56,0.63,0.55,0.5,0.42,0.45
25.0,0.6,0.63,0.55,0.5,0.42,0.47
26.0,0.6,0.63,0.54,0.5,0.41,0.46
27.0,0.57,0.62,0.54,0.5,0.39,0.43
28.0,0.53,0.61,0.53,0.5,0.39,0.42
29.0,0.54,0.61,0.53,0.5,0.4,0.43
30.0,0.51,0.61,0.52,0.5,0.4,0.44
31.0,0.25,0.39,0.3,0.5,0.14,0.17
32.0,0.58,0.64,0.57,0.5,0.43,0.47
33.0,0.53,0.6,0.53,0.5,0.37,0.4
34.0,0.6,0.64,0.56,0.5,0.41,0.45
35.0,0.56,0.64,0.55,0.5,0.41,0.45
36.0,0.58,0.65,0.56,0.5,0.45,0.49
37.0,0.58,0.64,0.56,0.5,0.43,0.48
38.0,0.48,0.58,0.48,0.5,0.37,0.41
39.0,0.53,0.59,0.5,0.5,0.38,0.43
40.0,0.51,0.6,0.5,0.5,0.38,0.43
41.0,0.48,0.59,0.49,0.5,0.37,0.42
42.0,0.51,0.58,0.48,0.5,0.35,0.4
43.0,0.53,0.58,0.5,0.5,0.35,0.4
44.0,0.47,0.57,0.47,0.5,0.35,0.39
45.0,0.5,0.58,0.5,0.5,0.36,0.39
46.0,0.47,0.56,0.48,0.5,0.34,0.37
47.0,0.52,0.59,0.5,0.5,0.37,0.42
48.0,0.47,0.55,0.47,0.5,0.32,0.35
49.0,0.43,0.47,0.41,0.5,0.23,0.26
50.0,0.7,0.4,0.5,0.5,0.05,0.07
51.0,0.68,0.42,0.51,0.5,0.04,0.05
52.0,0.64,0.5,0.55,0.5,0.18,0.21
53.0,0.69,0.54,0.58,0.5,0.29,0.33
54.0,0.77,0.73,0.74,0.5,0.55,0.55
55.0,0.75,0.71,0.72,0.5,0.52,0.53
56.0,0.73,0.7,0.71,0.5,0.51,0.51
57.0,0.72,0.71,0.71,0.5,0.53,0.53
58.0,0.7,0.67,0.68,0.5,0.48,0.48
59.0,0.71,0.69,0.69,0.5,0.5,0.5
60.0,0.63,0.58,0.58,0.5,0.35,0.36
61.0,0.68,0.64,0.65,0.5,0.42,0.43
62.0,0.25,0.5,0.33,0.5,0.0,0.0
63.0,0.69,0.66,0.67,0.5,0.46,0.46
64.0,0.67,0.65,0.65,0.5,0.44,0.44
65.0,0.67,0.65,0.65,0.5,0.43,0.44
66.0,0.67,0.65,0.66,0.5,0.47,0.47
67.0,0.65,0.65,0.65,0.5,0.46,0.46
68.0,0.62,0.6,0.6,0.5,0.4,0.4
69.0,0.62,0.6,0.6,0.5,0.4,0.41
70.0,0.61,0.6,0.59,0.5,0.4,0.41
