Time_Step,W_Precision,W_Recall,W_F1,W_AUC,Kappa,Matthews
1.0,0.07,0.26,0.1,0.5,0.0,0.0
2.0,0.05,0.23,0.09,0.5,0.0,0.0
3.0,0.84,0.84,0.84,0.92,0.75,0.75
4.0,0.81,0.81,0.81,0.91,0.71,0.71
5.0,0.79,0.78,0.78,0.93,0.66,0.66
6.0,0.84,0.84,0.84,0.95,0.74,0.74
7.0,0.84,0.84,0.84,0.96,0.76,0.76
8.0,0.81,0.81,0.81,0.96,0.7,0.71
9.0,0.84,0.84,0.84,0.96,0.75,0.75
10.0,0.78,0.74,0.75,0.95,0.6,0.61
11.0,0.8,0.8,0.8,0.95,0.69,0.7
12.0,0.82,0.81,0.81,0.95,0.71,0.71
13.0,0.8,0.8,0.8,0.94,0.7,0.7
14.0,0.83,0.82,0.82,0.95,0.73,0.73
15.0,0.78,0.78,0.78,0.93,0.67,0.67
16.0,0.79,0.78,0.79,0.95,0.67,0.67
17.0,0.81,0.81,0.81,0.95,0.71,0.71
18.0,0.86,0.86,0.86,0.97,0.79,0.79
19.0,0.8,0.79,0.79,0.94,0.68,0.68
20.0,0.82,0.82,0.82,0.94,0.72,0.72
21.0,0.81,0.81,0.81,0.94,0.7,0.7
22.0,0.82,0.82,0.82,0.96,0.72,0.72
23.0,0.82,0.82,0.81,0.95,0.71,0.71
24.0,0.79,0.79,0.79,0.95,0.67,0.67
25.0,0.8,0.8,0.8,0.95,0.7,0.7
26.0,0.8,0.8,0.8,0.94,0.69,0.7
27.0,0.81,0.81,0.81,0.95,0.7,0.7
28.0,0.83,0.83,0.83,0.95,0.74,0.74
29.0,0.79,0.79,0.79,0.94,0.68,0.68
30.0,0.82,0.82,0.82,0.95,0.73,0.73
31.0,0.77,0.76,0.76,0.93,0.64,0.64
32.0,0.79,0.79,0.79,0.94,0.68,0.68
33.0,0.85,0.85,0.85,0.96,0.77,0.77
34.0,0.82,0.81,0.82,0.94,0.71,0.71
35.0,0.78,0.78,0.78,0.94,0.66,0.66
36.0,0.74,0.74,0.72,0.93,0.61,0.63
37.0,0.78,0.78,0.78,0.95,0.66,0.66
38.0,0.79,0.79,0.79,0.93,0.68,0.68
39.0,0.75,0.75,0.75,0.93,0.62,0.62
40.0,0.81,0.81,0.81,0.95,0.7,0.7
41.0,0.78,0.78,0.78,0.93,0.66,0.66
42.0,0.73,0.71,0.71,0.93,0.55,0.56
43.0,0.82,0.82,0.82,0.94,0.71,0.71
44.0,0.76,0.77,0.76,0.93,0.64,0.64
45.0,0.72,0.7,0.71,0.93,0.55,0.55
46.0,0.8,0.8,0.8,0.95,0.7,0.7
47.0,0.8,0.8,0.8,0.95,0.69,0.69
48.0,0.76,0.75,0.75,0.93,0.63,0.63
49.0,0.75,0.73,0.73,0.87,0.59,0.6
50.0,0.87,0.69,0.75,0.83,0.39,0.44
51.0,0.91,0.91,0.9,0.93,0.75,0.75
52.0,0.87,0.87,0.86,0.93,0.69,0.71
53.0,0.85,0.85,0.85,0.93,0.7,0.71
54.0,0.87,0.87,0.87,0.94,0.77,0.77
55.0,0.88,0.88,0.88,0.95,0.79,0.79
56.0,0.87,0.87,0.87,0.96,0.78,0.78
57.0,0.86,0.86,0.86,0.94,0.76,0.76
58.0,0.84,0.84,0.84,0.94,0.74,0.74
59.0,0.83,0.83,0.83,0.93,0.72,0.72
60.0,0.79,0.79,0.79,0.93,0.65,0.65
61.0,0.86,0.86,0.86,0.96,0.77,0.77
62.0,0.87,0.87,0.87,0.97,0.78,0.78
63.0,0.83,0.84,0.83,0.96,0.72,0.73
64.0,0.89,0.89,0.89,0.97,0.82,0.82
65.0,0.85,0.85,0.85,0.96,0.76,0.76
66.0,0.81,0.81,0.8,0.96,0.69,0.69
67.0,0.84,0.84,0.84,0.95,0.74,0.74
68.0,0.8,0.8,0.8,0.94,0.69,0.69
69.0,0.76,0.76,0.76,0.94,0.63,0.63
70.0,0.83,0.83,0.83,0.96,0.74,0.74
