Time_Step,W_Precision,W_Recall,W_F1,W_AUC,Kappa,Matthews
1.0,0.07,0.26,0.1,0.5,0.0,0.0
2.0,0.05,0.23,0.09,0.5,0.0,0.0
3.0,0.84,0.84,0.84,0.95,0.74,0.74
4.0,0.8,0.8,0.8,0.91,0.69,0.7
5.0,0.77,0.75,0.75,0.91,0.63,0.63
6.0,0.82,0.81,0.8,0.94,0.69,0.7
7.0,0.82,0.82,0.82,0.95,0.72,0.72
8.0,0.78,0.78,0.78,0.93,0.66,0.66
9.0,0.83,0.83,0.83,0.95,0.74,0.74
10.0,0.81,0.81,0.81,0.93,0.7,0.71
11.0,0.83,0.83,0.83,0.95,0.73,0.73
12.0,0.81,0.81,0.81,0.93,0.7,0.7
13.0,0.78,0.78,0.78,0.92,0.67,0.67
14.0,0.75,0.74,0.74,0.91,0.6,0.6
15.0,0.78,0.78,0.78,0.92,0.67,0.67
16.0,0.79,0.79,0.79,0.93,0.68,0.68
17.0,0.8,0.8,0.8,0.94,0.69,0.69
18.0,0.77,0.76,0.76,0.91,0.64,0.64
19.0,0.79,0.79,0.79,0.93,0.67,0.67
20.0,0.78,0.79,0.78,0.93,0.66,0.66
21.0,0.78,0.77,0.77,0.93,0.64,0.65
22.0,0.82,0.82,0.82,0.95,0.71,0.72
23.0,0.82,0.82,0.82,0.94,0.72,0.72
24.0,0.78,0.79,0.78,0.92,0.67,0.67
25.0,0.78,0.78,0.77,0.92,0.65,0.66
26.0,0.81,0.8,0.8,0.93,0.69,0.7
27.0,0.74,0.72,0.72,0.92,0.58,0.59
28.0,0.79,0.78,0.78,0.94,0.66,0.66
29.0,0.78,0.79,0.78,0.92,0.68,0.68
30.0,0.75,0.75,0.74,0.89,0.62,0.62
31.0,0.69,0.64,0.65,0.85,0.47,0.48
32.0,0.81,0.8,0.8,0.94,0.7,0.7
33.0,0.8,0.8,0.8,0.93,0.7,0.7
34.0,0.75,0.74,0.74,0.9,0.59,0.6
35.0,0.79,0.78,0.78,0.92,0.66,0.66
36.0,0.77,0.76,0.76,0.92,0.64,0.64
37.0,0.8,0.79,0.79,0.91,0.67,0.67
38.0,0.78,0.78,0.78,0.91,0.66,0.66
39.0,0.7,0.68,0.68,0.85,0.52,0.53
40.0,0.81,0.81,0.81,0.93,0.7,0.71
41.0,0.76,0.76,0.76,0.91,0.63,0.63
42.0,0.75,0.74,0.75,0.89,0.6,0.6
43.0,0.79,0.8,0.79,0.93,0.68,0.68
44.0,0.74,0.75,0.74,0.89,0.61,0.61
45.0,0.74,0.73,0.73,0.89,0.58,0.59
46.0,0.78,0.79,0.79,0.93,0.68,0.68
47.0,0.77,0.77,0.77,0.92,0.65,0.66
48.0,0.75,0.75,0.75,0.91,0.62,0.63
49.0,0.71,0.68,0.68,0.84,0.52,0.53
50.0,0.89,0.76,0.81,0.92,0.49,0.52
51.0,0.91,0.91,0.91,0.96,0.76,0.76
52.0,0.87,0.88,0.87,0.95,0.72,0.72
53.0,0.83,0.84,0.83,0.93,0.68,0.68
54.0,0.88,0.89,0.88,0.95,0.79,0.79
55.0,0.86,0.86,0.86,0.96,0.75,0.75
56.0,0.87,0.86,0.86,0.94,0.76,0.76
57.0,0.81,0.81,0.8,0.93,0.68,0.69
58.0,0.84,0.83,0.83,0.96,0.73,0.73
59.0,0.82,0.82,0.82,0.94,0.71,0.71
60.0,0.8,0.79,0.79,0.91,0.65,0.65
61.0,0.85,0.85,0.85,0.95,0.75,0.75
62.0,0.75,0.71,0.69,0.95,0.48,0.53
63.0,0.81,0.81,0.81,0.94,0.68,0.68
64.0,0.87,0.86,0.87,0.96,0.78,0.78
65.0,0.81,0.81,0.81,0.92,0.69,0.69
66.0,0.81,0.8,0.79,0.94,0.67,0.68
67.0,0.83,0.83,0.83,0.94,0.73,0.73
68.0,0.79,0.79,0.79,0.92,0.67,0.67
69.0,0.73,0.72,0.71,0.87,0.55,0.56
70.0,0.83,0.83,0.83,0.95,0.74,0.74
