Time_Step,W_Precision,W_Recall,W_F1,W_AUC,Kappa,Matthews
1.0,1.0,1.0,1.0,0.5,1.0,1.0
2.0,1.0,1.0,1.0,0.5,1.0,1.0
3.0,0.56,0.6,0.56,0.5,0.34,0.36
4.0,0.53,0.51,0.49,0.5,0.24,0.25
5.0,0.45,0.52,0.48,0.5,0.23,0.24
6.0,0.57,0.62,0.55,0.5,0.37,0.4
7.0,0.44,0.44,0.42,0.5,0.12,0.12
8.0,0.6,0.61,0.59,0.5,0.4,0.42
9.0,0.6,0.62,0.58,0.5,0.4,0.42
10.0,0.55,0.59,0.55,0.5,0.33,0.35
11.0,0.58,0.51,0.51,0.5,0.29,0.31
12.0,0.55,0.57,0.53,0.5,0.29,0.31
13.0,0.51,0.46,0.45,0.5,0.21,0.23
14.0,0.59,0.59,0.56,0.5,0.35,0.38
15.0,0.54,0.56,0.52,0.5,0.32,0.35
16.0,0.53,0.54,0.53,0.5,0.3,0.31
17.0,0.46,0.5,0.47,0.5,0.22,0.23
18.0,0.6,0.56,0.55,0.5,0.34,0.36
19.0,0.7,0.62,0.57,0.5,0.38,0.41
20.0,0.62,0.64,0.61,0.5,0.41,0.43
21.0,0.24,0.25,0.25,0.5,-0.2,-0.2
22.0,0.59,0.62,0.58,0.5,0.38,0.4
23.0,0.62,0.63,0.59,0.5,0.4,0.42
24.0,0.69,0.67,0.66,0.5,0.5,0.52
25.0,0.55,0.59,0.55,0.5,0.35,0.37
26.0,0.56,0.61,0.55,0.5,0.37,0.4
27.0,0.57,0.6,0.55,0.5,0.36,0.39
28.0,0.51,0.52,0.51,0.5,0.28,0.28
29.0,0.43,0.44,0.43,0.5,0.15,0.15
30.0,0.46,0.5,0.45,0.5,0.22,0.24
31.0,0.6,0.58,0.54,0.5,0.34,0.37
32.0,0.69,0.58,0.53,0.5,0.35,0.39
33.0,0.48,0.42,0.44,0.5,0.14,0.14
34.0,0.56,0.61,0.55,0.5,0.34,0.37
35.0,0.57,0.61,0.56,0.5,0.36,0.39
36.0,0.61,0.6,0.6,0.5,0.4,0.4
37.0,0.43,0.58,0.49,0.5,0.32,0.35
38.0,0.54,0.55,0.53,0.5,0.33,0.33
39.0,0.43,0.48,0.44,0.5,0.21,0.22
40.0,0.61,0.62,0.58,0.5,0.39,0.42
41.0,0.24,0.2,0.2,0.5,-0.12,-0.14
42.0,0.38,0.49,0.42,0.5,0.22,0.24
43.0,0.7,0.64,0.57,0.5,0.39,0.42
44.0,0.4,0.46,0.42,0.5,0.19,0.19
45.0,0.46,0.45,0.45,0.5,0.18,0.18
46.0,0.45,0.45,0.45,0.5,0.19,0.19
47.0,0.5,0.49,0.49,0.5,0.24,0.24
48.0,0.59,0.59,0.55,0.5,0.37,0.4
49.0,0.62,0.47,0.46,0.5,0.25,0.28
50.0,0.89,0.47,0.61,0.5,0.22,0.31
51.0,0.85,0.47,0.6,0.5,0.2,0.27
52.0,0.83,0.6,0.67,0.5,0.37,0.42
53.0,0.69,0.46,0.51,0.5,0.23,0.28
54.0,0.54,0.34,0.36,0.5,0.12,0.16
55.0,0.42,0.3,0.3,0.5,0.09,0.12
56.0,0.61,0.44,0.47,0.5,0.14,0.16
57.0,0.66,0.62,0.63,0.5,0.41,0.41
58.0,0.57,0.45,0.48,0.5,0.21,0.24
59.0,0.61,0.59,0.6,0.5,0.36,0.36
60.0,0.55,0.42,0.45,0.5,0.16,0.18
61.0,0.39,0.31,0.33,0.5,-0.04,-0.04
62.0,0.41,0.49,0.36,0.5,0.02,0.04
63.0,0.62,0.48,0.47,0.5,0.26,0.31
64.0,0.59,0.49,0.5,0.5,0.27,0.29
65.0,0.53,0.42,0.45,0.5,0.17,0.19
66.0,0.4,0.27,0.26,0.5,0.01,0.01
67.0,0.49,0.44,0.43,0.5,0.19,0.22
68.0,0.56,0.53,0.52,0.5,0.3,0.32
69.0,0.65,0.63,0.63,0.5,0.42,0.42
70.0,0.59,0.57,0.56,0.5,0.37,0.38
