Time_Step,W_Precision,W_Recall,W_F1,W_AUC,Kappa,Matthews
1.0,0.07,0.26,0.1,0.5,0.0,0.0
2.0,0.05,0.23,0.09,0.5,0.0,0.0
3.0,0.85,0.85,0.85,0.5,0.76,0.76
4.0,0.87,0.86,0.85,0.5,0.77,0.78
5.0,0.84,0.84,0.83,0.5,0.74,0.75
6.0,0.89,0.89,0.88,0.5,0.82,0.82
7.0,0.85,0.85,0.84,0.5,0.76,0.76
8.0,0.84,0.84,0.84,0.5,0.75,0.75
9.0,0.86,0.86,0.86,0.5,0.78,0.78
10.0,0.85,0.85,0.85,0.5,0.76,0.76
11.0,0.85,0.85,0.85,0.5,0.76,0.77
12.0,0.88,0.88,0.88,0.5,0.81,0.81
13.0,0.82,0.81,0.8,0.5,0.7,0.71
14.0,0.83,0.83,0.83,0.5,0.74,0.74
15.0,0.74,0.75,0.74,0.5,0.62,0.63
16.0,0.83,0.82,0.82,0.5,0.73,0.73
17.0,0.84,0.84,0.84,0.5,0.75,0.75
18.0,0.81,0.81,0.81,0.5,0.71,0.71
19.0,0.84,0.84,0.84,0.5,0.75,0.75
20.0,0.81,0.81,0.8,0.5,0.69,0.7
21.0,0.83,0.82,0.82,0.5,0.72,0.72
22.0,0.84,0.83,0.82,0.5,0.73,0.74
23.0,0.79,0.77,0.75,0.5,0.63,0.65
24.0,0.81,0.79,0.78,0.5,0.67,0.68
25.0,0.82,0.82,0.82,0.5,0.72,0.72
26.0,0.78,0.79,0.78,0.5,0.67,0.67
27.0,0.84,0.83,0.83,0.5,0.74,0.74
28.0,0.75,0.74,0.73,0.5,0.59,0.6
29.0,0.79,0.79,0.79,0.5,0.68,0.68
30.0,0.77,0.77,0.76,0.5,0.65,0.65
31.0,0.66,0.68,0.66,0.5,0.51,0.52
32.0,0.82,0.82,0.82,0.5,0.73,0.73
33.0,0.84,0.85,0.84,0.5,0.77,0.77
34.0,0.79,0.74,0.72,0.5,0.58,0.6
35.0,0.81,0.81,0.81,0.5,0.7,0.7
36.0,0.83,0.83,0.83,0.5,0.74,0.74
37.0,0.81,0.8,0.8,0.5,0.7,0.7
38.0,0.78,0.79,0.78,0.5,0.67,0.67
39.0,0.82,0.81,0.81,0.5,0.71,0.72
40.0,0.84,0.82,0.81,0.5,0.72,0.73
41.0,0.8,0.78,0.77,0.5,0.66,0.67
42.0,0.77,0.77,0.76,0.5,0.63,0.64
43.0,0.81,0.81,0.81,0.5,0.71,0.71
44.0,0.71,0.71,0.69,0.5,0.54,0.55
45.0,0.72,0.73,0.73,0.5,0.59,0.59
46.0,0.7,0.67,0.64,0.5,0.5,0.53
47.0,0.72,0.7,0.67,0.5,0.53,0.55
48.0,0.74,0.75,0.74,0.5,0.61,0.62
49.0,0.68,0.64,0.64,0.5,0.46,0.48
50.0,0.92,0.87,0.88,0.5,0.69,0.72
51.0,0.91,0.91,0.91,0.5,0.77,0.77
52.0,0.88,0.88,0.87,0.5,0.73,0.74
53.0,0.85,0.86,0.85,0.5,0.71,0.72
54.0,0.88,0.88,0.88,0.5,0.78,0.78
55.0,0.89,0.89,0.89,0.5,0.81,0.81
56.0,0.89,0.89,0.88,0.5,0.8,0.8
57.0,0.87,0.87,0.87,0.5,0.79,0.79
58.0,0.88,0.87,0.87,0.5,0.79,0.8
59.0,0.86,0.86,0.86,0.5,0.78,0.78
60.0,0.85,0.84,0.84,0.5,0.75,0.75
61.0,0.89,0.89,0.89,0.5,0.81,0.81
62.0,0.58,0.63,0.58,0.5,0.33,0.36
63.0,0.88,0.87,0.87,0.5,0.79,0.79
64.0,0.87,0.87,0.87,0.5,0.79,0.79
65.0,0.84,0.84,0.84,0.5,0.74,0.74
66.0,0.87,0.87,0.87,0.5,0.79,0.79
67.0,0.88,0.88,0.88,0.5,0.81,0.81
68.0,0.84,0.84,0.84,0.5,0.75,0.75
69.0,0.86,0.86,0.86,0.5,0.79,0.79
70.0,0.9,0.9,0.9,0.5,0.85,0.85
