Time_Step,W_Precision,W_Recall,W_F1,W_AUC,Kappa,Matthews
1.0,0.07,0.26,0.1,0.5,0.0,0.0
2.0,0.05,0.23,0.09,0.5,0.0,0.0
3.0,0.79,0.79,0.79,0.92,0.67,0.68
4.0,0.77,0.78,0.77,0.91,0.66,0.66
5.0,0.75,0.74,0.73,0.91,0.61,0.62
6.0,0.74,0.74,0.74,0.92,0.59,0.59
7.0,0.73,0.74,0.73,0.92,0.59,0.59
8.0,0.77,0.77,0.77,0.92,0.64,0.65
9.0,0.8,0.8,0.8,0.94,0.69,0.69
10.0,0.79,0.79,0.79,0.93,0.68,0.68
11.0,0.78,0.78,0.78,0.92,0.65,0.65
12.0,0.81,0.81,0.81,0.93,0.7,0.7
13.0,0.76,0.76,0.76,0.91,0.63,0.63
14.0,0.73,0.73,0.72,0.9,0.58,0.59
15.0,0.75,0.75,0.75,0.91,0.62,0.62
16.0,0.72,0.73,0.72,0.91,0.58,0.58
17.0,0.73,0.74,0.73,0.92,0.6,0.6
18.0,0.74,0.74,0.73,0.89,0.61,0.61
19.0,0.75,0.74,0.74,0.92,0.6,0.6
20.0,0.81,0.8,0.79,0.93,0.68,0.69
21.0,0.71,0.7,0.69,0.86,0.54,0.55
22.0,0.73,0.75,0.73,0.88,0.59,0.59
23.0,0.68,0.7,0.68,0.88,0.52,0.53
24.0,0.73,0.73,0.72,0.88,0.58,0.59
25.0,0.73,0.74,0.73,0.88,0.59,0.6
26.0,0.72,0.72,0.71,0.86,0.57,0.57
27.0,0.71,0.71,0.71,0.84,0.55,0.55
28.0,0.72,0.71,0.7,0.85,0.55,0.56
29.0,0.68,0.69,0.68,0.84,0.53,0.53
30.0,0.65,0.66,0.64,0.84,0.48,0.48
31.0,0.71,0.72,0.71,0.87,0.57,0.58
32.0,0.69,0.71,0.69,0.86,0.55,0.56
33.0,0.69,0.7,0.68,0.85,0.54,0.55
34.0,0.73,0.72,0.7,0.86,0.55,0.56
35.0,0.73,0.72,0.7,0.87,0.54,0.56
36.0,0.71,0.71,0.69,0.89,0.56,0.58
37.0,0.71,0.71,0.71,0.88,0.56,0.56
38.0,0.67,0.68,0.67,0.84,0.51,0.51
39.0,0.7,0.69,0.69,0.86,0.53,0.53
40.0,0.76,0.71,0.69,0.89,0.54,0.56
41.0,0.67,0.68,0.67,0.87,0.51,0.52
42.0,0.75,0.74,0.74,0.9,0.6,0.61
43.0,0.7,0.71,0.7,0.86,0.54,0.55
44.0,0.63,0.65,0.63,0.83,0.46,0.46
45.0,0.64,0.64,0.62,0.77,0.46,0.47
46.0,0.67,0.68,0.67,0.83,0.52,0.52
47.0,0.65,0.66,0.65,0.85,0.48,0.48
48.0,0.69,0.69,0.68,0.82,0.52,0.53
49.0,0.6,0.61,0.59,0.81,0.41,0.42
50.0,0.87,0.71,0.75,0.88,0.43,0.49
51.0,0.86,0.85,0.85,0.92,0.62,0.63
52.0,0.84,0.83,0.83,0.91,0.63,0.63
53.0,0.77,0.82,0.8,0.92,0.64,0.65
54.0,0.83,0.84,0.83,0.94,0.7,0.7
55.0,0.87,0.86,0.86,0.96,0.76,0.77
56.0,0.86,0.86,0.86,0.96,0.76,0.76
57.0,0.82,0.82,0.81,0.92,0.7,0.71
58.0,0.83,0.83,0.82,0.95,0.71,0.72
59.0,0.84,0.84,0.84,0.94,0.74,0.74
60.0,0.83,0.83,0.83,0.94,0.72,0.72
61.0,0.85,0.85,0.85,0.95,0.74,0.74
62.0,0.73,0.73,0.7,0.9,0.51,0.54
63.0,0.83,0.83,0.83,0.92,0.72,0.72
64.0,0.83,0.84,0.83,0.94,0.73,0.73
65.0,0.82,0.82,0.81,0.94,0.7,0.7
66.0,0.8,0.8,0.79,0.91,0.68,0.68
67.0,0.83,0.83,0.82,0.92,0.73,0.73
68.0,0.8,0.8,0.8,0.92,0.69,0.69
69.0,0.8,0.8,0.8,0.92,0.69,0.69
70.0,0.72,0.73,0.73,0.88,0.58,0.58
