Time_Step,W_Precision,W_Recall,W_F1,W_AUC,Kappa,Matthews
1.0,0.87,0.86,0.86,0.97,0.79,0.79
2.0,0.89,0.88,0.88,0.97,0.82,0.82
3.0,0.88,0.88,0.87,0.96,0.8,0.81
4.0,0.86,0.84,0.84,0.96,0.76,0.76
5.0,0.85,0.84,0.84,0.95,0.75,0.75
6.0,0.87,0.85,0.85,0.96,0.77,0.77
7.0,0.85,0.83,0.83,0.94,0.74,0.75
8.0,0.86,0.85,0.85,0.96,0.76,0.77
9.0,0.89,0.88,0.88,0.97,0.82,0.82
10.0,0.89,0.88,0.88,0.97,0.82,0.82
11.0,0.87,0.86,0.86,0.96,0.78,0.79
12.0,0.88,0.86,0.86,0.96,0.79,0.79
13.0,0.84,0.82,0.82,0.94,0.72,0.73
14.0,0.84,0.81,0.81,0.94,0.71,0.72
15.0,0.82,0.79,0.79,0.94,0.68,0.7
16.0,0.88,0.86,0.86,0.97,0.79,0.8
17.0,0.87,0.84,0.83,0.96,0.75,0.77
18.0,0.86,0.83,0.83,0.96,0.74,0.76
19.0,0.88,0.86,0.86,0.96,0.78,0.79
20.0,0.87,0.87,0.87,0.97,0.79,0.8
21.0,0.83,0.83,0.83,0.96,0.73,0.74
22.0,0.83,0.84,0.83,0.95,0.74,0.74
23.0,0.79,0.8,0.79,0.94,0.68,0.69
24.0,0.78,0.78,0.77,0.93,0.65,0.66
25.0,0.79,0.79,0.78,0.93,0.66,0.67
26.0,0.75,0.74,0.73,0.91,0.59,0.6
27.0,0.75,0.74,0.73,0.9,0.59,0.6
28.0,0.73,0.7,0.68,0.89,0.54,0.55
29.0,0.73,0.68,0.66,0.87,0.51,0.53
30.0,0.69,0.65,0.62,0.86,0.46,0.48
31.0,0.85,0.82,0.81,0.95,0.72,0.73
32.0,0.83,0.8,0.8,0.95,0.7,0.71
33.0,0.86,0.84,0.84,0.95,0.75,0.76
34.0,0.86,0.86,0.86,0.96,0.78,0.78
35.0,0.84,0.84,0.84,0.96,0.75,0.75
36.0,0.82,0.81,0.81,0.95,0.71,0.72
37.0,0.82,0.81,0.8,0.94,0.7,0.71
38.0,0.75,0.75,0.74,0.91,0.62,0.62
39.0,0.75,0.75,0.73,0.9,0.6,0.61
40.0,0.76,0.77,0.75,0.91,0.63,0.63
41.0,0.72,0.71,0.7,0.89,0.55,0.56
42.0,0.75,0.74,0.73,0.89,0.58,0.59
43.0,0.74,0.73,0.71,0.89,0.56,0.57
44.0,0.72,0.68,0.66,0.86,0.5,0.52
45.0,0.72,0.69,0.67,0.87,0.51,0.53
46.0,0.77,0.74,0.73,0.9,0.6,0.61
47.0,0.84,0.83,0.82,0.95,0.73,0.74
48.0,0.83,0.81,0.81,0.94,0.71,0.72
49.0,0.72,0.63,0.63,0.85,0.45,0.48
50.0,0.78,0.34,0.46,0.79,0.02,0.02
51.0,0.74,0.51,0.59,0.77,0.12,0.14
52.0,0.79,0.81,0.78,0.95,0.52,0.57
53.0,0.64,0.68,0.61,0.9,0.29,0.36
54.0,0.56,0.61,0.51,0.87,0.15,0.24
55.0,0.51,0.55,0.43,0.84,0.1,0.17
56.0,0.42,0.51,0.36,0.82,0.03,0.08
57.0,0.83,0.83,0.82,0.9,0.71,0.72
58.0,0.86,0.85,0.84,0.95,0.75,0.76
59.0,0.83,0.82,0.82,0.93,0.71,0.71
60.0,0.82,0.81,0.8,0.92,0.68,0.69
61.0,0.81,0.8,0.78,0.93,0.64,0.65
62.0,0.72,0.58,0.6,0.82,0.38,0.41
63.0,0.74,0.63,0.64,0.86,0.44,0.46
64.0,0.71,0.59,0.59,0.84,0.39,0.42
65.0,0.66,0.49,0.49,0.79,0.27,0.3
66.0,0.64,0.45,0.44,0.76,0.22,0.25
67.0,0.61,0.41,0.38,0.73,0.18,0.21
68.0,0.57,0.34,0.29,0.71,0.1,0.12
69.0,0.54,0.31,0.25,0.71,0.07,0.09
70.0,0.75,0.68,0.68,0.85,0.53,0.56
