Algorithm_Name,TP,FP,FN,TN,FA,TP_Precision,TP_Recall,TN_Precision,TN_Recall,F1_pos,F1_neg,F1_Avg,Geometric_mean,Balanced_Accuracy,Y_score,AUC,Accuracy,Train_Run_Time,Prediction_Run_Time,Total_Run_Time
CDDRL-Tabu10+Params,27.846,17.462,20.846,33.846,0.369,0.586,0.551,0.626,0.631,0.519,0.567,0.543,0.457,0.591,0.599,0.608,0.617,7457.418674,256.245,7713.663674
CDDRL-Ensemble_BNs,19.692,14.923,29,36.385,0.289,0.535,0.431,0.535,0.711,0.449,0.57,0.509,0.461,0.571,0.576,0.565,0.561,7457.418674,594.51192,8051.930594
CDDRL-Ensemble_Methods,28.154,18.308,20.538,33,0.387,0.598,0.582,0.598,0.613,0.572,0.552,0.562,0.515,0.598,0.606,0.634,0.612,21651.92199,713.553117,22365.47511
KNN-ADWIN,25.308,25.692,23.385,25.615,0.48,0.548,0.568,0.548,0.52,0.494,0.489,0.491,0.491,0.544,0.539,0.554,0.509,7.048071623,29.89894056,36.94701219
AWE,25.308,12.385,23.385,38.923,0.266,0.626,0.508,0.626,0.734,0.551,0.656,0.604,0.566,0.621,0.634,0.5,0.642,5.222993135,4.127992868,9.350986004
DWM,30.769,22.462,17.923,28.846,0.467,0.618,0.647,0.618,0.533,0.578,0.547,0.563,0.553,0.59,0.594,0.5,0.596,2.015446186,1.320692062,3.336138248
LNSE,19.154,18.154,29.538,33.154,0.361,0.551,0.444,0.551,0.639,0.428,0.551,0.489,0.46,0.541,0.53,0.539,0.523,0.58775425,3.135359526,3.723113775
SRP,31.692,22.615,17,28.692,0.494,0.628,0.648,0.628,0.506,0.578,0.483,0.53,0.462,0.577,0.593,0.611,0.604,24.40612555,11.47394061,35.88006616
SAM-KNN,28.462,19.462,20.231,31.846,0.42,0.654,0.559,0.654,0.58,0.489,0.528,0.509,0.408,0.569,0.588,0.5,0.603,0.689154148,0.274402142,0.96355629
VFDR,40.462,29.615,8.231,21.692,0.593,0.721,0.855,0.721,0.407,0.668,0.503,0.585,0.579,0.631,0.639,0.657,0.622,1.159553528,2.514383316,3.673936844
RSLVQ,22.846,23.846,25.846,27.462,0.453,0.405,0.515,0.405,0.547,0.408,0.4,0.404,0.237,0.531,0.509,0.5,0.503,1.29371047,0.078977585,1.372688055
OBC,28.154,25.615,20.538,25.692,0.502,0.577,0.599,0.577,0.498,0.531,0.514,0.523,0.536,0.548,0.547,0.554,0.538,122.6490819,184.4942479,307.1433299
ARF,30.615,22.692,18.077,28.615,0.491,0.663,0.606,0.663,0.509,0.536,0.47,0.503,0.402,0.557,0.58,0.551,0.592,8.722869635,3.316497803,12.03936744
NN-UN,14.692,8.231,34,43.077,0.216,0.579,0.41,0.579,0.784,0.462,0.645,0.554,0.529,0.597,0.589,0.606,0.578,,,
