Week,TP,FP,FN,TN,FA,TP_Precision,TP_Recall,TN_Precision,TN_Recall,F1_pos,F1_neg,F1_Avg,Geometric_mean,Balanced_Accuracy,Y_score,AUC,Accuracy
1,0,0,33,67,0,0,0,0.67,1,0,0.80239521,0.401197605,0,0.5,0.4175,0.5,0.67
2,11,0,23,66,0,1,0.323529412,0.741573034,1,0.488888889,0.851612903,0.670250896,0.568796459,0.661764706,0.766275611,0.661764706,0.77
3,28,0,5,67,0,1,0.848484848,0.930555556,1,0.918032787,0.964028777,0.941030782,0.921132373,0.924242424,0.944760101,0.924242424,0.95
4,1,6,66,27,0.181818182,0.142857143,0.014925373,0.290322581,0.818181818,0.027027027,0.428571429,0.227799228,0.11050642,0.416553596,0.316571729,0.416553596,0.28
5,60,20,6,14,0.588235294,0.75,0.909090909,0.7,0.411764706,0.821917808,0.518518519,0.670218163,0.611826406,0.660427807,0.692713904,0.668672014,0.74
6,64,25,3,8,0.757575758,0.719101124,0.955223881,0.727272727,0.242424242,0.820512821,0.363636364,0.592074592,0.48121661,0.598824062,0.661005493,0.671189507,0.72
7,28,61,5,6,0.910447761,0.314606742,0.848484848,0.545454545,0.089552239,0.459016393,0.153846154,0.306431274,0.275651443,0.469018544,0.449524594,0.290140208,0.34
8,7,3,27,63,0.045454545,0.7,0.205882353,0.7,0.954545455,0.318181818,0.807692308,0.562937063,0.443310347,0.580213904,0.640106952,0.568181818,0.7
9,4,4,29,63,0.059701493,0.5,0.121212121,0.684782609,0.940298507,0.195121951,0.79245283,0.493787391,0.337602691,0.530755314,0.561573309,0.705789236,0.67
10,0,2,67,31,0.060606061,0,0,0.316326531,0.939393939,0,0.473282443,0.236641221,0,0.46969697,0.313930118,0.561736771,0.31
11,58,24,8,10,0.705882353,0.707317073,0.878787879,0.555555556,0.294117647,0.783783784,0.384615385,0.584199584,0.508396522,0.586452763,0.608944539,0.692736185,0.68
12,65,17,2,16,0.515151515,0.792682927,0.970149254,0.888888889,0.484848485,0.872483221,0.62745098,0.749967101,0.685839191,0.727498869,0.784142389,0.772953415,0.81
13,14,62,19,5,0.925373134,0.184210526,0.424242424,0.208333333,0.074626866,0.256880734,0.10989011,0.183385422,0.177932241,0.249434645,0.222853287,0.187697874,0.19
14,13,3,21,63,0.045454545,0.8125,0.382352941,0.75,0.954545455,0.52,0.84,0.68,0.60413017,0.668449198,0.724849599,0.642602496,0.76
15,20,0,13,67,0,1,0.606060606,0.8375,1,0.754716981,0.911564626,0.833140803,0.778498944,0.803030303,0.860890152,0.804613297,0.87
