Day,TP,FP,FN,TN,FA,TP_Precision,TP_Recall,TN_Precision,TN_Recall,F1_pos,F1_neg,F1_Avg,Geometric_mean,Balanced_Accuracy,Y_score,AUC,Accuracy
1,0,0,33,67,0,0.67,0,0.67,1,0,0.80239521,0.401197605,0,0.5,0.4175,0.5,0.67
2,0,0,34,66,0,0.66,0,0.66,1,0,0.795180723,0.397590361,0,0.5,0.415,0.792112299,0.66
3,28,0,5,67,0,0.930555556,0.848484848,0.930555556,1,0.918032787,0.964028777,0.941030782,0.921132373,0.924242424,0.944760101,0.911352329,0.95
4,0,6,67,27,0.181818182,0.287234043,0,0.287234043,0.818181818,0,0.42519685,0.212598425,0,0.409090909,0.276353965,0.275214835,0.27
5,66,31,0,3,0.911764706,1,1,1,0.088235294,0.809815951,0.162162162,0.485989057,0.297044263,0.544117647,0.692161916,0.598039216,0.69
6,66,29,1,4,0.878787879,0.8,0.985074627,0.8,0.121212121,0.814814815,0.210526316,0.512670565,0.34554737,0.553143374,0.650255898,0.535504297,0.7
7,25,59,8,8,0.880597015,0.5,0.757575758,0.5,0.119402985,0.427350427,0.192771084,0.310060756,0.300760381,0.438489371,0.418649448,0.263907734,0.33
8,9,6,25,60,0.090909091,0.705882353,0.264705882,0.705882353,0.909090909,0.367346939,0.794701987,0.581024463,0.490552455,0.586898396,0.619919786,0.775178253,0.69
9,12,14,21,53,0.208955224,0.716216216,0.363636364,0.716216216,0.791044776,0.406779661,0.75177305,0.579276355,0.536332589,0.57734057,0.583108954,0.658299412,0.65
10,9,12,58,21,0.363636364,0.265822785,0.134328358,0.265822785,0.636363636,0.204545455,0.375,0.289772727,0.292372506,0.385345997,0.366271552,0.37336047,0.3
11,66,31,0,3,0.911764706,1,1,1,0.088235294,0.809815951,0.162162162,0.485989057,0.297044263,0.544117647,0.692161916,0.489973262,0.69
12,66,23,1,10,0.696969697,0.909090909,0.985074627,0.909090909,0.303030303,0.846153846,0.454545455,0.65034965,0.546358365,0.644052465,0.734692218,0.7152872,0.76
13,23,67,10,0,1,0,0.696969697,0,0,0.37398374,0,0.18699187,0,0.348484848,0.238131313,0.143147897,0.23
14,10,11,24,55,0.166666667,0.696202532,0.294117647,0.696202532,0.833333333,0.363636364,0.75862069,0.561128527,0.495073771,0.56372549,0.574960997,0.647504456,0.65
15,18,6,15,61,0.089552239,0.802631579,0.545454545,0.802631579,0.910447761,0.631578947,0.853146853,0.7423629,0.704704101,0.727951153,0.752133471,0.774536409,0.79
