Day,TP,FP,FN,TN,FA,TP_Precision,TP_Recall,TN_Precision,TN_Recall,F1_pos,F1_neg,F1_Avg,Geometric_mean,Balanced_Accuracy,Y_score,AUC,Accuracy
1,0,0,33,67,0,0.67,0,0.67,1,0,0.80239521,0.401197605,0,0.5,0.4175,0.5,0.67
2,20,36,14,30,0.545454545,0.681818182,0.588235294,0.681818182,0.454545455,0.444444444,0.545454545,0.494949495,0.51708769,0.521390374,0.520435447,0.5,0.5
3,26,0,7,67,0,0.905405405,0.787878788,0.905405405,1,0.881355932,0.95035461,0.915855271,0.887625365,0.893939394,0.923321048,0.5,0.93
4,3,9,64,24,0.272727273,0.272727273,0.044776119,0.272727273,0.727272727,0.075949367,0.396694215,0.236321791,0.180456229,0.386024423,0.32369403,0.5,0.27
5,52,13,14,21,0.382352941,0.6,0.787878788,0.6,0.617647059,0.79389313,0.608695652,0.701294391,0.697589432,0.702762923,0.701381462,0.5,0.73
6,52,12,15,21,0.363636364,0.583333333,0.776119403,0.583333333,0.636363636,0.79389313,0.608695652,0.701294391,0.702776042,0.70624152,0.702079093,0.5,0.73
7,15,45,18,22,0.671641791,0.55,0.454545455,0.55,0.328358209,0.322580645,0.411214953,0.366897799,0.386333705,0.391451832,0.395725916,0.5,0.37
8,12,2,22,64,0.03030303,0.744186047,0.352941176,0.744186047,0.96969697,0.5,0.842105263,0.671052632,0.585017939,0.661319073,0.730991762,0.5,0.76
9,15,3,18,64,0.044776119,0.780487805,0.454545455,0.780487805,0.955223881,0.588235294,0.859060403,0.723647848,0.658932981,0.704884668,0.755897618,0.5,0.79
10,1,10,66,23,0.303030303,0.258426966,0.014925373,0.258426966,0.696969697,0.025641026,0.37704918,0.201345103,0.101992808,0.355947535,0.265307782,0.5,0.24
11,59,16,7,18,0.470588235,0.72,0.893939394,0.72,0.529411765,0.836879433,0.610169492,0.723524462,0.687940428,0.711675579,0.732504456,0.5,0.77
12,52,10,15,23,0.303030303,0.605263158,0.776119403,0.605263158,0.696969697,0.80620155,0.647887324,0.727044437,0.735480595,0.73654455,0.729265484,0.5,0.75
13,8,41,25,26,0.611940299,0.509803922,0.242424242,0.509803922,0.388059701,0.195121951,0.440677966,0.317899959,0.30671661,0.315241972,0.325888293,0.5,0.34
14,19,0,15,66,0,0.814814815,0.558823529,0.814814815,1,0.716981132,0.897959184,0.807470158,0.747545002,0.779411765,0.843409586,0.5,0.85
15,15,0,18,67,0,0.788235294,0.454545455,0.788235294,1,0.625,0.881578947,0.753289474,0.674199862,0.727272727,0.810695187,0.5,0.82
