Day,TP,FP,FN,TN,FA,TP_Precision,TP_Recall,TN_Precision,TN_Recall,F1_pos,F1_neg,F1_Avg,Geometric_mean,Balanced_Accuracy,Y_score,AUC,Accuracy
1,0,0,33,67,0,0.67,0,0.67,1,0,0.80239521,0.401197605,0,0.5,0.4175,0.5,0.67
2,20,36,14,30,0.545454545,0.681818182,0.588235294,0.681818182,0.454545455,0.444444444,0.545454545,0.494949495,0.51708769,0.521390374,0.520435447,0.5,0.5
3,28,27,5,40,0.402985075,0.888888889,0.848484848,0.888888889,0.597014925,0.636363636,0.714285714,0.675324675,0.711728964,0.722749887,0.710869893,0.5,0.68
4,30,18,37,15,0.545454545,0.288461538,0.447761194,0.288461538,0.454545455,0.52173913,0.352941176,0.437340153,0.451140572,0.451153324,0.453942047,0.5,0.45
5,56,20,10,14,0.588235294,0.583333333,0.848484848,0.583333333,0.411764706,0.788732394,0.482758621,0.635745508,0.591080463,0.630124777,0.645106248,0.5,0.7
6,53,20,14,13,0.606060606,0.481481481,0.791044776,0.481481481,0.393939394,0.757142857,0.433333333,0.595238095,0.558232657,0.592492085,0.598123262,0.5,0.66
7,20,47,13,20,0.701492537,0.606060606,0.606060606,0.606060606,0.298507463,0.4,0.4,0.4,0.42533941,0.452284034,0.452284034,0.5,0.4
8,12,2,22,64,0.03030303,0.744186047,0.352941176,0.744186047,0.96969697,0.5,0.842105263,0.671052632,0.585017939,0.661319073,0.730991762,0.5,0.76
9,17,6,16,61,0.089552239,0.792207792,0.515151515,0.792207792,0.910447761,0.607142857,0.847222222,0.72718254,0.684849285,0.712799638,0.739234376,0.5,0.78
10,4,13,63,20,0.393939394,0.240963855,0.059701493,0.240963855,0.606060606,0.095238095,0.344827586,0.220032841,0.190217567,0.332881049,0.285505018,0.5,0.24
11,49,24,17,10,0.705882353,0.37037037,0.742424242,0.37037037,0.294117647,0.705035971,0.327868852,0.516452412,0.467290136,0.518270945,0.519536284,0.5,0.59
12,48,18,19,15,0.545454545,0.441176471,0.71641791,0.441176471,0.454545455,0.721804511,0.447761194,0.584782853,0.570652701,0.585481682,0.584853141,0.5,0.63
13,27,38,6,29,0.567164179,0.828571429,0.818181818,0.828571429,0.432835821,0.551020408,0.568627451,0.55982393,0.595095286,0.62550882,0.623743421,0.5,0.56
14,32,33,2,33,0.5,0.942857143,0.941176471,0.942857143,0.5,0.646464646,0.653465347,0.649964996,0.685994341,0.720588235,0.719085326,0.5,0.65
15,24,26,9,41,0.388059701,0.82,0.727272727,0.82,0.611940299,0.578313253,0.700854701,0.639583977,0.667118797,0.669606513,0.659803256,0.5,0.65
