Day,TP,FP,FN,TN,FA,TP_Precision,TP_Recall,TN_Precision,TN_Recall,F1_pos,F1_neg,F1_Avg,Geometric_mean,Balanced_Accuracy,Y_score,AUC,Accuracy
1,0,0,33,67,0,0.67,0,0.67,1,0,0.80239521,0.401197605,0,0.5,0.4175,0.5,0.67
2,11,1,23,65,0.015151515,0.738636364,0.323529412,0.738636364,0.984848485,0.47826087,0.844155844,0.661208357,0.564470948,0.654188948,0.740920232,0.828208556,0.76
3,30,1,3,66,0.014925373,0.956521739,0.909090909,0.956521739,0.985074627,0.9375,0.970588235,0.954044118,0.946320447,0.947082768,0.954607303,0.963364993,0.96
4,1,9,66,24,0.272727273,0.266666667,0.014925373,0.266666667,0.727272727,0.025974026,0.390243902,0.208108964,0.104186452,0.37109905,0.277216192,0.26797829,0.25
5,6,1,60,33,0.029411765,0.35483871,0.090909091,0.35483871,0.970588235,0.164383562,0.519685039,0.342034301,0.297044263,0.530748663,0.568369723,0.628787879,0.39
6,40,22,27,11,0.666666667,0.289473684,0.597014925,0.289473684,0.333333333,0.620155039,0.309859155,0.465007097,0.446099737,0.465174129,0.466245808,0.578923564,0.51
7,23,50,10,17,0.746268657,0.62962963,0.696969697,0.62962963,0.253731343,0.433962264,0.361702128,0.397832196,0.420527119,0.47535052,0.473849791,0.329262777,0.4
8,20,45,14,21,0.681818182,0.6,0.588235294,0.6,0.318181818,0.404040404,0.415841584,0.409940994,0.4326266,0.453208556,0.453527355,0.432263815,0.41
9,19,35,14,32,0.52238806,0.695652174,0.575757576,0.695652174,0.47761194,0.436781609,0.566371681,0.501576645,0.524393643,0.526684758,0.525218385,0.561284487,0.51
10,35,19,32,14,0.575757576,0.304347826,0.52238806,0.304347826,0.424242424,0.578512397,0.35443038,0.466471388,0.47076446,0.473315242,0.474781615,0.477385798,0.49
11,42,16,24,18,0.470588235,0.428571429,0.636363636,0.428571429,0.529411765,0.677419355,0.473684211,0.575551783,0.580429492,0.582887701,0.57962119,0.610516934,0.6
12,42,14,25,19,0.424242424,0.431818182,0.626865672,0.431818182,0.575757576,0.682926829,0.493506494,0.588216661,0.600768391,0.601311624,0.596110357,0.685436454,0.61
13,19,38,14,29,0.567164179,0.674418605,0.575757576,0.674418605,0.432835821,0.422222222,0.527272727,0.474747475,0.499207875,0.504296698,0.504086334,0.492989597,0.48
14,25,50,9,16,0.757575758,0.64,0.735294118,0.64,0.242424242,0.458715596,0.351648352,0.405181974,0.422200331,0.48885918,0.487762923,0.495320856,0.41
15,27,34,6,33,0.507462687,0.846153846,0.818181818,0.846153846,0.492537313,0.574468085,0.622641509,0.598554797,0.634811054,0.655359566,0.649873982,0.677521483,0.6
