Day,TP,FP,FN,TN,FA,TP_Precision,TP_Recall,TN_Precision,TN_Recall,F1_pos,F1_neg,F1_Avg,Geometric_mean,Balanced_Accuracy,Y_score,AUC,Accuracy
1,0,0,33,67,0,0.67,0,0.67,1,0,0.80239521,0.401197605,0,0.5,0.4175,0.5,0.67
2,20,2,14,64,0.03030303,0.820512821,0.588235294,0.820512821,0.96969697,0.714285714,0.888888889,0.801587302,0.755254912,0.778966132,0.821883998,0.881461676,0.84
3,33,6,0,61,0.089552239,1,1,1,0.910447761,0.916666667,0.953125,0.934895833,0.954173863,0.955223881,0.939150402,0.983717775,0.94
4,2,9,65,24,0.272727273,0.269662921,0.029850746,0.269662921,0.727272727,0.051282051,0.393442623,0.222362337,0.147341894,0.378561737,0.302151144,0.182270466,0.26
5,1,5,65,29,0.147058824,0.308510638,0.015151515,0.308510638,0.852941176,0.027777778,0.453125,0.240451389,0.113680918,0.434046346,0.335817499,0.399509804,0.3
6,3,5,64,28,0.151515152,0.304347826,0.044776119,0.304347826,0.848484848,0.08,0.448,0.264,0.194915004,0.446630484,0.393152198,0.569877883,0.31
7,14,41,19,26,0.611940299,0.577777778,0.424242424,0.577777778,0.388059701,0.318181818,0.464285714,0.391233766,0.405747937,0.406151063,0.41115634,0.443238354,0.4
8,18,5,16,61,0.075757576,0.792207792,0.529411765,0.792207792,0.924242424,0.631578947,0.853146853,0.7423629,0.699503261,0.726827094,0.757117669,0.670900178,0.79
9,14,13,19,54,0.194029851,0.739726027,0.424242424,0.739726027,0.805970149,0.466666667,0.771428571,0.619047619,0.584745013,0.615106287,0.62211428,0.671867933,0.68
10,13,16,54,17,0.484848485,0.23943662,0.194029851,0.23943662,0.515151515,0.270833333,0.326923077,0.298878205,0.316156246,0.354590683,0.349223462,0.297376753,0.3
11,33,22,33,12,0.647058824,0.266666667,0.5,0.266666667,0.352941176,0.545454545,0.303797468,0.424626007,0.420084025,0.426470588,0.429901961,0.489304813,0.45
12,62,20,5,13,0.606060606,0.722222222,0.925373134,0.722222222,0.393939394,0.832214765,0.509803922,0.671009343,0.603772252,0.659656264,0.699408078,0.648123021,0.75
13,20,56,13,11,0.835820896,0.458333333,0.606060606,0.458333333,0.164179104,0.366972477,0.241758242,0.304365359,0.315440149,0.385119855,0.372932735,0.304839439,0.31
14,18,32,16,34,0.484848485,0.68,0.529411765,0.68,0.515151515,0.428571429,0.586206897,0.507389163,0.522232968,0.52228164,0.52114082,0.547459893,0.52
15,18,6,15,61,0.089552239,0.802631579,0.545454545,0.802631579,0.910447761,0.631578947,0.853146853,0.7423629,0.704704101,0.727951153,0.752133471,0.793532338,0.79
