Day,TP,FP,FN,TN,FA,TP_Precision,TP_Recall,TN_Precision,TN_Recall,F1_pos,F1_neg,F1_Avg,Geometric_mean,Balanced_Accuracy,Y_score,AUC,Accuracy
1,0,0,33,67,0,0.67,0,0.67,1,0,0.80239521,0.401197605,0,0.5,0.4175,0.5,0.67
2,22,13,12,53,0.196969697,0.815384615,0.647058824,0.815384615,0.803030303,0.637681159,0.809160305,0.723420732,0.720838292,0.725044563,0.723511293,0.814616756,0.75
3,31,22,2,45,0.328358209,0.957446809,0.939393939,0.957446809,0.671641791,0.720930233,0.789473684,0.755201958,0.794314943,0.805517865,0.78834705,0.976028946,0.76
4,14,18,53,15,0.545454545,0.220588235,0.208955224,0.220588235,0.454545455,0.282828283,0.297029703,0.289928993,0.308187682,0.331750339,0.330397228,0.184531886,0.29
5,29,12,37,22,0.352941176,0.372881356,0.439393939,0.372881356,0.647058824,0.542056075,0.47311828,0.507587177,0.53321077,0.543226381,0.541662798,0.590909091,0.51
6,24,14,43,19,0.424242424,0.306451613,0.358208955,0.306451613,0.575757576,0.457142857,0.4,0.428571429,0.454138216,0.466983265,0.467999273,0.512437811,0.43
7,16,40,17,27,0.597014925,0.613636364,0.484848485,0.613636364,0.402985075,0.359550562,0.486486486,0.423018524,0.442025681,0.44391678,0.446796052,0.386024423,0.43
8,15,34,19,32,0.515151515,0.62745098,0.441176471,0.62745098,0.484848485,0.361445783,0.547008547,0.454227165,0.46249729,0.463012478,0.464899596,0.462789661,0.47
9,22,39,11,28,0.582089552,0.717948718,0.666666667,0.717948718,0.417910448,0.468085106,0.528301887,0.498193497,0.527832327,0.542288557,0.540795393,0.488014473,0.5
10,39,19,28,14,0.575757576,0.333333333,0.582089552,0.333333333,0.424242424,0.624,0.373333333,0.498666667,0.496937705,0.503165988,0.503019776,0.518995929,0.53
11,56,21,10,13,0.617647059,0.565217391,0.848484848,0.565217391,0.382352941,0.783216783,0.456140351,0.619678567,0.569579386,0.615418895,0.630831977,0.684046346,0.69
12,52,18,15,15,0.545454545,0.5,0.776119403,0.5,0.454545455,0.759124088,0.476190476,0.617657282,0.593954162,0.615332429,0.6183805,0.672998643,0.67
13,19,34,14,33,0.507462687,0.70212766,0.575757576,0.70212766,0.492537313,0.441860465,0.578947368,0.510403917,0.532524262,0.534147445,0.532228279,0.481230213,0.52
14,23,36,11,30,0.545454545,0.731707317,0.676470588,0.731707317,0.454545455,0.494623656,0.560747664,0.52768566,0.554514771,0.565508021,0.563138467,0.519607843,0.53
15,26,26,7,41,0.388059701,0.854166667,0.787878788,0.854166667,0.611940299,0.611764706,0.713043478,0.662404092,0.694359259,0.699909543,0.688496438,0.728177295,0.67
