Day,TP,FP,FN,TN,FA,TP_Precision,TP_Recall,TN_Precision,TN_Recall,F1_pos,F1_neg,F1_Avg,Geometric_mean,Balanced_Accuracy,Y_score,AUC,Accuracy
1,27,5,6,62,0.074626866,0.911764706,0.818181818,0.911764706,0.925373134,0.830769231,0.918518519,0.874643875,0.870128424,0.871777476,0.874767415,0.5,0.89
2,6,26,28,40,0.393939394,0.588235294,0.176470588,0.588235294,0.606060606,0.181818182,0.597014925,0.389416554,0.32703497,0.391265597,0.389566622,0.5,0.46
3,28,0,5,67,0,0.930555556,0.848484848,0.930555556,1,0.918032787,0.964028777,0.941030782,0.921132373,0.924242424,0.944760101,0.5,0.95
4,0,6,67,27,0.181818182,0.287234043,0,0.287234043,0.818181818,0,0.42519685,0.212598425,0,0.409090909,0.276353965,0.5,0.27
5,13,5,53,29,0.147058824,0.353658537,0.196969697,0.353658537,0.852941176,0.30952381,0.5,0.404761905,0.40988238,0.524955437,0.531447908,0.5,0.42
6,3,0,64,33,0,0.340206186,0.044776119,0.340206186,1,0.085714286,0.507692308,0.296703297,0.211603685,0.52238806,0.596245576,0.5,0.36
7,31,67,2,0,1,0,0.939393939,0,0,0.473282443,0,0.236641221,0,0.46969697,0.313930118,0.5,0.31
8,14,27,20,39,0.409090909,0.661016949,0.411764706,0.661016949,0.590909091,0.373333333,0.624,0.498666667,0.493270218,0.501336898,0.50128854,0.5,0.53
9,7,0,26,67,0,0.720430108,0.212121212,0.720430108,1,0.35,0.8375,0.59375,0.460566186,0.606060606,0.73313783,0.5,0.74
10,0,7,67,26,0.212121212,0.279569892,0,0.279569892,0.787878788,0,0.412698413,0.206349206,0,0.393939394,0.26686217,0.5,0.26
11,66,32,0,2,0.941176471,1,1,1,0.058823529,0.804878049,0.111111111,0.45799458,0.242535625,0.529411765,0.683073229,0.5,0.68
12,66,33,1,0,1,0,0.985074627,0,0,0.795180723,0,0.397590361,0,0.492537313,0.412935323,0.5,0.66
13,31,67,2,0,1,0,0.939393939,0,0,0.473282443,0,0.236641221,0,0.46969697,0.313930118,0.5,0.31
14,34,66,0,0,1,0,1,0,0,0.507462687,0,0.253731343,0,0.5,0.335,0.5,0.34
15,4,0,29,67,0,0.697916667,0.121212121,0.697916667,1,0.216216216,0.82208589,0.519151053,0.348155312,0.560606061,0.704782197,0.5,0.71
