Day,TP,FP,FN,TN,FA,TP_Precision,TP_Recall,TN_Precision,TN_Recall,F1_pos,F1_neg,F1_Avg,Geometric_mean,Balanced_Accuracy,Y_score,AUC,Accuracy
1,0,0,33,67,0,0.67,0,0.67,1,0,0.80239521,0.401197605,0,0.5,0.4175,0.5,0.67
2,11,1,23,65,0.015151515,0.738636364,0.323529412,0.738636364,0.984848485,0.47826087,0.844155844,0.661208357,0.564470948,0.654188948,0.740920232,0.5,0.76
3,28,0,5,67,0,0.930555556,0.848484848,0.930555556,1,0.918032787,0.964028777,0.941030782,0.921132373,0.924242424,0.944760101,0.5,0.95
4,0,8,67,25,0.242424242,0.27173913,0,0.27173913,0.757575758,0,0.4,0.2,0,0.378787879,0.257328722,0.5,0.25
5,66,28,0,6,0.823529412,1,1,1,0.176470588,0.825,0.3,0.5625,0.420084025,0.588235294,0.719649562,0.5,0.72
6,62,26,5,7,0.787878788,0.583333333,0.925373134,0.583333333,0.212121212,0.8,0.311111111,0.555555556,0.443047707,0.568747173,0.606343284,0.5,0.69
7,27,62,6,5,0.925373134,0.454545455,0.818181818,0.454545455,0.074626866,0.442622951,0.128205128,0.28541404,0.247099868,0.446404342,0.412681231,0.5,0.32
8,1,3,33,63,0.045454545,0.65625,0.029411765,0.65625,0.954545455,0.052631579,0.777777778,0.415204678,0.167555562,0.49197861,0.472551805,0.5,0.64
9,23,13,10,54,0.194029851,0.84375,0.696969697,0.84375,0.805970149,0.666666667,0.824427481,0.745547074,0.749491008,0.751469923,0.746394684,0.5,0.77
10,3,7,64,26,0.212121212,0.288888889,0.044776119,0.288888889,0.787878788,0.077922078,0.422764228,0.250343153,0.187824798,0.416327454,0.355385949,0.5,0.29
11,65,27,1,7,0.794117647,0.875,0.984848485,0.875,0.205882353,0.82278481,0.333333333,0.578059072,0.450292042,0.595365419,0.693063144,0.5,0.72
12,62,17,5,16,0.515151515,0.761904762,0.925373134,0.761904762,0.484848485,0.849315068,0.592592593,0.720953831,0.669825173,0.70511081,0.739234127,0.5,0.78
13,23,59,10,8,0.880597015,0.444444444,0.696969697,0.444444444,0.119402985,0.4,0.188235294,0.294117647,0.288479223,0.408186341,0.385326233,0.5,0.31
14,5,3,29,63,0.045454545,0.684782609,0.147058824,0.684782609,0.954545455,0.238095238,0.797468354,0.517781796,0.374665626,0.550802139,0.602846722,0.5,0.68
15,5,0,28,67,0,0.705263158,0.151515152,0.705263158,1,0.263157895,0.827160494,0.545159194,0.389249472,0.575757576,0.714194577,0.5,0.72
