Day,TP,FP,FN,TN,FA,TP_Precision,TP_Recall,TN_Precision,TN_Recall,F1_pos,F1_neg,F1_Avg,Geometric_mean,Balanced_Accuracy,Y_score,AUC,Accuracy
1,0,0,33,67,0,0.67,0,0.67,1,0,0.80239521,0.401197605,0,0.5,0.4175,0.5,0.67
2,0,0,34,66,0,0.66,0,0.66,1,0,0.795180723,0.397590361,0,0.5,0.415,0.624108734,0.66
3,28,1,5,66,0.014925373,0.929577465,0.848484848,0.929577465,0.985074627,0.903225806,0.956521739,0.929873773,0.914232408,0.916779738,0.932163545,0.97195839,0.94
4,1,12,66,21,0.363636364,0.24137931,0.014925373,0.24137931,0.636363636,0.025,0.35,0.1875,0.097457502,0.325644505,0.242397849,0.240841248,0.22
5,63,27,3,7,0.794117647,0.7,0.954545455,0.7,0.205882353,0.807692308,0.318181818,0.562937063,0.443310347,0.580213904,0.640106952,0.748885918,0.7
6,66,28,1,5,0.848484848,0.833333333,0.985074627,0.833333333,0.151515152,0.819875776,0.256410256,0.538143016,0.386333705,0.568294889,0.668012693,0.613749435,0.71
7,22,61,11,6,0.910447761,0.352941176,0.666666667,0.352941176,0.089552239,0.379310345,0.142857143,0.261083744,0.244338889,0.378109453,0.343555081,0.292401628,0.28
8,17,13,17,53,0.196969697,0.757142857,0.5,0.757142857,0.803030303,0.53125,0.779411765,0.655330882,0.633652232,0.651515152,0.656709957,0.715686275,0.7
9,21,13,12,54,0.194029851,0.818181818,0.636363636,0.818181818,0.805970149,0.626865672,0.812030075,0.719447873,0.716163455,0.721166893,0.719540666,0.799185889,0.75
10,10,12,57,21,0.363636364,0.269230769,0.149253731,0.269230769,0.636363636,0.224719101,0.378378378,0.30154874,0.308187682,0.392808684,0.377348398,0.39009498,0.31
11,63,28,3,6,0.823529412,0.666666667,0.954545455,0.666666667,0.176470588,0.802547771,0.279069767,0.540808769,0.41042563,0.565508021,0.6224976,0.577540107,0.69
12,61,28,6,5,0.848484848,0.454545455,0.910447761,0.454545455,0.151515152,0.782051282,0.227272727,0.504662005,0.371411673,0.530981456,0.550475406,0.618498417,0.66
13,31,64,2,3,0.955223881,0.6,0.939393939,0.6,0.044776119,0.484375,0.083333333,0.283854167,0.205091236,0.492085029,0.477621462,0.485753053,0.34
14,13,4,21,62,0.060606061,0.746987952,0.382352941,0.746987952,0.939393939,0.509803922,0.832214765,0.671009343,0.599316307,0.66087344,0.708360179,0.71412656,0.75
15,16,3,17,64,0.044776119,0.790123457,0.484848485,0.790123457,0.955223881,0.615384615,0.864864865,0.74012474,0.680543056,0.720036183,0.768075271,0.768204432,0.8
